devanagari,iast,slp1,count,pct,slot1,slot2,slot3,slot4,slot5
र्वीः,rvīḥ,rvIH,56,0.0004,54,2,0,0,0
र्वु,rvu,rvu,1,0.0,0,0,0,1,0
र्वृ,rvṛ,rvf,871,0.0061,16,276,261,221,96
र्वे,rve,rve,9703,0.0677,1978,3966,2049,1029,680
र्वै,rvai,rvE,1054,0.0074,189,381,266,151,67
र्वैः,rvaiḥ,rvEH,431,0.003,96,181,92,37,25
र्वो,rvo,rvo,1588,0.0111,272,320,414,394,187
र्वों,rvoṃ,rvoM,1,0.0,0,0,1,0,0
र्वोः,rvoḥ,rvoH,15,0.0001,4,1,8,0,2
र्वौ,rvau,rvO,167,0.0012,75,19,37,20,16
र्व्णि,rvṇi,rvRi,2,0.0,0,0,0,0,2
र्व्य्,rvy,rvy,6,0.0,6,0,0,0,0
र्व्य,rvya,rvya,229,0.0016,63,25,69,63,9
र्व्यं,rvyaṃ,rvyaM,48,0.0003,45,0,0,1,2
र्व्यः,rvyaḥ,rvyaH,27,0.0002,20,0,7,0,0
र्व्या,rvyā,rvyA,374,0.0026,81,88,97,83,25
र्व्यां,rvyāṃ,rvyAM,57,0.0004,2,35,15,4,1
र्व्याः,rvyāḥ,rvyAH,7,0.0,3,0,3,1,0
र्व्यु,rvyu,rvyu,20,0.0001,4,7,4,2,3
र्व्यू,rvyū,rvyU,110,0.0008,1,4,14,41,50
र्व्यृ,rvyṛ,rvyf,1,0.0,1,0,0,0,0
र्व्ये,rvye,rvye,80,0.0006,25,38,6,5,6
र्व्यै,rvyai,rvyE,2,0.0,0,1,0,1,0
र्व्यैः,rvyaiḥ,rvyEH,5,0.0,5,0,0,0,0
र्व्यो,rvyo,rvyo,42,0.0003,18,5,6,11,2
र्व्र,rvra,rvra,79,0.0006,10,16,23,19,11
र्व्रि,rvri,rvri,1,0.0,0,0,1,0,0
र्व्री,rvrī,rvrI,3,0.0,1,0,1,1,0
र्व्ले,rvle,rvle,6,0.0,6,0,0,0,0
र्व्व,rvva,rvva,9,0.0001,0,0,0,8,1
र्व्वः,rvvaḥ,rvvaH,4,0.0,0,0,0,4,0
र्व्वा,rvvā,rvvA,1,0.0,0,0,0,1,0
र्व्वि,rvvi,rvvi,1,0.0,0,0,0,1,0
र्व्वे,rvve,rvve,2,0.0,0,0,0,0,2
र्व्वो,rvvo,rvvo,3,0.0,0,0,0,3,0
र्व्व्या,rvvyā,rvvyA,2,0.0,0,0,0,2,0
र्श,rśa,rSa,8016,0.056,681,3145,1960,1685,543
र्शं,rśaṃ,rSaM,162,0.0011,23,71,34,26,8
र्शः,rśaḥ,rSaH,258,0.0018,11,36,90,87,34
र्शा,rśā,rSA,449,0.0031,31,162,96,133,27
र्शां,rśāṃ,rSAM,93,0.0006,2,18,40,28,5
र्शाः,rśāḥ,rSAH,14,0.0001,2,7,2,3,0
र्शि,rśi,rSi,1061,0.0074,33,523,250,213,42
र्शी,rśī,rSI,147,0.001,5,68,39,29,6
र्शु,rśu,rSu,28,0.0002,13,6,4,3,2
र्शुं,rśuṃ,rSuM,2,0.0,2,0,0,0,0
र्शुः,rśuḥ,rSuH,1,0.0,1,0,0,0,0
र्शे,rśe,rSe,196,0.0014,38,59,44,44,11
र्शै,rśai,rSE,46,0.0003,0,17,7,22,0
र्शैः,rśaiḥ,rSEH,13,0.0001,2,6,2,3,0
र्शो,rśo,rSo,376,0.0026,11,72,151,111,31
र्शौ,rśau,rSO,14,0.0001,2,3,5,4,0
र्श्म,rśma,rSma,1,0.0,1,0,0,0,0
र्श्य्,rśy,rSy,6,0.0,5,0,0,1,0
र्श्य,rśya,rSya,151,0.0011,18,35,54,32,12
र्श्यं,rśyaṃ,rSyaM,29,0.0002,0,8,14,5,2
र्श्या,rśyā,rSyA,14,0.0001,3,0,5,5,1
र्श्ये,rśye,rSye,9,0.0001,0,4,2,3,0
र्श्यै,rśyai,rSyE,1,0.0,0,0,0,1,0
र्श्यो,rśyo,rSyo,2,0.0,0,0,1,1,0
र्श्व,rśva,rSva,689,0.0048,36,176,302,119,56
र्श्वं,rśvaṃ,rSvaM,106,0.0007,4,36,28,36,2
र्श्वः,rśvaḥ,rSvaH,7,0.0,0,2,4,0,1
र्श्वा,rśvā,rSvA,103,0.0007,8,26,45,22,2
र्श्वां,rśvāṃ,rSvAM,7,0.0,0,1,5,1,0
र्श्वाः,rśvāḥ,rSvAH,2,0.0,0,1,1,0,0
र्श्वि,rśvi,rSvi,4,0.0,0,0,3,1,0
र्श्वीं,rśvīṃ,rSvIM,1,0.0,1,0,0,0,0
र्श्वे,rśve,rSve,390,0.0027,37,119,112,76,46
र्श्वै,rśvai,rSvE,7,0.0,0,1,4,2,0
र्श्वैः,rśvaiḥ,rSvEH,8,0.0001,6,0,2,0,0
र्श्वो,rśvo,rSvo,47,0.0003,2,19,18,8,0
र्श्वौ,rśvau,rSvO,12,0.0001,0,6,3,3,0
र्ष,rṣa,rza,10448,0.0729,1335,5311,2071,1226,505
र्षं,rṣaṃ,rzaM,879,0.0061,64,368,233,188,26
र्षः,rṣaḥ,rzaH,275,0.0019,18,136,57,48,16
र्षा,rṣā,rzA,2268,0.0158,355,735,634,454,90
र्षां,rṣāṃ,rzAM,67,0.0005,6,23,23,13,2
र्षाः,rṣāḥ,rzAH,81,0.0006,27,37,9,3,4
र्षि,rṣi,rzi,2283,0.0159,232,1240,458,271,82
र्षिं,rṣiṃ,rziM,53,0.0004,0,44,6,2,1
र्षिः,rṣiḥ,rziH,146,0.001,1,114,21,10,0
र्षी,rṣī,rzI,599,0.0042,173,279,82,44,21
र्षीं,rṣīṃ,rzIM,25,0.0002,13,8,3,1,0
र्षीः,rṣīḥ,rzIH,34,0.0002,6,24,1,2,1
र्षु,rṣu,rzu,268,0.0019,73,125,27,31,12
र्षुं,rṣuṃ,rzuM,5,0.0,0,3,1,1,0
र्षुः,rṣuḥ,rzuH,60,0.0004,1,41,11,4,3
र्षू,rṣū,rzU,44,0.0003,21,12,11,0,0
र्षूं,rṣūṃ,rzUM,6,0.0,4,2,0,0,0
र्षूः,rṣūḥ,rzUH,13,0.0001,9,1,2,1,0
र्षे,rṣe,rze,1402,0.0098,222,719,237,160,64
र्षेः,rṣeḥ,rzeH,67,0.0005,3,51,5,7,1
र्षै,rṣai,rzE,226,0.0016,8,98,20,90,10
र्षैः,rṣaiḥ,rzEH,49,0.0003,3,29,7,9,1
र्षो,rṣo,rzo,403,0.0028,8,169,106,105,15
र्षोः,rṣoḥ,rzoH,4,0.0,0,2,0,1,1
र्षौ,rṣau,rzO,76,0.0005,0,34,20,20,2
र्ष्ट,rṣṭa,rzwa,4,0.0,0,2,1,1,0
र्ष्टा,rṣṭā,rzwA,7,0.0,6,0,0,0,1
र्ष्टां,rṣṭāṃ,rzwAM,1,0.0,0,1,0,0,0
र्ष्टि,rṣṭi,rzwi,261,0.0018,201,41,10,4,5
र्ष्टिः,rṣṭiḥ,rzwiH,1,0.0,0,0,0,1,0
र्ष्टी,rṣṭī,rzwI,3,0.0,3,0,0,0,0
र्ष्टीः,rṣṭīḥ,rzwIH,2,0.0,0,2,0,0,0
र्ष्टु,rṣṭu,rzwu,18,0.0001,10,0,4,3,1
र्ष्टुं,rṣṭuṃ,rzwuM,1,0.0,0,0,1,0,0
र्ष्टे,rṣṭe,rzwe,5,0.0,4,1,0,0,0
र्ष्टोः,rṣṭoḥ,rzwoH,1,0.0,1,0,0,0,0
र्ष्ट्य्,rṣṭy,rzwy,11,0.0001,11,0,0,0,0
र्ष्ट्य,rṣṭya,rzwya,7,0.0,0,0,5,1,1
र्ष्ट्यं,rṣṭyaṃ,rzwyaM,4,0.0,0,0,1,2,1
र्ष्ट्या,rṣṭyā,rzwyA,1,0.0,0,1,0,0,0
र्ष्ट्ये,rṣṭye,rzwye,5,0.0,0,0,2,1,2
र्ष्ट्यो,rṣṭyo,rzwyo,1,0.0,0,0,1,0,0
र्ष्ट्व्,rṣṭv,rzwv,1,0.0,1,0,0,0,0
र्ष्ण,rṣṇa,rzRa,10,0.0001,7,1,0,2,0
र्ष्णं,rṣṇaṃ,rzRaM,3,0.0,1,2,0,0,0
र्ष्णः,rṣṇaḥ,rzRaH,22,0.0002,21,0,0,1,0
र्ष्णा,rṣṇā,rzRA,70,0.0005,38,19,7,5,1
र्ष्णि,rṣṇi,rzRi,116,0.0008,10,59,25,15,7
र्ष्णिं,rṣṇiṃ,rzRiM,27,0.0002,1,19,5,0,2
र्ष्णिः,rṣṇiḥ,rzRiH,15,0.0001,1,9,3,1,1
र्ष्णी,rṣṇī,rzRI,19,0.0001,16,0,0,2,1
र्ष्णीं,rṣṇīṃ,rzRIM,3,0.0,2,1,0,0,0
र्ष्णीः,rṣṇīḥ,rzRIH,1,0.0,1,0,0,0,0
र्ष्णे,rṣṇe,rzRe,205,0.0014,4,198,1,2,0
र्ष्णेः,rṣṇeḥ,rzReH,1,0.0,0,1,0,0,0
र्ष्णै,rṣṇai,rzRE,1,0.0,1,0,0,0,0
र्ष्णो,rṣṇo,rzRo,21,0.0001,17,0,0,4,0
र्ष्ण्य्,rṣṇy,rzRy,1,0.0,1,0,0,0,0
र्ष्ण्य,rṣṇya,rzRya,15,0.0001,0,6,4,5,0
र्ष्ण्यं,rṣṇyaṃ,rzRyaM,10,0.0001,0,0,5,5,0
र्ष्ण्यः,rṣṇyaḥ,rzRyaH,1,0.0,1,0,0,0,0
र्ष्ण्या,rṣṇyā,rzRyA,39,0.0003,12,15,7,4,1
र्ष्ण्यां,rṣṇyāṃ,rzRyAM,1,0.0,1,0,0,0,0
र्ष्ण्यो,rṣṇyo,rzRyo,5,0.0,0,1,4,0,0
र्ष्ण्योः,rṣṇyoḥ,rzRyoH,2,0.0,1,0,1,0,0
र्ष्ण्यौ,rṣṇyau,rzRyO,2,0.0,2,0,0,0,0
र्ष्म,rṣma,rzma,126,0.0009,102,10,6,6,2
र्ष्मः,rṣmaḥ,rzmaH,1,0.0,1,0,0,0,0
र्ष्मा,rṣmā,rzmA,26,0.0002,7,11,6,1,1
र्ष्मे,rṣme,rzme,1,0.0,1,0,0,0,0
