lemma_iast	lemma_slp1	n1	n2	n3	n4	n5	dist_12	dist_23	dist_34	dist_45	dist_15	fshift_12	fshift_23	fshift_34	fshift_45	fshift_15	graded_rank_12	binary_changed_12
atī	atI	177	287	273	85	34	0.880938	0.765832	0.842156			0.259455	0.376295	1.380605			540	0
atīsāra	atIsAra	0	23	109	60	12			0.606491					0.558533				
atīva	atIva	6	219	138	73	22		0.811645	0.921686				0.217818	0.615939				
auṣadha	OzaDa	32	209	308	244	112		0.6347	0.771823	0.740761			1.007872	0.033288	0.312008			
avagam	avagam	50	72	225	39	2	0.930939	0.850489				0.088223	2.092301				130	1
avagāh	avagAh	23	83	89	6	17		0.818043					0.549138					
avajñā	avajYA	0	98	57	43	4		0.883418					0.333376					
avalokay	avalokay	1	48	87	74	24			0.897451					0.069271				
avamāna	avamAna	0	63	54	23	4		0.804784					0.226052					
avara	avara	213	131	49	31	12	0.872995					1.139133					615	0
avasthā	avasTA	69	487	514	326	84	0.919136	0.783927	0.805426	0.834851	0.93117	2.381407	0.526291	0.354135	0.521021	2.032542	215	1
avasṛj	avasfj	74	61	8	6	3	0.94895					0.716562					41	1
avatāra	avatAra	1	36	80	69	31			0.907646					0.089357				
avatṛ	avatf	17	167	229	136	35		0.809925	0.852675				0.903944	0.44898				
avayava	avayava	4	104	175	78	16		0.82249	0.884736				1.199216	0.863048				
avaśeṣa	avaSeza	4	53	64	62	11		0.870746	0.884847				0.720524	0.256957				
avaśiṣ	avaSiz	68	68	79	50	12	0.941718	0.922347	0.883256			0.437846	0.664762	0.357164			65	1
avaśyam	avaSyam	1	120	104	83	20		0.858089	0.868302				0.241993	0.022639				
avekṣ	avekz	178	339	114	48	11	0.934014	0.831254				0.491562	1.123807				107	1
avyakta	avyakta	7	277	353	169	15		0.686323	0.749387				0.798227	0.759884				
avyaya	avyaya	40	283	282	67	44		0.667779	0.75911				0.443337	1.770701				
avāp	avAp	46	726	424	278	99		0.753738	0.788941	0.796491			0.327461	0.306218	0.054194			
ayas	ayas	62	52	87	173	38	0.891076	0.748794	0.735064			0.691603	1.190948	1.294446			460	0
ayuta	ayuta	28	166	115	96	67		0.795081	0.766405	0.789875			0.081105	0.042233	0.916517			
añj	aYj	480	52	81	67	28	0.915132	0.844644	0.820252			3.644297	1.087855	0.029			244	1
añjali	aYjali	187	180	163	79	53	0.863947	0.795252	0.816058	0.833294	0.886028	0.492887	0.305319	0.742187	0.85953	0.070225	693	0
añjana	aYjana	50	88	382	140	54	0.839828	0.73056	0.710618	0.796947	0.916928	0.377729	2.566442	1.145385	0.060994	1.85978	866	0
aś	aS	1152	368	235	124	72	0.791015	0.689832	0.801182	0.874484	0.83625	2.084209	0.198601	0.61956	0.651119	2.251251	1119	0
aśakta	aSakta	2	71	58	23	13		0.902518					0.156678					
aśakya	aSakya	3	66	56	25	10		0.891582					0.211405					
aśana	aSana	64	226	171	88	21	0.857031	0.736205	0.825567			1.382333	0.046118	0.65566			741	0
aśani	aSani	59	227	70	40	7	0.851965	0.707724				1.506059	1.248821				780	0
aśeṣa	aSeza	4	35	365	154	50			0.806417	0.86895				0.942205	0.18754			
aśman	aSman	277	133	94	61	43	0.846055	0.772998	0.79036			1.496306	0.052249	0.321091			826	0
aśmarī	aSmarI	0	1	93	62	15			0.708628					0.282202				
aśoka	aSoka	1	131	94	42	18		0.757511					0.03039					
aśru	aSru	35	216	206	89	10		0.709088	0.773566				0.380057	0.908006				
aśubha	aSuBa	5	298	95	115	33		0.784068	0.863093				1.200869	0.578395				
aśuci	aSuci	30	82	81	19	31		0.802954					0.430742					
aśva	aSva	1508	1412	354	220	99	0.718837	0.641874	0.68601	0.828839	0.780396	0.532742	1.547475	0.383485	0.283387	2.180315	1247	0
aśvamedha	aSvameDa	170	187	106	48	62	0.867641	0.602844			0.873684	0.300343	0.37053			0.293554	662	0
aśvin	aSvin	1071	178	85	30	30	0.872684	0.772099				3.026855	0.617898				618	0
aṃsa	aMsa	131	67	111	29	17	0.896472	0.667025				1.40518	1.176771				407	0
aṃśa	aMSa	65	182	438	1432	271	0.86896	0.744794	0.755384	0.610445	0.915525	1.047581	1.715437	2.01179	0.966277	3.80853	651	0
aṃśu	aMSu	217	76	121	64	11	0.931757	0.801181	0.766962			1.95147	1.11938	0.616102			119	1
