देवनागरी	IAST	"Часть речи"	Примеры	Синонимы	Периоды/Тексты	Сочетаемость	Метка
नृतिः	nṛtiḥ	f.					
नृत्यस्थान	nṛtyasthāna	"n. +"					
नृम्ण	nṛmṇa	"n. * +"	"    53"	+	3/5	+	
नृषाह्य	nṛṣāhya	"adj.n. +"	"    10"		1/1	+	
नेदीयस्	nedīyas	"adj. * +"	"    33"		3/7	+	
नोदनम्	nodanam	Partic.					
नोदय्	noday	"Verb.cl.10.P. +"	"    10"	+	2/7	+	
नैकविकल्प	naikavikalpa	m.					
नौतार्य्य	nautāryya	m.f.n.					
नौदण्ड	naudaṇḍa	"m. +"					
न्यासखण्ड	nyāsakhaṇḍa	m.f.n.					
पंचम	paṁcama	f.ind.					
पक्वबीजक	pakvabījaka	"n. +"	"     2"		2/1	+	
पक्षग्राहिन्	pakṣagrāhin	"adj. +"					
पङ्कदिग्धाङ्ग	paṅkadigdhāṅga	"m. +"	"     1"	+	1/1	+	
पङ्क्त्युत्तरा	paṅktyuttarā	"f. +"					
पञ्चाङ्गसहस्रनामन्	pañcāṅgasahasranāman	n.					
पञ्चाम्ल	pañcāmla	n.					
पञ्चप्रयाग	pañcaprayāga	m.					
पञ्चप्रयाग	pañcaprayāga	m.					
पञ्चमीसुधोदय	pañcamīsudhodaya	m.					
पञ्चमीसुधोदय	pañcamīsudhodaya	m.					
पञ्चाङ्गपुष्पक	pañcāṅgapuṣpaka	m.					
पञ्चाङ्गपुष्पक	pañcāṅgapuṣpaka	m.					
पचनः	pacanaḥ	m.					
पञ्चकोलकिन्	pañcakolakin	"adj. +"	"     1"		1/1	+	
पञ्चकोषा	pañcakoṣā	m.					
पञ्चगव्यघृत	pañcagavyaghṛta	n.Partic.					
पञ्चतक्ष	pañcatakṣa	n.					
पञ्चधारणा	pañcadhāraṇā	"f. +"	"     2"	+	1/1	+	
पञ्चधीव	pañcadhīva	n.					
पतंगमः	pataṁgamaḥ	m.					
पतत्प्रकर्ष	patatprakarṣa	"adj. +"					
पतयालुः	patayāluḥ	m.					
पत्त्रवृश्चिक	pattravṛścika	"m. +"	"     1"	+	2/1	+	
पथातिथि	pathātithi	"m. +"					
पथिकः	pathikaḥ	f.					
पथिकजन	pathikajana	m.					
पदगत	padagata	"adj. +"					
पद्मा	padmā	"f. +"	"    54"	+	6/27	+	
पद्यं	padyaṁ	Noun					
पनीयंस्	panīyaṁs	adj.					
पयोर	payora	"m. +"					
परभेदक	parabhedaka	m.f.n.					
परमपुरुष	paramapuruṣa	"m. +"	"     2"		2/2	+	
परमरहस्य	paramarahasya	n.					
परमरहस्यजपसंग्रह	paramarahasyajapasaṁgraha	m.f.					
परश्वन्त्	paraśvant	"m. +"					
परसंज्ञक	parasaṁjñaka	m.					
परस्वहृत्	parasvahṛt	m.f.n.					
परहित	parahita	"adj. * +"					
परा	parā	"ind.f. +"	"   170"		6/29	+	
पराक्रान्तृ	parākrāntṛ	"adj. +"					
परागवत्	parāgavat	m.f.n.					
पराघातन	parāghātana	"n. +"	"     1"	+	1/1	+	
पराण्	parāṇ	m.f.n.adj.					
परात्परतर	parātparatara	"adj. +"	"    11"		1/2	+	
परापरविसर्ग	parāparavisarga	"m. +"					
पराव्याध	parāvyādha	"m. +"	"     4"		2/1	+	
परिकुत्सय्	parikutsay	"Denom.A. +"	"     1"	+	1/1	+	
परिकोपित	parikopita	m.f.n.					
परिक्रुध्	parikrudh	"Verb.cl.4.P. +"		+			
परिक्षीब	parikṣība	"adj. +"					
परिच्छिन्नः	paricchinnaḥ	m.					
परिजिहीर्ष्	parijihīrṣ	"Desid.A. +"	"     3"		2/2	+	
परिजेतृ	parijetṛ	"m. +"					
परिणाहः	pariṇāhaḥ	m.					
परिचिन्त्	paricint	m.					
परित्यक्तर्	parityaktar	m.					
परिप्रापण	pariprāpaṇa	"n. +"					
परिबृंहण	paribṛṁhaṇa	"n. +"	"     5"		3/4	+	
परिमन्द	parimanda	"adj. +"					
परिमाण	parimāṇa	"n. * +"	"   195"		6/43	+	
परिमुक्तबन्धन	parimuktabandhana	m.f.n.					
परिमोक्ष्	parimokṣ	"Denom.A. +"	"     2"		1/1	+	
परिविक्रय	parivikraya	"m. +"	"     1"	+	1/1	+	
परिविक्रयिन्	parivikrayin	"adj. +"	"     1"	+	1/1	+	
परिविविदान	parivividāna	"m. +"					
परिविष्	pariviṣ	"Verb.cl.4.P. +"	"    25"		4/9	+	
परिषद्यः	pariṣadyaḥ	m.					
परिष्कन्दः	pariṣkandaḥ	m.					
परिस्तरः	paristaraḥ	m.					
परिस्यन्दः	parisyandaḥ	m.					
परिहर्षय्	pariharṣay	"Verb.cl.10.P. +"	"     3"	+	1/2	+	
परीक्ष्य	parīkṣya	m.f.n.adj.					
परीत्त	parītta	"adj.adj.m. +"	"    14"		2/5	+	
पर्णकुटी	parṇakuṭī	f.					
पर्याप्लुत	paryāpluta	"adj. +"					
पर्यावतः	paryāvataḥ	m.					
पर्य्याप्ति	paryyāpti	f.					
पर्य्यायशयन	paryyāyaśayana	n.					
पर्वतदानपद्धति	parvatadānapaddhati	f.					
पर्षि	parṣi	n.					
पवनजव	pavanajava	"m. +"					
पशुमोहनिका	paśumohanikā	"f. +"	"     1"	+	1/1	+	
पश्यन	paśyana	"n. +"	"     4"	+	1/1	+	
पस्पशा	paspaśā	"f. +"					
पह्णिका	pahṇikā	f.					
पाकहन्तर्	pākahantar	m.					
पाटीकौमुदी	pāṭīkaumudī	"f. +"					
पातक	pātaka	"adj.mn. * +"	"   294"	+	5/50	+	
पातञ्जल	pātañjala	m.n.					
पात्रयोजन	pātrayojana	"n. +"					
पादातिकः	pādātikaḥ	m.					
पादूः	pādūḥ	Noun					
पादेष्टका	pādeṣṭakā	"f. +"					
पादोदकं	pādodakaṁ	Noun					
पापक्षयतिर्थ	pāpakṣayatirtha	n.					
पापतिमिर	pāpatimira	m.f.n.					
पारलौकिक	pāralaukika	"adj. +"	"    16"		4/8	+	
पारिखीय	pārikhīya	"adj. +"					
पारीणह्यम्	pārīṇahyam	Partic.					
पालश	pālaśa	n.					
पाशवत्	pāśavat	"adj. +"	"     2"		2/2	+	
पिण्डात	piṇḍāta	"m. +"					
पितापुत्र	pitāputra	"m. * +"	"    17"		4/8	+	
पितृयज	pitṛyaja	m.					
पिथित	pithita	"adj. +"	"     1"	+	1/1	+	
पिधान	pidhāna	"n. * +"	"    72"	+	6/29	+	
पिनाकिनी	pinākinī	"f. +"					
पिपलिः	pipaliḥ	m.					
पिपाठक	pipāṭhaka	"m. +"					
पिपासावन्त्	pipāsāvant	adj.					
पिपासितः	pipāsitaḥ	m.					
पिप्पल	pippala	"m.n. * +"	"    64"	+	6/34	+	
पिष्टकं	piṣṭakaṁ	Noun					
पिष्टपेष	piṣṭapeṣa	"m. +"					
पिष्टपेषण	piṣṭapeṣaṇa	"n. +"					
पिशङ्गिल	piśaṅgila	"adj. +"					
पीडाय	pīḍāya	m.					
पीवरीकर्	pīvarīkar	m.					
पुटभेद	puṭabheda	"m. +"	"     1"		1/1	+	
पुण्डरीकवनमहात्म्य	puṇḍarīkavanamahātmya	"n. +"					
पुण्यता	puṇyatā	f.n.					
पुत्तलक	puttalaka	"m. +"	"     1"		2/1	+	
पुत्त्रान्नाद	puttrānnāda	m.					
पुत्त्र्य	puttrya	m.f.n.					
पुत्रघ्नी	putraghnī	"f. +"	"     3"	+	2/2	+	
पुत्रहत	putrahata	"m. +"	"     2"		2/1	+	
पुनरुत्पादन	punarutpādana	"n. +"					
पुप्फुटः	pupphuṭaḥ	m.					
पुरंजनः	puraṁjanaḥ	m.					
पुरणः	puraṇaḥ	m.					
पुराकृत	purākṛta	"adj.n. +"	"     5"		2/2	+	
पुरिकाय	purikāya	"m. +"					
पुरीत्	purīt	"mn. +"					
पुरीलोक	purīloka	"m. +"					
पुरीषक	purīṣaka	"n. +"	"     8"		2/6	+	
पुरीषण	purīṣaṇa	"n.m. +"					
पुरुकृत्वन्	purukṛtvan	"adj. +"	"     1"		1/1	+	
पुरुद	puruda	"n. +"					
पुरुदंसस्	purudaṁsas	"n. +"	"     1"	+	1/1/1	+	
पुरुनिःषिध्वन्	puruniḥṣidhvan	m.f.n.adj.					
पुरुनिष्ठ	puruniṣṭha	adj.					
पुरोडाशहर	puroḍāśahara	m.					
पुलीका	pulīkā	"f. +"					
पुलीकोय	pulīkoya	"m. +"					
पुलोमन्त्	pulomant	"m. +"					
पुलोमभिट्	pulomabhiṭ	m.					
पुलोमारिः	pulomāriḥ	m.					
पुलोमावि	pulomāvi	"m. +"					
पुष्ट्यर्थ	puṣṭyartha	"n. +"					
पुष्पभद्रक	puṣpabhadraka	"n. +"	"     1"		1/1	+	
पुष्पवल्ली	puṣpavallī	"f. +"	"     1"	+	1/1	+	
पूजयान	pūjayāna	m.f.n.					
पूता	pūtā	"f. +"	"     2"		2/2	+	
पूर्णस्रुव	pūrṇasruva	"m. +"					
पूर्वक्रिया	pūrvakriyā	"f. +"					
पूर्वमारिन्	pūrvamārin	m.f.n.adj.					
पूर्वयक्ष	pūrvayakṣa	"m. +"					
पूर्व्वदेव	pūrvvadeva	m.					
पूर्व्वसाहस	pūrvvasāhasa	n.					
पूषिम	pūṣima	m.					
पृक्का	pṛkkā	"f. +"					
पृज्	pṛj	"Verb. cl.2.Verb."					
पृतनाषह्	pṛtanāṣah	"adj. +"	"     1"		1/1	+	
पृथिवीतल	pṛthivītala	n.					
पृथिवीरुह	pṛthivīruha	"m. +"					
पृथुयामन्	pṛthuyāman	"adj. +"					
पृथुरुक्म	pṛthurukma	"m. +"	"     5"	+	2/3	+	
पृथ्वीवराहसंवाद	pṛthvīvarāhasaṁvāda	"m. +"					
पृषातक	pṛṣātaka	"mn.m. +"					
पेयक	peyaka	"n. +"	"     1"	+	1/1	+	
पेशितृ	peśitṛ	"m. +"					
पौष्कजिति	pauṣkajiti	"m. +"					
प्रकरः	prakaraḥ	m.					
प्रकालय्	prakālay	"Verb.cl.10.A. +"	"     8"	+	1/1	+	
प्रकाशात्मा	prakāśātmā	f.					
प्रकीर्तिः	prakīrtiḥ	f.					
प्रकूटा	prakūṭā	f.					
प्रकृतिक	prakṛtika	"adj. +"	"     5"		2/4	+	
प्रकेत	praketa	"m. * +"	"    17"	+	2/2	+	
प्रक्षुण्ण	prakṣuṇṇa	"adj. +"					
प्रखिद्	prakhid	"Verb.cl.6.P. +"		+			
प्रघट्	praghaṭ	"Verb.cl.1.A. +"					
प्रघर्	praghar	"Verb.cl.1.P. +"	"     3"	+	1/1	+	
प्रच्छो	praccho	ind.					
प्रच्योतोस्	pracyotos	Noun					
प्रजागर	prajāgara	"adj.m. * +"	"    42"	+	4/14	+	
प्रजागरय्	prajāgaray	"Verb.cl.10.P. +"		+			
प्रज्ञु	prajñu	m.f.n.					
प्रणप्तृ	praṇaptṛ	m.					
प्रणिघ्नत्	praṇighnat	m.f.n.					
प्रणिघ्नत्	praṇighnat	m.f.n.					
प्रचण्डता	pracaṇḍatā	"f. +"					
प्रचण्डवदन	pracaṇḍavadana	"adj. +"					
प्रचण्डशेफस्	pracaṇḍaśephas	"m. +"					
प्रचयन	pracayana	"n. * +"					
प्रचलाय्	pracalāy	n.adj.					
प्रचीबल	pracībala	"mfn. +"	"     2"	+	3/2	+	
प्रचुररत्नधनागम	pracuraratnadhanāgama	m.f.n.					
प्रतमाम्	pratamām	"ind. +"	"     3"		2/1		
प्रतापः	pratāpaḥ	m.					
प्रतापितर्	pratāpitar	m.					
प्रतिगज	pratigaja	"m. +"	"     9"		2/2	+	
प्रतिगात्रम्	pratigātram	"ind. +"					
प्रतिघातिन्	pratighātin	"adj. +"	"     5"	+	2/5	+	
प्रतिचक्षण	praticakṣaṇa	"n. +"	"     4"	+	3/4	+	
प्रतिचोदना	praticodanā	"f. +"	"     1"	+	1/1	+	
प्रतिनिवर्तन	pratinivartana	"n. +"					
प्रतिनिवारण	pratinivāraṇa	"n. +"					
प्रतिप्रसवम्	pratiprasavam	"ind. +"					
प्रतिबद्धप्रसर	pratibaddhaprasara	m.f.n.					
प्रतिबन्धिन्ता	pratibandhintā	f.					
प्रतिबोधनीय	pratibodhanīya	m.f.n.					
प्रतिभाष्य	pratibhāṣya	"n. +"					
प्रतिभास	pratibhāsa	"m. * +"	"    23"	+	4/10	+	
प्रतिभेदन	pratibhedana	"n. +"	"     1"	+	1/1	+	
प्रतिषीव्य	pratiṣīvya	"adj. +"	"     1"		4/36/1	+	
प्रतिष्ठित	pratiṣṭhita	"adj.m. +"	"     1"		1/1	+	
प्रतिसामर्थ्य	pratisāmarthya	"n. +"					
प्रतिहिंसा	pratihiṁsā	"f. +"					
प्रतीकास	pratīkāsa	m.					
प्रतीसारम्	pratīsāram	Partic.					
प्रत्य्	praty	Noun					
प्रत्यभिज्ञानम्	pratyabhijñānam	Partic.					
प्रत्यवयव	pratyavayava	f.Partic.					
प्रत्यववरोहम्	pratyavavaroham	ind.					
प्रथा	prathā	"f. +"	"    51"	+	2/10	+	
प्रदुष्	praduṣ	"Verb.cl.4.A. +"	"    90"		5/20	+	
प्रदेह	pradeha	"m. +"	"    98"		2/5	+	
प्रधन	pradhana	"n.m. +"	"    11"		4/5	+	
प्रधानकर्मन्	pradhānakarman	n.					
प्रनभ्	pranabh	Verb.					
प्रपंचित	prapaṁcita	m.					
प्रपक्व	prapakva	"adj. +"	"     2"	+	2/2	+	
प्रबाहुः	prabāhuḥ	m.					
प्रमथन	pramathana	"adj.m. * +"	"    20"	+	4/13	+	
प्रमाणवत्	pramāṇavat	"adj. +"	"     5"		3/4	+	
प्रमुदिता	pramuditā	"f. +"					
प्रमेहघ्नी	pramehaghnī	"f. +"	"     1"	+	1/1	+	
प्रयमण	prayamaṇa	"n. +"					
प्रयुक्ततम	prayuktatama	"adj. +"	"     1"		2/1	+	
प्रयोद्धृ	prayoddhṛ	"adj. +"					
प्रलब्धृ	pralabdhṛ	"adj. +"	"     1"	+	1/1	+	
प्रलम्बिन्	pralambin	"adj. +"	"     3"	+	3/3	+	
प्रवदितर्	pravaditar	m.					
प्रवद्भार्गव	pravadbhārgava	"n. +"					
प्रवह्	pravah	"Verb.cl.1.A. +"	"    32"	+	6/21	+	
प्रवा	pravā	"f.Verb.cl.4.P. +"	"    68"	+	5/20	+	
प्रवासय्	pravāsay	"Verb.cl.10.P. +"	"    35"	+	4/11	+	
प्रविख्यात	pravikhyāta	"adj. +"					
प्रविज्	pravij	"Verb.cl.6.A. +"	"     2"	+	1/1	+	
प्रवृद्ध	pravṛddha	"adj. +"	"     4"	+	2/3	+	
प्रवेटः	praveṭaḥ	m.					
प्रवेध	pravedha	"m. +"	"     2"		1/1	+	
प्रश्रु	praśru	"Verb.cl.5.P. +"					
प्रसंगम	prasaṁgama	"m. +"	"     1"	+	1/1	+	
प्रसर्पः	prasarpaḥ	m.					
प्रसलवि	prasalavi	"ind. +"					
प्रसवन्ती	prasavantī	"f. +"					
प्रसवमास	prasavamāsa	m.					
प्रसादस्थ	prasādastha	m.f.n.					
प्रस्कंदिका	praskaṁdikā	f.					
प्रस्थानभेद	prasthānabheda	m.					
प्रस्थापय्	prasthāpay	"Verb.cl.10.P. +"	"    98"	+	3/8	+	
प्रहणेमि	prahaṇemi	"m. +"					
प्रहर्ष	praharṣa	"m. * +"	"   107"	+	5/20	+	
प्रहसितनेत्र	prahasitanetra	"m. +"	"     1"	+	1/1	+	
प्रहीणजीवित	prahīṇajīvita	m.f.n.					
प्राक्श्रोतस्	prākśrotas	Noun					
प्राक्समास	prāksamāsa	"adj. +"					
प्राक्सवन	prāksavana	n.					
प्रागाथक	prāgāthaka	"adj. +"					
प्राग्घण्टिका	prāgghaṇṭikā	"f. +"	"     1"		1/1	+	
प्राणप्रिय	prāṇapriya	"m. +"					
प्राणप्रेप्सु	prāṇaprepsu	"adj. +"					
प्राचीनपनसः	prācīnapanasaḥ	m.					
प्राचीनमत	prācīnamata	"n. +"					
प्राचीनहरण	prācīnaharaṇa	"n. +"					
प्राचीनापवीतिन्	prācīnāpavītin	"adj. +"					
प्राजकः	prājakaḥ	m.					
प्राजन	prājana	"mn. +"	"     2"		1/2	+	
प्राजया	prājayā	f.					
प्राजल	prājala	"m. +"					
प्रातिस्विक	prātisvika	"adj. +"	"     2"		1/2	+	
प्राप्तव्यमर्थ	prāptavyamartha	"m.n. * +"					
प्रायश्चेतन	prāyaścetana	"n. +"					
प्रार्ध्	prārdh	Noun					
प्रावृष्	prāvṛṣ	"f. * +"	"   145"		6/42	+	
प्रियङ्करी	priyaṅkarī	f.					
प्रेङ्खोल्	preṅkhol	Noun					
प्रेष्यः	preṣyaḥ	m.					
प्रोक्षणी	prokṣaṇī	"f. +"	"    18"		4/11	+	
प्रोञ्छन	proñchana	n.					
प्रोषक	proṣaka	"m. +"					
प्रोष्ठपदः	proṣṭhapadaḥ	m.					
प्लति	plati	"m. +"	"     2"	+	1/1	+	
फणधर	phaṇadhara	"m. +"	"     1"	+	1/1	+	
फणमणि	phaṇamaṇi	"m. +"					
फणाफलक	phaṇāphalaka	"n. +"	"     1"		1/1	+	
फणाभरः	phaṇābharaḥ	m.					
फणामणिसहस्ररुच्	phaṇāmaṇisahasraruc	"f. +"					
फलत्रिक	phalatrika	"n. +"	"    16"	+	4/9	+	
फलराशि	phalarāśi	"m. +"					
फलाम्ल	phalāmla	"m.n. +"	"     7"		4/4	+	
फल्गू	phalgū	Noun					
फुप्फु	phupphu	"ind. +"					
फुल्ललोचनः	phullalocanaḥ	m.					
फुल्लित	phullita	"adj. * +"	"     1"	+	1/1	+	
फेञ्चक	pheñcaka	m.					
बंध्या	baṁdhyā	f.					
बकनखगुदपरिणद्ध	bakanakhagudapariṇaddha	m.					
बद्धदर्भ	baddhadarbha	"m. +"					
बद्धप्रतिज्ञ	baddhapratijña	n.					
बन्धुजीवकः	bandhujīvakaḥ	m.					
बन्धुरकोमलाङ्गुलि	bandhurakomalāṅguli	"adj. +"					
बर्हापीड	barhāpīḍa	m.					
बल्	bal	"Verb.cl.1.P.Verb.cl.10.A. *"					
बलक्षतण्डुला	balakṣataṇḍulā	"f. +"					
बलय्	balay	"Denom.A. +"					
बलवर्धन	balavardhana	"m. +"	"     2"		1/1	+	
बलिमन्दिरं	balimandiraṁ	Noun					
बलीकृ	balīkṛ	"Verb.cl.8.P. +"	"     1"	+	1/1	+	
बहला	bahalā	"f. +"	"     1"	+	1/1	+	
बहिर्यान	bahiryāna	"n. +"					
बहुपत्रिका	bahupatrikā	f.					
बहुपुत्त्र	bahuputtra	m.f.m.f.n.					
बहुप्रजः	bahuprajaḥ	m.					
बाणधि	bāṇadhi	"m. +"	"     1"	+	1/1	+	
बाणवृष्टि	bāṇavṛṣṭi	f.					
बार्हदीषव	bārhadīṣava	"m. +"					
बाहुविद्ध	bāhuviddha	"m. +"					
बाहुविमर्द	bāhuvimarda	"m. +"					
बाह्य	bāhya	"adj.m. * +"	"   629"	+	7/101	+	
बिन्दुरेखा	bindurekhā	"f. +"	"     8"		1/1	+	
बिम्बटङ्क	bimbaṭaṅka	"m. +"	"     1"		2/1	+	
बुद्धसंगीति	buddhasaṁgīti	"f. +"					
बुद्धियोगमय	buddhiyogamaya	n.					
बृहदग्निमुख	bṛhadagnimukha	n.Partic.					
बृहन्नाट	bṛhannāṭa	"m. +"					
बोधवासर	bodhavāsara	"m. +"					
ब्रह्मकैवर्तपुराण	brahmakaivartapurāṇa	"n. +"					
ब्रह्मणस्पति	brahmaṇaspati	"m. * +"	"    76"		3/11	+	
ब्रह्मयज्ञः	brahmayajñaḥ	m.					
ब्रह्मयज्ञतर्पण	brahmayajñatarpaṇa	m.f.n.					
ब्रह्मवृत्ति	brahmavṛtti	"f. +"					
ब्राह्मणवर	brāhmaṇavara	"m. +"					
ब्ली	blī	f.					
भंजक	bhaṁjaka	f.					
भक्षाली	bhakṣālī	"f. +"					
भगवन्नाममाहात्म्यग्रन्थसंग्रह	bhagavannāmamāhātmyagranthasaṁgraha	m.					
भण्डर	bhaṇḍara	"m. +"					
भण्डीरः	bhaṇḍīraḥ	m.					
भद्रङ्कर	bhadraṅkara	m.f.n.					
भद्रतुङ्ग	bhadratuṅga	"m. +"					
भयडिण्डिमः	bhayaḍiṇḍimaḥ	m.					
भरुक	bharuka	"m. * +"					
भवन्मन्यु	bhavanmanyu	"m. +"					
भवव्यय	bhavavyaya	"m. +"					
भवाभिभाविन्	bhavābhibhāvin	"adj. +"					
भस्	bhas	"m.Verb.cl.1.P. * +"	"    20"	+	2/4	+	
भसन्धि	bhasandhi	n.					
भात्वक्षस्	bhātvakṣas	"adj. +"					
भानुनाथ	bhānunātha	"m. +"					
भानुवर्मन्	bhānuvarman	"m. +"	"     1"	+	1/1	+	
भारयष्टि	bhārayaṣṭi	"f. +"					
भालनयन	bhālanayana	m.					
भावयु	bhāvayu	"adj. +"	"     1"	+	1/1	+	
भाषाचित्रक	bhāṣācitraka	"n. +"					
भाष्यप्रत्ययोद्बोध	bhāṣyapratyayodbodha	m.					
भासापुर	bhāsāpura	n.					
भिंदपालः	bhiṁdapālaḥ	m.					
भित्तिका	bhittikā	"f. +"	"     3"	+	2/2	+	
भिन्दुर	bhindura	"m. +"					
भिन्नदृश्	bhinnadṛś	"adj. +"	"     5"		2/2	+	
भिन्नविट्का	bhinnaviṭkā	f.					
भीमकर्म्मन्	bhīmakarmman	m.f.n.					
भीमत्	bhīmat	"adj. +"					
भीमशुक्ल	bhīmaśukla	"m. +"					
भुक्तसमुज्झितं	bhuktasamujjhitaṁ	Noun					
भुवनकोष	bhuvanakoṣa	m.					
भुवनकोशनिरूपण	bhuvanakośanirūpaṇa	"n. +"	"     1"	+	1/1	+	
भूगन्धपति	bhūgandhapati	"m. +"					
भूतकोटि	bhūtakoṭi	"f. +"	"    17"		2/2	+	
भूतिदत्त	bhūtidatta	"m. +"					
भूमण्डल	bhūmaṇḍala	n.					
भूमयति	bhūmayati	n.					
भूमविद्या	bhūmavidyā	"f. +"					
भूमिमत्	bhūmimat	"adj. +"					
भूमीसह	bhūmīsaha	"m. +"					
भूरिधामन्	bhūridhāman	"m. +"					
भृत्यभरण	bhṛtyabharaṇa	n.					
भृष्टपिष्ट	bhṛṣṭapiṣṭa	"n. +"	"     1"		1/1	+	
भृशदण्ड	bhṛśadaṇḍa	m.f.n.					
भेदधिक्कार	bhedadhikkāra	"m. +"					
भेरीस्वनमहास्वना	bherīsvanamahāsvanā	"f. +"	"     1"	+	1/1	+	
भेरुंड	bheruṁḍa	m.					
भोगसद्मन्	bhogasadman	"n. +"					
भ्रमय्	bhramay	"Verb.cl.10.A. +"	"    18"		4/12	+	
भ्राजत्	bhrājat	m.f.n.					
भ्राजस्	bhrājas	"n. +"	"     5"	+	1/2	+	
भ्रामिन्	bhrāmin	"adj. +"	"     1"	+	2/1	+	
भ्राष्ट्रकृत्	bhrāṣṭrakṛt	m.					
भ्राश्	bhrāś	"Verb. cl.1.Verb."					
मकर	makara	"m.n. * +"	"   198"		6/40	+	
मकरन्दः	makarandaḥ	m.					
मकरन्दक	makarandaka	"n. +"	"     1"	+	1/1	+	
मखस्य	makhasya	m.					
मगण	magaṇa	m.					
मघवान्	maghavān	m.					
मघात्रयोदशीश्राद्ध	maghātrayodaśīśrāddha	n.					
मण्डलकं	maṇḍalakaṁ	Noun					
मञ्चागार	mañcāgāra	n.					
मञ्जुप्राण	mañjuprāṇa	m.					
मञ्जुला	mañjulā	f.					
मणिग्रन्थ	maṇigrantha	"m. +"					
मतंगजः	mataṁgajaḥ	m.					
मतिवत्	mativat	m.					
मतिविभ्रान्ति	mativibhrānti	"f. +"	"     1"		1/1	+	
मत्सकाशे	matsakāśe	ind.					
मत्स्यधानी	matsyadhānī	"f. +"					
मदगमन	madagamana	m.					
मदराग	madarāga	"m. +"					
मधुकैटभ	madhukaiṭabha	Noun					
मधुजम्भल	madhujambhala	"m. +"					
मधुतृणं	madhutṛṇaṁ	Noun					
मधुमज्जन्	madhumajjan	"m. +"	"     1"	+	1/1	+	
मधुमस्तकं	madhumastakaṁ	Noun					
मधुसूदनी	madhusūdanī	"f. +"	"     1"	+	1/1	+	
मनीमुषग्राम	manīmuṣagrāma	"m. +"					
मनोहतः	manohataḥ	m.					
मन्त्रगणपतितत्त्वरत्न	mantragaṇapatitattvaratna	n.					
मन्त्रभेद	mantrabheda	"m. +"					
मन्त्ररत्न	mantraratna	n.					
मन्त्रशक्ति	mantraśakti	f.					
मन्त्रसार	mantrasāra	"m. +"					
मन्थ्यग्र	manthyagra	"adj. +"					
मन्द्	mand	"Verb.cl.1.A. * +"	"    53"	+	1/1	+	
मन्युशमन	manyuśamana	m.f.n.adj.					
मरीमृश	marīmṛśa	"adj. +"					
मरुत्क्रिया	marutkriyā	"f. +"					
मरुत्वान्	marutvān	m.					
मरुत्वामल	marutvāmala	m.					
मरुत्सहाय	marutsahāya	"adj. +"					
मर्मवेदिन्	marmavedin	f.					
मर्मृजेन्य	marmṛjenya	"adj. +"	"     2"		1/1	+	
मर्यादिन्	maryādin	"adj. +"	"     1"		2/3/1	+	
मर्शण	marśaṇa	n.					
मलयवती	malayavatī	"f. +"	"     4"	+	2/2	+	
मलयवासिनी	malayavāsinī	"f. +"					
महय्य	mahayya	"adj. +"	"     1"		1/1	+	
महाकण्टकिनी	mahākaṇṭakinī	"f. +"					
महाधी	mahādhī	m.f.n.adj.					
महामुनिः	mahāmuniḥ	m.					
महारथ्या	mahārathyā	"f. +"	"     1"		1/1	+	
महाह्रद	mahāhrada	"mn. +"	"    18"		3/7	+	
महाह्रस्व	mahāhrasva	"adj. +"					
महि	mahi	"adj.mn.m.f. +"	"   232"	+	5/10	+	
महिमान्	mahimān	m.					
महिरकुल	mahirakula	"m. +"					
महिरत्न	mahiratna	"adj. +"					
महीकम्प	mahīkampa	"m. +"	"     1"	+	1/1	+	
महीजः	mahījaḥ	m.					
महीदास	mahīdāsa	"m. +"					
महीमहेन्द्र	mahīmahendra	"m. +"					
मांसभेत्तर्	māṁsabhettar	m.					
मानग्रहण	mānagrahaṇa	"n. +"					
मानय	mānaya	m.					
मायाजीवी	māyājīvī	f.					
मायामाहात्म्य	māyāmāhātmya	"n. +"					
मायाविद्	māyāvid	m.f.n.adj.					
मारबीज	mārabīja	"n. +"	"     1"		2/1	+	
मालकः	mālakaḥ	m.					
मालका	mālakā	"f. +"					
मालतीतीर	mālatītīra	m.n.					
मालिः	māliḥ	m.					
माल्ल	mālla	"m. +"					
मित्रगुप्तचरित	mitraguptacarita	"n. +"	"     1"		1/1	+	
मित्रदेव	mitradeva	"m.n. +"	"     4"	+	2/2	+	
मित्रय	mitraya	m.					
मित्रवान्	mitravān	m.					
मित्र्य	mitrya	"adj. +"	"     4"		2/2	+	
मिथ्याज्ञान	mithyājñāna	n.					
मिथ्याविकल्प	mithyāvikalpa	m.					
मिमर्द्	mimard	"Desid.P. +"					
मिरफ	mirapha	m.n.Partic.					
मिलिंदकः	miliṁdakaḥ	m.					
मीमांसानयविवेक	mīmāṁsānayaviveka	"m. +"					
मीलित	mīlita	"adj. * +"					
मुकंदकः	mukaṁdakaḥ	m.					
मुण्डशयनासनवारिक	muṇḍaśayanāsanavārika	"m. +"					
मुञ्जेषीकतूल	muñjeṣīkatūla	n.					
मुञ्जेषीकतूल	muñjeṣīkatūla	n.					
मुण्डिरी	muṇḍirī	"f. +"	"     1"	+	1/1	+	
मुत्यम्	mutyam	Partic.					
मुमोचयिषु	mumocayiṣu	"adj. +"	"     1"	+	1/1	+	
मुरमर्दन	muramardana	"m. +"	"     1"	+	1/1	+	
मुरमर्दनः	muramardanaḥ	m.					
मुरजफलः	murajaphalaḥ	m.					
