akṣ	akṣṇuhi ākṣiṣuḥ akṣat ākṣāṇa 
bhājay	bhājita bhājayati bhājayāma bhājayāmaḥ bhājayet abhājayat bhājayata bhājayiṣyanti bhājayat bhājayitavya 
bhāvay	bhāvita bhāvayet bhāvya bhāvayitvā bhāvayat bhāvayanti bhāvanīya bhāvayati bhāvyate bhāvaya bhāvayate bhāvayitavya bhāvayitum bhāvya bhāvyamāna abhāvayan bhāvayiṣyanti bhāvyante bhāvaye bhāvayasi bhāvayata bhāvayantu bhāvyase bhāvayase bhāvayitā bhāvayiṣyate bhāvayiṣyadhvam 
bhāṣ	abhāṣata bhāṣita babhāṣe bhāṣate bhāṣase bhāṣamāṇa bhāṣante bhāṣyamāṇa bhāṣitum abhāṣanta bhāṣeta bhāṣat bhāṣiṣye bhāṣiṣyate babhāṣire bhāṣyate abhāṣathāḥ bhāṣiṣyante abhāṣat babhāṣa bhāṣitavya bhāṣethāḥ bhāṣanti bhāṣe bhāṣatām bhāṣet bhāṣatu abhāṣi bhāṣitvā bhāṣadhve bhāṣeran bhāṣasva abhāṣāvahi bhāṣyante bhāṣasi bhāṣeyam bhāṣata abhāṣatām bhāṣiṣyāmi bhāṣiṣyāmaḥ bhāṣyatām bhāṣathāḥ bhāṣyeta bhāṣitavat 
bhāṣay	bhāṣita bhāṣayeta bhāṣayitvā bhāṣayitum 
bhās	bhāsate babhāse bhāsita bhāsamāna bhāsante bhāsataḥ bhāsanti bhāsat bhāsati babhāsire abhāsanta abībhasat bhāsyamāna 
bhāsay	bhāsayat bhāsayate bhāsayati bhāsayet abhāsayat bhāsayasi bhāsayanti bhāsayiṣyati bhāsayāmāsa bhāsayāmāsuḥ bhāsita bhāsya 
bhikṣ	bhikṣamāṇa bhikṣeta bhikṣita bhikṣitvā bhikṣitum bhikṣe bhikṣate bhikṣanti bibhikṣe bhikṣante bhikṣeran bhikṣasva bhikṣāmaḥ bhikṣa bhikṣiṣye bhikṣanta bhikṣat bhikṣitavya 
bhid	bhinna bhittvā bhidyate bibheda bhidyamāna bhinatti bhindyāt bhidyante abhinat bibhiduḥ bhindat bhinddhi bhedya bhettum bhindanti bhinadmi bhetsyanti bhinat bhidyeta abhidyata bhidyeran bhindyuḥ bhetsyāmi bhedanīya bhetsyati bhindyām bhidyete bhetsyase bhedati bhinat bhet bhindāna abhinat abhidyetām abhidyanta bibhide bhetsyate bhidyatām abhidyate abhedi bhet bhettavya bhinatsi bhindyāḥ abhindam abhindan bhinattu bhetsyante bhidyasva bhidyatām bhindyantām abhindat bhidyanti bibhidāte bhetthāḥ abhedam abhet bhideyam bhinadaḥ bhinadat bhidyat bhinnavat bhidat 
bhī	bhīta bhetavya bibhemi bibheti bhaiḥ bhaiṣīḥ bibhyat bibhyati abibhayuḥ bhaiṣṭa bibheṣi bibheḥ abibhet bibhīvas bibhāya bibhītaḥ bhayate bhayante bibhīyāt bibhiyāt bibhye bibhītana bhiyāna abhaiṣma bhaiṣṭam bibhīta bhayāte bhayāmahe bhema bhayya bhayamāna bibhīmaḥ bibhiyuḥ abibhyan abhaiṣuḥ bibhaya bibhyatuḥ bibhīma bibhyuḥ bhīyate bibhyasi bibhyate bibhyeyuḥ bibhetu bhīta bibhyethāḥ bhaiṣuḥ abheṣyat bibhayāṃcakāra bibhayāṃcakruḥ bibhimaḥ bibhyet bhayatām bhayete abībhayanta bībhayat abhayanta abheḥ bībhāya bheya 
bhīṣay	bhīṣayat bhīṣita bhīṣayitum bhīṣayet abhīṣayat bhīṣayeḥ bhīṣayāṇa bhīṣayitvā bhīṣayasi bhīṣayanti bhīṣaye bībhiṣathāḥ bhīṣayai 
bhuj	bhuktvā bhukta bhuṅkte bhuñjīta bhuñjāna bhogya bhuktavat bhojya bhuṅkṣva bhoktavya bhujyate bhuñjate bhoktum bhuñjate bhoktum bubhuje bhuñjat bhugna bhunakti bhujyatām bhokṣye bhokṣyase bhojanīya bhokṣyanti bhujyamāna bhuñjīyāt bhokṣyati bhuktavat bhuje bhuñjanti bhuñjati bhokṣyate bhuṅkṣe bhujyante bhuñje bhokṣyāmi bhuñjīran bhujema bhuñjīyātām bubhujire bhuñjante bhokṣyāmaḥ bhuñjīyām abhuṅkta bhunajāmahai bhokṣyasi bhoktāraḥ bhuñjāmaḥ bhojase bhujyate bhokṣyāmahe bhokṣyante bubhujāte bhokṣyāma bhuṅkta bubhujuḥ bhoktāsmi bhoktāsi bhoktā bhuñja bhuja bubhujrire bhokṣyamāṇa bhuñjāte bhuñjmahe bhuñjīya abhuñjāthām abhuñjātām abhuñjata bhokṣyāvahe bubhukṣe bubhujmahe bhuṅktaḥ bhuṅktām bhuṅkṣadhvam bhokṣyāvaḥ bhokṣyatha abhuñjan bhuñjyāt bhuñjyuḥ bhunaktu bhuñjantu bhuñjāmi bhuñjet bhojate bhojam bhukṣiṣīya bhuṅktvā bhuñjamāna bhujat bhujyante abubhojīḥ bhogya bhuktvā bhujyamāna bhuje 
bhū	bhavet bhavati abhavat bhavanti bhūta abhūt bhaviṣyati bhūtvā babhūva bhava abhavan bhaviṣyanti bhavatu babhūvuḥ bhavitā bhaviṣyasi bhūt bhavat bhavataḥ bhavat bhaviṣyāmi bhavantu bhaviṣyat bhavitavya bhavya abhūvan bhaveyuḥ bhūyāsam abhavam babhūvatuḥ bhūyāt bhavitum bhūḥ bhāvya bhavāmi bhaveyam abhaviṣyat bhūtu bhavasi bodhi abhavaḥ bhavata bhaviṣyāmaḥ bhuvat bhaviṣyataḥ bhaviṣyatha abhūvam bhuvat bhavema abhūma babhūtha bhavate bhavāti abhūḥ bhavatām bhavatam bhavasva abhūtām bhuvaḥ bhavetām bhūtam bhave bhaveḥ bhavitāraḥ bhuvat bhuvaḥ bhūyāḥ bhavitāsi bhūyāḥ abhavatām bhuvan babhūvitha bhūma bhavathaḥ bhavethāḥ bhavatāt bhūta bhavatha bhūvan bhavāsi abhaviṣyaḥ abhaviṣyan bhavāmahe bhaveta bhaviṣyate bhuvam bhūta abhūtana bhavāmaḥ bhavatām bhavāma bhaviṣyāvaḥ babhūvathuḥ abhaviṣyam bhaviṣyadhvam abhūta bhavat bhūyāt bhūyāma bhūtam bhavan babhūvas abhavatam bhaviṣyathaḥ abhūva babhūvima bhūyate bhūyāsma bhūyāsuḥ bhavitārau abhavati babhūyāt bhūtvī abhavata babhūva bhavante bhaveya bhavemahi bhaveran bhaviṣye bhaviṣyete bhavitāsmi bhūyām abhuvam abhuvan bhūyāḥ bhūtana bhavāni abhūtam abhūta babhūva bhūye bhūyāsva bhūyāstām bhūyasma bhavase bhavete bhaveyātām bhaviṣyeyam bhonti bubhūvire abhāvi bhūyuḥ bhūvam bhavāḥ bhuvāni bhūtas bhūthaḥ babhūyāḥ babhūtu bhūtavat bhavitoḥ 
bhūṣ	bhūṣati bhūṣa bhūṣat bhūṣathaḥ bhūṣanti bhūṣata bhūṣasi bhūṣatam abhūṣan bhūṣataḥ bhūṣatu bhūṣema abhūṣat bhūṣāt bhūṣan 
bhūṣay	bhūṣita bhūṣayitvā bhūṣayat bhūṣayāmāsa bhūṣayanti bhūṣayati bhūṣayāṃcakrire bhūṣayet abhūṣayam abhūṣayat bhūṣayāṃcakruḥ bhūṣayāmāsuḥ bhūṣyante bhūṣayat bhūṣayiṣyat bhūṣayitavya bhūṣya 
bhṛ	bibhrat bibharti bhara bhṛta bibhṛyāt bibhrāṇa bibharṣi babhāra bhartavya bibhrati bharata bhare bharate jabhāra bharanti bharat bharat bharasva bibharmi abharat bharadhvam bharati bharāmi bhārya bhṛtvā bharamāṇa bibhṛtaḥ bharante bharāmasi bibhṛthaḥ bharāmahe jabhārā bharaṇīya bharanta bibhṛtha bhriyate bhareyam bharatām jabhruḥ abibhar bhariṣyāmi bharathaḥ bhariṣye abibhrat jabhrire bhartum bhariṣyati bhariṣyanti bhriyante bharantu bharethāḥ bharāḥ bharāti jabharat jabhriṣe bhartā bharti bharan bhriyamāṇa bibhartum bhartave bharadhyai bibhṛmaḥ abibhran abhārṣīḥ babhruḥ bharasi bharatha bharema bharatam abharan bharantām abhāri bharemahi bharase bharete bharadhve bībharaḥ bibhrat bibhartu bibhṛtām bibhratuḥ bibharāṃbabhūva bibharāṃbabhūvuḥ bharā bharāma ajabhartana jabhre abharanta bibhṛmasi bharaḥ abharat abharan babhre bharerata bharāt jabhartha bhriyāte bhāḥ bibharat bharaḥ bharṣat bibhrate bhāri bharata bhriyāsām bharitavya bibhramāṇa babhrāṇa 
bhṛjj	bhṛṣṭa bhṛṣṭvā abhṛjjyata bhṛjjāti 
bheday	bhedayet bhedita bhedayitvā bhedayāmāsa bhedayitum bhedaya bhedayeyuḥ bhedayantu bhedya bhedayāmi bhedayāmaḥ bhedayanti bhedayeyam bhedayiṣyāmi bhedyate bhedayasva bhedayat bhedyamāna bhedanīya 
bhojay	bhojayet bhojayitvā bhojita bhojayitum bhojayate bhojayāmāsa bhojayati bhojaya bhojayiṣyāmi bhojya bhojayanti bhojayiṣyati bhojya bhojayāmi bhojayata abhojayat bhojayāmāsuḥ bhojayat bhojyamāna bhojayema bhojayeyuḥ bhojyate abhojayanta bhojayethāḥ bhojyantām bhojayitavya bhojanīya 
bhraṁś	bhraṣṭa bhraśyate bhṛṣṭa bhraśyati bhraśyamāna bhraśyanti abhraśyanta bhraśyeta bhraśat bhraśyat bhraṃśate bhraṃśasva bhraśyante bhraśyataḥ bhraśyatu babhraṃśe babhraṃśire abhraśyata 
bhraṁśay	bhraṃśita bhraṃśayati bhraṃśayiṣyāmi bhraṃśayiṣyasi bhraṃśayiṣyati bhraṃśayeyam bhraṃśayet bhraṃśayāmāsa bhraṃśayeta 
bhram	bhramat bhrānta bhramati bhramanti bhramate babhrāma babhramuḥ bhrāmyat bhrāntvā bhramasi bhramamāṇa bhrāmyati bhramet bhramante bhramitvā abhramat bhramase bhramataḥ abhraman bhramāmi abhramam bhrāmya bhrāntavat bhramāmaḥ bhrama bhramāma bhramiṣyatha bhramiṣyanti bhremuḥ bhrāmyasi bhrāmyanti abhramata bhramaṇīya 
bhramay	bhramayati bhramita bhramayasi bhramayate bhramaya bhramayat bhramayitvā 
bhrāj	bhrājamāna bhrājate bhrājat bhrājante bhrājase babhrāja bhrājanti abhrājata bhrājati babhrāje babhrājire bhrejire abhrāṭ bhrājete bhrājiṣye bhrājiṣyate bhrājasi bhrājatu babhrājuḥ bhrājanta abhrāji 
bhrājay	bhrājayat 
bhrāmay	bhrāmayat bhrāmayitvā bhrāmayāmāsa bhrāmayet bhrāmyamāṇa bhrāmyate bhrāmita bhrāmayanti bhrāmya abhrāmayat bhrāmayati bhrāmyante bhrāmayate bhrāmayeyuḥ bhrāmayat bhrāmayāṇa 
maṇḍay	maṇḍita maṇḍayet maṇḍayitvā maṇḍayāṃcakrire maṇḍayati maṇḍyatām maṇḍayāmi maṇḍayasi maṇḍayanti maṇḍayantu maṇḍayiṣyasi maṇḍayiṣyanti maṇḍayāmāsa maṇḍayat maṇḍayitum maṇḍyamāna 
majj	magna majjat majjati majjanti majjamāna majjet mamajja majjeyuḥ majjate majjeta majjitum magnavat majjeyam majjeḥ majjatu amajjat majjante amajjata amāṅkṣīt mamajjuḥ majjīḥ maṅktum 
majjay	majjita majjayati majjayet majjayāmāsa majjayat majjayanti amajjayat amajjayan majjayitvā majjaya majjayiṣyāmi majjayiṣyasi majjayate majjayitum 
math	mathita mathyamāna mamanthuḥ mathitvā manthanti matha mamantha mathnat mathyate mathitum mathnāti mathya mathnāmi mathnīyāt mathnanti mathiṣyāmi mathyatām amathnāt amanthata mathyat mathyante mathet manthadhvam mathyeran mamanthe amanthatam mathīt amanthiṣṭām manthata manthāma mathīḥ mathnīta mathnantu manthati manthatu mathīt mamātha manthantu mathat manthet mathitoḥ manthitavai 
mathay	amathayat 
mad	matta madanti madema madat mandāna matsva matsi mamattu madya mandantu amadan mādyati mādyat mandatu madantu amādyat amandiṣuḥ amandan madadhvam mandamāna mamāda mādyanti mandase madanīya madati madatha mādyasi mamaddhi matsat madathaḥ madata mamattana mamadaḥ amīmadanta amatsata madāmaḥ madeḥ mada madatām amadaḥ amadat amadāma amadaḥ amadat mādyet madate mandan mamadat mamadan amatta matsi mamanda amatsuḥ matsati matsatha mamatsi amīmadam amīmadaḥ amīmadat manda madan amādiṣuḥ amamaduḥ matsata madāmasi amandat madeta madaḥ 
maday	madayati madayanti madayāṃcakāra madayate madayām madayat madita madayitvā 
man	mata manye manyate manyase matvā mene manyante manyamāna amanyata manyeta menire mānya mantavya maṃsyante manvāna amanyanta manya manute manāmahe manyāmahe manyadhve manyadhvam maṃsyate manmahe manyasva amanmahi manyethāḥ manyatām amanyat amaṃsta manve manyantām manvate maṃsthāḥ maṃsate mantum amaṃsata maṃsyati manyāmi manvīta maṃsīmahi maṃsase manyethām amanye menāte amaṃsthāḥ amaṃsmahi manyanti manyet manvīran amanvata manyata manvata manyat manyāvahe manyete manyeran amanyetām maṃsyase manyatu manyāma amanyāma amaṃsata manvāma manyasi manyāmaḥ manyanta manvāni manvīthāḥ maṃsta māṃsta masīya maṃsīṣṭhāḥ maṃsīṣṭa maṃsīrata maṃsai maṃsante manyāte mamanyāt mamandhi amaman mamnāte amata manavai manavate mananta amanuta maniṣye manyathāḥ manutām maṃsi manya manāna mantavai 
manasy	manasyati manasyasi manasye 
manāy	manāyati manāyat 
mantray	mantrita mantrayitvā mantrayet mantrayāmāsa mantrayāmāsuḥ mantrayāmahe mantrayeta mantrayamāṇa mantrayasva amantrayanta mantrayanti amantrayata mantrayat mantrayase amantrayan mantrayete mantrayante mantrayeyam mantrayetām mantraye amantrayat mantrayiṣyati mantrayadhvam mantrayitum mantrayāmaḥ mantryate mantrayeḥ mantrayeyuḥ mantrayate mantraya mantrayāmāsatuḥ mantrayethāḥ amantrayetām mantrayan mantrayāṃcakre mantrayāṃcakrāte mantrayāṃcakrire mantrayiṣye mantrayiṣyāva mantryatām mantrya mantrayitavya mantrya 
manthay	manthayet manthita manthayati manthayitavya 
mand	mandasāna mandasva mandase amandata mande mandāmahe mandadhve mandiṣṭa amandiṣātām amamanduḥ amandathāḥ mamandat amandīt mandadhyai mamandivas mandat 
marjay	marjayanta marjayat marjayasi marjayanti marjayema marjayante marjayan marjayadhvam marjayāmasi 
marday	mardayet mardita mardayitvā mardya mardayat mardayanti mardayāmāsa mardyamāna mardayati mardaya mardayiṣyāmi mardyate mardayeta 
marmṛj	marmṛjāna marmṛjyante marmṛjyamāna marmṛjat marmṛjyate marmṛjma marmṛjata marmṛjanta marmṛjat 
marmṛś	marmṛśat marmṛśat 
marṣay	marṣita marṣayati amarṣayata marṣayet marṣayāmi marṣayanti amarṣayat marṣayiṣyati marṣayiṣyāmi marṣaye marṣayate marṣitavat marṣayetām marṣayeyuḥ marṣaya marṣayāma amarṣayan marṣayāmāsa marṣayase marṣayadhvam marṣayemahi marṣayat marṣayitvā marṣayitum 
marśay	marśayet marśayat 
mah	māmahantām maṃhate māmahe maṃhase mahema māmahasva amaṃhata mahe māmahaḥ maheta māmahanta mahe māmahāna maṃhamāna 
mā	mita meya amimīta mimīte mimāna mīyate mame mamire mimāti māsi mimīhi mimāya amīmet mimate māti mitvā māhi mīyamāna mātavai mīyante mime mimītam mimāthām mimāte māsva mimanti mīmayat mimātu mame mimīthāḥ mimītām mimīyāt mamāte mamatuḥ mamuḥ māyet amimātām amāsi 
māday	mādayasva mādayantām mādayadhvam mādayante mādayethām mādaya mādayadhyai mādayāse mādayādhvai mādayanti mādayase mādayat mādayati mādayata mādayantu mādayethe mādayete mādayāthaḥ mādayaite mādayāte 
mānay	mānita mānya mānayat mānayet mānayitvā mānayanti mānanīya mānayiṣyāmaḥ mānayāmāsa mānayiṣyati mānayiṣyanti mānyamāna mānayāmi mānaya mānayasva mānayati mānayāmaḥ mānyate mānayiṣyat mānayitavya mānayasi mānayeyuḥ mānayata mānayantu amānayat mānayāṃcakrire mānyatām mānayase mānayate mānya mānayitum 
māpay	māpita māpayāmāsa māpayitvā amīmapat māpayitum māpayanti māpayāmāsuḥ māpayeyam māpayema māpayeyuḥ māpaya māpayata māpayiṣyanti māpayate māpayāmahe māpayāṃcakre māpitavat māpayāna 
māray	mārayet mārita mārayati māraya mārya amārayat mārayanti māryamāṇa mārayitvā mārayate mārayiṣyāmi māraṇīya mārayeyam mārayeyuḥ mārayiṣyati māryate mārayat mārayase mārayāmāsa mārayat mārayitum 
mārg	mārgamāṇa mārgitavya mārgeta mārgat mārgasva mārgadhvam mārgitum mārgati mārgate mārgitvā mārgata mārgante mārgāmi mārget mārgāmahe amārgata amārganta 
mārjay	mārjayet mārjita mārjayantām mārjayitvā mārjayante mārjayati mārjayeta mārjayeran mārjayīran mārjayīta mārjaya mārjayat 
mi	minotu minomi minoti mimāya mīyante minavāma minvan minvat meṣyat 
mikṣ	mimikṣatam mimikṣatām mimikṣire mimikṣe mimikṣa mimikṣatuḥ mimikṣa mimikṣuḥ mimikṣva mimikṣati 
mith	mithat mimetha methāmasi methete 
mil	milita milati milanti militvā milat milet milate melanīya 
miṣ	miṣat miṣanti miṣati 
miśray	miśrita miśrayet miśrayitvā amiśrayat amiśrayan miśrya 
mih	mehati mīḍhvas mehat mehet mehanti meheta mīḍha mehamāna mihe mehatu mekṣyāmi 
mī	minanti mināti minat minat amināt mināmi minīmasi meṣṭhāḥ mīyate mimāya mināma mimīyāḥ mimīyāt amināḥ minīt minan meṣṭa aminantam mimītaḥ mimaya mīmāya mīyeta mināna mīta 
mīl	mīlat mīlati mīlyate 
mīlay	mīlita mīlaya mīlayitvā mīlayati mīlayanti amīlayat mīlayat mīlayitum 
mukulay	mukulita mukulayat 
muc	mukta mucyate muktvā mumoca muñcati muñca muñcat mucyante mucyeta mumucuḥ muñcanti muñcantu muñcet muñcatam mokṣyase muñcāmi moktavya mucyatām moktum muñcatu mucyet amuñcat muñcate amuñcata mokṣyati muñcata mokṣyate mucyamāna mokṣyāmi amucyata muktavat mumugdhi muñcasi amuñcatam mumuce mocya amuñcatām mucyeyam muñceyam mucyase mokṣye mumuktam mokṣyanti mucyeran moci mumocatam muñcataḥ amuñcaḥ amuñcan mokṣyante amucat mumoktu muca muñcātu muñcathaḥ muñcāmaḥ muñcatām amuñcam mokṣyasi mucyantām mucyema muñcasva amumuktam mumucatuḥ mucye mucyasva mucyeya mucyati mucyanti amuñcanta muñcethāḥ amoci mucaḥ mumocati mumocat amukthāḥ mukṣata mucya mumucāna muñcatha mokṣyathaḥ mumoca mucyadhvam mucyedhvam amucyanta mokṣyete muñcase muñcante moktā amuñcathāḥ mumucāte mumucmahe muñcatām muñcadhvam muñceta amucan mucāte mumocata muñcāsi muñcāti mukṣata mukṣīya mumucre mucanti mucāti mucat mumucaḥ amugdhvam mucyātai mucadhvam mucīṣṭa muñcāt amok muñcamāna mocitum 
mud	mudita modate mumude modante modamāna mumoda modanti modasva modadhvam modantām mumudire modiṣye mumuduḥ modati modase modatām modet modeta amodata amodanta modiṣyase mumudāte modasi modantu amodan modiṣyasi modiṣyanti modiṣīṣṭhāḥ mudīmahi modat modanīya 
mudray	mudrita mudrayet mudrayitvā mudritavya mudrayat 
mumukṣ	mumukṣamāṇa mumukṣeya mumukṣat mumukṣita 
muṣ	muṣita muṣṇāti muṣṇat muṣṇanti muṣitvā moṣīḥ muṣiṣyāmaḥ muṣitum amuṣṇāt muṣyante moṣīt muṣṇāsi muṣṇīyāt amuṣṇāḥ amuṣṇītam mumoṣa muṣyeta moṣatha moṣiṣyate muṣṭa muṣe 
muh	mūḍha mugdha muhyati mumoha muhyanti muhyāmi muhyamāna muhyet muhyate muhyat mumuhuḥ muhyase muhyasi muhyantu amuhyat mumuhe muhyeta amūmuhat muhyante muhyeḥ muhyata amuhyan amuhyata amuhyanta muhe 
mūtray	mūtrayet mūtrita mūtrayat mūtrayati amūtrayan mūtrayante mūtrayeta 
mūrch	mūrta mūrchita mūrchanti mūrchati mūrchat mūrchitvā mumūrcha mūrchamāna mūrchet 
mūrchay	mūrchita mūrchayet mūrchayati mūrchayitvā mūrchayanti mūrchaya amūrchayat mūrchayat mūrchayitavya 
mṛ	mṛta mriyate mamāra mriyante mriyamāṇa martavya mariṣyāmi mariṣyati mariṣyasi mriyeta martum mariṣyat mṛṇīhi mriyanti mṛtvā mriye mariṣyanti mriyasva mṛthāḥ māraṇīya mamṛvas mriyet mriyatām marāma mara mariṣyāmaḥ mriyase mriyati mriyeta mriyeran mariṣye marāti maranti maret mariṣyāvaḥ mariṣyataḥ mamruḥ mriyete mriyāmi mriyeyam mriyeyuḥ mamrire marate marāmahe murīya marai mṛta amṛta mārya mriyat mṛtavat mariṣyamāṇa martave mṛṇīta mṛṇasi amṛṇat mūrṇa 
mṛkṣ	mimṛkṣuḥ 
mṛṇ	mṛṇa mṛṇasi mṛṇat mṛṇata amṛṇaḥ amṛṇatam amīmṛṇan mṛṇat 
mṛj	mṛṣṭa mṛjanti mṛjyamāna mṛjyate mṛjmahe marjya mārṣṭi mṛje māmṛje mṛjāna mamārja mārṣṭu mṛḍḍhi mṛjanti mārjanti māmṛjuḥ amṛkṣanta amṛjata mṛṣṭa mṛṣṭe mṛkṣva mṛḍḍhvam mṛñjata mṛṣṭvā mārjmi mṛjmaḥ mṛjyase mṛjyāt amṛjat mārjasva amṛkṣāma amṛkṣata mṛkṣatam mamṛje māmṛjīta mṛkṣā mṛṣṭām mṛjate mārjat mṛjya mārṣṭum 
mṛd	mardya mṛdita mardanīya mṛdnat mamarda marditum mṛditvā mṛdyamāna mṛdnīyāt mamṛduḥ mṛdnāti amṛdnāt mardyāt mardamāna mṛdyate mṛdnanti amṛdnan mamṛde mṛdnīyuḥ mamṛdatuḥ mardate mardata mardati amīmṛdat mardīḥ marditvā marditavya mardat 
mṛdh	mardhat mardhanti mardhīḥ mardhiṣat mardhiṣṭam mardhati mardhataḥ mṛdhyāḥ mṛdhāti 
mṛṣ	amṛṣyata mamṛṣe amṛṣyanta mṛṣyate mṛṣyatām mṛṣyamāṇa mṛṣyanti marṣaṇīya mṛṣye mṛṣyāmi mṛṣyat mṛṣyante mṛṣyante amṛṣyat mṛṣyati mṛṣyet mīmṛṣaḥ mṛṣyase mṛṣyeran amṛṣyetām mṛṣyate mṛṣyāmaḥ mṛṣa amṛṣat mṛṣyāt mamarṣa marṣiṣṭhāḥ mṛṣṭhāḥ mṛṣanta mṛṣat 
mṛś	mṛśa mṛṣṭa mṛśāmasi mṛśat mṛśate mṛśanti mṛśet mṛśyāmi mṛśase amṛkṣat mṛkṣaḥ mṛkṣata mṛśasva mṛkṣatam 
med	medyati medyanti medyantu medyate medatām 
meday	medayatha 
melay	melayet melayitvā melita melayati melayanti melaya 
mokṣay	mokṣita mokṣayet mokṣayāmāsa mokṣayitvā mokṣayiṣyati mokṣayiṣyāmi mokṣayat mokṣaya mokṣayethāḥ mokṣayitum mokṣayati mokṣayanti amokṣayat mokṣayitā mokṣayadhvam mokṣayiṣyat mokṣayitavya mokṣayāmi mokṣayatu mokṣayata mokṣayiṣyasi mokṣayeta mokṣayasva mokṣayiṣye mokṣaṇīya mokṣitavya 
mocay	mocita mocayet mocayati mocayitvā mocaya amocayat mocayāmāsa mocayiṣyati mocayitum mocayāmi mocayanti mocayeyam mocayitavya mocayatu amocayan mocayiṣyāmi mocaye mocayate mocayasva mocayāmāsatuḥ mocayitā mocayat mocya 
moday	modita modayat modayati modayanti modayeyuḥ moditvā 
moṣay	moṣayati 
mohay	mohita mohayat mohayitvā mohayāmāsa mohayati mohayanti mohaya mohayet mohayasi mohayatu mohayate amohayat mohanīya mohayāmi mohayeḥ mohayante mohayitum mohyate mohayeyuḥ mohayiṣyāmi mohayiṣyati amohayata mohayiṣyāmahe mohayāṃcakratuḥ mohayāmāsatuḥ mohayiṣyat 
mnā	amnāyi manat mnāta 
mrad	mrada 
mruc	mlocanti 
mlā	mlāna mamluḥ mlāyanti mlāyante mlāyat mamlau mlānti mlāyate mlāyeta mlāta 
mlāpay	mlāpita mlāpayāmi mlāpayāmasi 
yakṣ	yakṣanta 
yaj	yajamāna yajet iṣṭvā yajati iṣṭa yajeta yajanti yajate yajante yajasva yajat yaṣṭavya īje yaja ijyate ījāna ayajat yaṣṭum yajāmahe ayajanta yakṣat yakṣi yakṣyamāṇa yajadhyai ayajata iṣṭavat yajadhvam yakṣi ijya ījire yaje iyāja ayakṣata ijyante yajāti ayajan yajasi ayajaḥ yajase yajeran yakṣye yakṣi yajāsi ijyamāna yajāmi yajāma ayajam yakṣyanti yajatām yajāte yajatu yakṣyāmi yajantām yakṣyate yajātai yakṣatām yakṣva yajataḥ yajeyam yajata yakṣyati ijyase yakṣyāmahe yakṣāma ayaṣṭa yajāt yeje yajāmasi ījivas yaṣṭave yajathaḥ yajema yajeyuḥ yajantu yakṣyasi yakṣyāmaḥ ayākṣīt yajiṣyāmi yajiṣyanti yajeya yajethāḥ yajemahi yajethām yakṣyadhve ijyatām yakṣyadhvam yakṣataḥ ayāḥ yāṭ yaṣṭā yakṣate yajāmahai yaṣṭvā yaṣṭa 
yat	yatta yatamāna yateta yatate yatat yatante yatasva yatiṣye yatadhvam yatita yatanīya yatāmahe yata yatiṣyāmi ayatanta yetire yatathaḥ yatitavya yatethāḥ yatāna yatāvahe yatete yatiṣyante yatati yatanti yatet yatiṣyati yatiṣyāmaḥ yatase yateyātām yatemahi yatantām yatiṣyate yatiṣyete ayatiṣṭa yatāmi yatāmaḥ yatema yateyuḥ yatatam yatiṣyataḥ yatiṣyanti yataite yatitum 
yantray	yantrita yantrayitvā yantryate yantrayet yantryante yantrayitum 
yabh	yabhitum 
yam	yata yaccha yacchati yacchatu yacchatam yacchanti yacchata yacchet yacchantu yaṃsat yemire ayāmi yacchat ayacchat yandhi ayaṃsata yemāna yamat yaman yantam yantā yamat yanta ayaṃsta yamate yemuḥ yeme yaṃsan ayān yaṃsi yacchāt yemathuḥ yacchase yacchate yamaḥ yantana yamam yacchatām yayāma yematuḥ yacchadhvam yantāsi yamati yaṃsataḥ ayāṃsam yaṃsate yamyāḥ yantum yacchasi yacchataḥ yacchatha yemima yema yacchasva yacchatām ayacchathāḥ ayacchata yemāte yamyate yamīmahi ayāṃsi yacchatāt yayantha yaṃsi yamiṣṭa yamase yamuḥ yamatuḥ yamam yantavya yamya yatvā yacchamāna yamitavai yantave 
yamay	yamayati yamayat yamita yamayet yamayasva yamayate 
yas	yayastu 
yā	yāti yayau yānti yāta yayuḥ yāhi yānt yātam yāsyāmi yātu yāmi yāsyati yāyāt yāsi yāsyanti yāntu yāsyasi yāta yātvā yātum yātave yāsyāmaḥ ayāt yaya yayatuḥ yāthaḥ yāmaḥ ayāsīt yātavya yāsyase yātaḥ yāsye ayāsiṣam yāsyāma ayātam yāsyat yāsyāvaḥ yāsyatha yāma yāsat yātavat yātha yāyāḥ yāsyāmahe yāsiṣṭam ayāt yāsyate ayāma yātā yayātha yāthana yātam yāna ayāḥ yāte ayātana yātana yāvaḥ yāyām yāsyete ayāsam ayāsuḥ ayuḥ yātāsi yātāraḥ yāsyathaḥ yāsyataḥ yayau yayathuḥ yāni yāsyāvahe yāsyethe yāte yāsyadhvam yeṣam yāsiṣat yāsisīṣṭhāḥ yāḥ yāt ayāsiṣuḥ yāsīṣṭa yayivas 
