Лемма	Класс	Форма	Частота
dhanv	1	dhanvantu	4
dhanv	1	dadhanvas	4
nakṣ	1	nakṣamāṇa	4
naś	1	ānaṭ	4
naś	1	naśīmahi	4
nī	2	neṣyanti	4
nī	2	neṣye	4
nī	2	nayāti	4
pat	1	apatam	4
pat	1	patiṣyāmi	4
pat	1	apaptan	4
pat	1	patanīya	4
brū	2	abravīḥ	4
brū	2	brūtam	4
brū	2	brūmi	4
yā	2	ayāt	4
yā	2	yāsyate	4
yā	2	ayāma	4
yā	2	yātā	4
yā	2	yayātha	4
yā	2	yāthana	4
yā	2	yātam	4
yā	2	yāna	4
vac	2	vakṣyatha	4
vac	2	vocata	4
vac	2	vocan	4
vad	1	vadāmaḥ	4
vad	1	avadaḥ	4
vad	1	vadiṣyataḥ	4
vad	1	vadethāḥ	4
vad	1	vadeta	4
vad	1	avadanta	4
vad	1	vādīḥ	4
vad	1	vadāsi	4
vad	1	vadāti	4
vṛt	3	vavṛtyāt	4
vṛt	3	vāvṛtuḥ	4
muc	6	muñcataḥ	4
muc	6	amuñcaḥ	4
muc	6	amuñcan	4
muc	6	mokṣyante	4
muc	6	amucat	4
muc	6	mumoktu	4
muc	6	muca	4
muc	6	muñcātu	4
han	6	hantāsi	4
han	6	ahanyanta	4
han	6	ahaniṣyat	4
han	6	han	4
han	6	hanaḥ	4
han	6	hatvī	4
vas	2	vasantu	4
vas	2	vasadhvam	4
vas	2	vasan	4
vas	2	vatsyat	4
vyadh	4	vidhyate	4
vyadh	4	avidhyetām	4
vyadh	4	vidhyate	4
vyadh	4	vidhyat	4
sad	6	asadan	4
sad	6	sīdan	4
sad	6	sadatam	4
sad	6	sādi	4
nṛt	4	nṛtya	4
nṛt	4	nṛtyate	4
dhāv	1	dhāva	4
sū	1	suvāna	4
sū	1	savitave	4
bhuj	6	bhuñjīyātām	4
bhuj	6	bubhujire	4
bhuj	6	bhuñjante	4
bhuj	6	bhokṣyāmaḥ	4
bhuj	6	bhuñjīyām	4
man	8	manyantām	4
man	8	manvate	4
man	8	maṃsthāḥ	4
man	8	maṃsate	4
man	8	mantum	4
yat	1	yatathaḥ	4
yat	1	yatitavya	4
yam	6	yemuḥ	4
yam	6	yeme	4
yam	6	yaṃsan	4
yam	6	ayān	4
yam	6	yaṃsi	4
yam	6	yacchāt	4
yuj	6	yuṅgdhvam	4
yuj	6	yujyantām	4
yuj	6	ayoji	4
yuj	6	yujyat	4
ruh	6	arohat	4
ruh	6	rohate	4
ruh	6	arukṣat	4
vap	1	vapatu	4
vap	1	ūpathuḥ	4
vap	1	upyate	4
vap	1	avīvapat	4
vap	1	vaptavya	4
vas	1	vāvasāna	4
adhivas	1	adhivaseyuḥ	4
vid	2	vindeyuḥ	4
vid	2	avidaḥ	4
vid	2	vidam	4
adhiruh	1	adhiroḍhavya	4
bādh	1	bādheta	4
bādh	1	bādhyase	4
dhā	1	dhatthaḥ	4
dhā	1	dhatse	4
dhā	1	dhatsva	4
dhā	1	adadhat	4
dhā	1	dhātu	4
dhā	1	dhattāt	4
dhā	1	dadhāthe	4
dhā	1	dhāta	4
dhā	1	adhithāḥ	4
rāj	2	rājanti	4
viś	4	viśatu	4
viś	4	viśethāḥ	4
viś	4	viśante	4
viś	4	viśasva	4
viś	4	avikṣata	4
viś	4	viśamāna	4
vṛj	7	vṛṇak	4
vṛdh	6	vardhasi	4
vṛdh	6	vardhatu	4
vṛdh	6	vardhete	4
vṛdh	6	vavardha	4
vṛdh	6	vāvṛdhāte	4
vṛdh	6	vardhān	4
vṛdh	6	vāvṛdhanta	4
vṛdh	6	vāvṛdhasva	4
vṛdh	6	vardhanīya	4
vṛdh	6	vāvṛdhadhyai	4
vye	4	vīta	4
śī	1	aśayiṣi	4
śī	1	śiśyire	4
śī	1	śeṣva	4
śī	1	śayitā	4
śī	1	aśāyata	4
śī	1	śayām	4
śī	1	śayitvā	4
su	6	sunvire	4
skand	1	caskanda	4
sthā	1	tiṣṭheyam	4
sthā	1	atiṣṭhatām	4
sthā	1	tiṣṭhe	4
sthā	1	sthāta	4
sthā	1	tiṣṭhāti	4
sthā	1	tiṣṭhāḥ	4
svan	1	svanat	4
sṛp	1	sasarpa	4
sṛp	1	sṛpta	4
adhiśī	2	adhyaśeta	4
adhiṣṭhā	1	adhiṣṭheya	4
sṛ	3	asaran	4
sṛ	3	sasre	4
sṛ	3	sarat	4
sṛ	3	sartave	4
sṛ	3	sartavai	4
tvar	1	tvarase	4
dah	2	dahatu	4
dah	2	dahantu	4
dah	2	adahan	4
dah	2	dahye	4
dah	2	adahyanta	4
dā	1	dadau	4
dā	1	dadat	4
dā	1	dadivas	4
dāś	5	dadāśvas	4
dīv	4	dīvyati	4
dīv	4	dīvya	4
dīv	4	dīvyamāna	4
dhyā	3	dhyāhi	4
nam	1	anaman	4
nam	1	nemuḥ	4
nam	1	namante	4
śvas	1	śvasita	4
śvas	1	śvasamāna	4
atinī	1	atinayet	4
nud	2	nudāmi	4
nud	2	nudet	4
pad	4	panna	4
paś	4	paśyase	4
paś	4	paśyate	4
paś	4	apaśyetām	4
paś	4	paśyāhi	4
paś	4	paśyat	4
pā	1	pibāmaḥ	4
pā	1	pibante	4
pā	1	pītvī	4
pū	1	pavatām	4
pū	1	pavantām	4
pū	1	punate	4
pū	1	punītana	4
pṛ	3	pīparat	4
pṛ	9	pūryat	4
pracch	1	pṛcchatha	4
pracch	1	apṛcchatām	4
pracch	1	aprākṣam	4
pracch	1	pṛcchasva	4
pracch	1	pṛcchyate	4
naś	1	naṅkṣyati	4
naś	1	naśyamāna	4
vah	2	ūḍhvā	4
vā	2	vāyuḥ	4
ve	4	vayanti	4
śaṁs	2	śaṃsāmaḥ	4
śaṁs	2	śaśaṃsire	4
śaṁs	2	aśaṃsīt	4
śru	4	aśṛṇoḥ	4
śru	4	aśṛṇvan	4
śru	4	aśrauṣuḥ	4
śru	4	śroṣye	4
śru	4	śroṣyate	4
śru	4	śruta	4
śru	4	śrota	4
hā	1	hīyatām	4
hā	1	jahīhi	4
hā	1	ahīyata	4
hā	1	hitvī	4
bhā	2	babhatuḥ	4
bhūṣ	1	bhūṣathaḥ	4
bhūṣ	1	bhūṣanti	4
bhṛ	1	bibhṛtha	4
bhṛ	1	bhriyate	4
bhṛ	1	bhareyam	4
bhṛ	1	bharatām	4
bhṛ	1	jabhruḥ	4
atimuc	6	atimucyate	4
yaj	2	yajāmi	4
yaj	2	yajāma	4
yaj	2	ayajam	4
yaj	2	yakṣyanti	4
yaj	2	yajatām	4
yaj	2	yajāte	4
ric	7	ricyate	4
ric	7	aricyata	4
ruc	1	rurucuḥ	4
rocay	10	rocayati	4
rocay	10	rocayanti	4
rocay	10	rocayasva	4
rocay	10	arocayam	4
laṅgh	1	laṅghyate	4
vāhay	10	vāhayati	4
atipad	4	atipadyeta	4
pāday	10	pādayāmi	4
pāday	10	pādayet	4
atibhā	2	atibhāti	4
loḍay	10	loḍayat	4
ativṛt	1	ativarteḥ	4
vṛṣ	6	varṣantu	4
vṛṣ	6	vavarṣatuḥ	4
vraj	1	vrajasi	4
vraj	1	vrajataḥ	4
vraj	1	vrajāmaḥ	4
vraj	1	vrajeḥ	4
vraj	1	avrajan	4
vraj	1	vrajasva	4
atiśaṁs	1	atiśaṃset	4
śaṅk	1	śaṅkitavya	4
śaṅk	1	śaṅkya	4
śā	4	śiśītam	4
śubh	6	śuśubhire	4
śliṣ	6	śliṣyati	4
stu	1	stoṣyati	4
stu	1	stoṣyāmaḥ	4
stu	1	astauṣam	4
stu	1	astoṣi	4
stu	1	stoṣāma	4
stu	1	stavā	4
sṛj	2	sṛjatam	4
sṛj	2	sasarjire	4
sṛj	2	asṛkṣata	4
sṛj	2	sraṣṭavya	4
sev	4	severan	4
atiṣṭu	2	atiṣṭuyuḥ	4
atisṛj	6	atisṛjate	4
atisṛj	6	atisrakṣye	4
sru	1	sravataḥ	4
srāvay	10	srāvayati	4
srāvay	10	srāvita	4
hṛ	2	jahre	4
hṛ	2	haraṇīya	4
atihṛ	1	atiharat	4
hvā	1	hvayantu	4
hvā	1	ahvayat	4
hvā	1	hvayatām	4
hvā	1	huve	4
atyaś	9	atyaśita	4
dham	1	adhamaḥ	4
dham	1	adhamat	4
dham	1	dhmāyate	4
dham	1	dhamita	4
adhikṛ	8	adhikriyate	4
adhikṣi	2	adhikṣiyanti	4
adhikṣip	6	adhikṣipet	4
adhikṣip	6	adhikṣipat	4
gaṇay	10	gaṇayitum	4
adhigam	1	adhigacchāmaḥ	4
adhigam	1	adhigamyante	4
adhigam	1	adhigacchat	4
adhigā	3	adhyagāt	4
dhṛ	4	adīdharat	4
dhṛ	4	dadhrire	4
dhṛ	4	adhriyanta	4
dhṛ	4	dhṛtya	4
dhāray	10	dhārayeyuḥ	4
dhāray	10	dhārayantu	4
dhāray	10	dhārayiṣyasi	4
dhāray	10	dhāraye	4
dhāray	10	dhārayase	4
dhāray	10	dhārayāmāsuḥ	4
dhāray	10	dhārayat	4
dhāray	10	adhārayanta	4
dhāray	10	dhārayanta	4
dhāray	10	dhārayam	4
dhāray	10	dhārayan	4
spṛdh	6	spardhat	4
spṛdh	6	spardhya	4
spṛdh	6	paspṛdhāna	4
spṛś	6	spṛśasi	4
spṛś	6	spṛśataḥ	4
spṛś	6	spṛśata	4
hu	3	ahauṣīḥ	4
hu	3	juhuve	4
hu	3	juhvate	4
āyay	10	āyita	4
adhyāpay	10	adhyāpayati	4
sā	6	syāmi	4
adhyavaso	6	adhyavasyat	4
adhyavaso	6	adhyavasāya	4
ropay	10	ropaṇīya	4
adhyās	2	adhyāsate	4
anukamp	1	anukampate	4
anukamp	1	anukampamāna	4
kīrtay	10	kīrtayeta	4
kīrtay	10	kīrtya	4
anukīrtay	10	anvakīrtayat	4
anukṛ	8	anukuryāt	4
kāray	10	kārayāmaḥ	4
kāray	10	akārayan	4
kāray	10	kārayiṣyanti	4
kāray	10	kārayeyuḥ	4
kāray	10	kārayitavya	4
anukram	1	anukrāmat	4
anugam	1	anugacchāmi	4
anugam	1	anugacchatu	4
anugam	1	anugamiṣyati	4
anugam	1	anugamyatām	4
anugā	3	anvagām	4
anugrah	9	anugṛhyate	4
anugrah	9	anugṛhyatām	4
anugrah	9	anugrahītum	4
anucar	1	anucaret	4
anucar	1	anvacarat	4
cāray	10	cārayāmāsa	4
ci	3	acidhvam	4
ci	3	cinvat	4
anujan	4	anvajāyata	4
jāgṛ	2	jāgṛmi	4
anujīv	1	anujīvantu	4
jīvay	10	jīvayiṣyati	4
jīvay	10	jīvayat	4
jīvay	10	jīvayitvā	4
anujñā	9	anujānantu	4
tāpay	10	atāpayat	4
anutap	4	anvatapyanta	4
duṣ	4	duṣyeyuḥ	4
duṣ	4	duṣyate	4
dūṣay	10	adūṣayat	4
dūṣay	10	dūṣya	4
dṛś	6	adrākṣma	4
dṛś	6	drakṣyāmahe	4
dṛś	6	adṛśyat	4
dṛś	6	darśam	4
anudṛś	4	anudṛśyate	4
anudṛś	4	anudṛśya	4
darśay	10	darśayeyuḥ	4
darśay	10	darśayiṣyāmaḥ	4
darśay	10	darśayāmāsatuḥ	4
darśay	10	darśyatām	4
darśay	10	darśayāna	4
dāray	10	dārayanti	4
dhāv	1	dhāvamāna	4
dhī	3	dīdhaya	4
dhī	3	dhīta	4
nand	1	nanandatuḥ	4
nanday	10	nandayatu	4
nanday	10	nandayāmāsa	4
nāmay	10	nāmita	4
śam	1	śamyeta	4
śam	1	śāmyatām	4
anuniśam	4	anuniśamya	4
pac	1	apakṣyan	4
pac	1	apacanta	4
pācay	10	pācayat	4
anupat	1	anupatanti	4
pātay	10	pātayāmi	4
pātay	10	pātayat	4
pātay	10	pātayitum	4
anupad	4	anvapadyan	4
mṛś	4	mṛśa	4
mṛś	4	mṛṣṭa	4
anupaś	4	anupaśyet	4
anupaś	4	anupaśyeta	4
pā	2	apāt	4
pālay	10	pālayantu	4
pālay	10	pālayāna	4
puṣ	2	puṣyataḥ	4
poṣay	10	poṣaya	4
pūray	10	pūrayāmi	4
pūray	10	apūrayan	4
pūray	10	pūrayiṣyati	4
pūray	10	pūrayāmāsuḥ	4
pūray	10	pūryatām	4
ave	1	avaitu	4
avekṣ	1	avekṣeran	4
avekṣ	1	avekṣitavya	4
dhā	4	dhayanti	4
janay	10	janayeyam	4
janay	10	janayetām	4
janay	10	janayāmāsuḥ	4
janay	10	janayat	4
mud	1	modasva	4
mud	1	modadhvam	4
mud	1	modantām	4
mud	1	mumudire	4
anuprayam	1	anuprayacchata	4
anupraviś	6	anupraveṣṭavya	4
varjay	10	varjayāmi	4
varjay	10	varjayati	4
śuc	6	śuśucuḥ	4
śuc	6	śocaḥ	4
śuc	6	śuśukvas	4
sañj	1	sajet	4
sañj	1	sajjase	4
stṛ	5	astṛṇuta	4
stṛ	5	stṛtya	4
stṛ	5	startavai	4
sthāpay	10	asthāpayat	4
sthāpay	10	sthāpayate	4
plu	1	plavante	4
bandh	4	badhyase	4
bandhay	10	abandhayat	4
budh	1	boddhum	4
bodhay	10	bodhya	4
bodhay	10	bodhyamāna	4
anubudh	4	anubudhyeta	4
anubrū	2	anubravīmi	4
anubrū	2	anubruvīta	4
bhaj	1	bhajetām	4
bhaj	1	bhajata	4
bhaj	1	bhajase	4
bhaj	1	bhajāmahe	4
bhaj	1	bhajanta	4
bhājay	10	bhājayati	4
bhāṣ	1	bhāṣiṣyante	4
bhāṣ	1	abhāṣat	4
bhāṣ	1	babhāṣa	4
bhāṣ	1	bhāṣitavya	4
bhāṣay	10	bhāṣita	4
anubhāṣ	1	anubhāṣate	4
bhid	6	bhetsyati	4
bheday	10	bhedaya	4
anubhū	1	anubhavatu	4
anubhū	1	anubhavitum	4
bhrāj	1	bhrājanti	4
mad	3	mamāda	4
mad	3	mādyanti	4
mad	3	mandase	4
mad	3	madanīya	4
anuman	8	anumenire	4
mānay	10	mānayiṣyanti	4
mānay	10	mānyamāna	4
mantray	0	mantrayase	4
mantray	0	amantrayan	4
mā	4	māhi	4
māpay	10	amīmapat	4
māpay	10	māpayitum	4
anumā	3	anumāya	4
anumud	1	anvamodanta	4
anumud	1	anumoditavya	4
muh	4	muhyasi	4
muh	4	muhyantu	4
mṛ	4	mriyasva	4
mṛ	4	mṛthāḥ	4
mṛ	4	māraṇīya	4
mṛ	4	mamṛvas	4
māray	10	mārayitvā	4
mṛj	7	mārṣṭi	4
mṛj	7	mṛje	4
mṛj	7	māmṛje	4
mṛj	7	mṛjāna	4
anuyā	2	anuyānt	4
anuyuj	7	anuyujyatām	4
yojay	10	ayojayam	4
yojay	10	ayojayan	4
yojay	10	yojayiṣyāmi	4
yojay	10	yojayiṣyati	4
yojay	10	yojayāmāsuḥ	4
rakṣ	4	rakṣataḥ	4
rakṣ	4	rakṣeyuḥ	4
rakṣ	4	rakṣitavat	4
rañjay	10	arañjayat	4
anurañj	4	anurajyanti	4
ram	4	ramantām	4
ram	4	araṃsta	4
ram	4	rīraman	4
ram	4	ranta	4
ram	4	ratvā	4
rādh	5	rādhyatām	4
rādh	5	rādhyatām	4
rādh	5	arādhi	4
rādh	5	rādhya	4
ri	9	ariṇāḥ	4
ri	9	riṇat	4
rud	1	arudat	4
rud	1	rudat	4
rud	1	roditavya	4
labh	1	alabhe	4
labh	1	labdhāsmi	4
lip	4	alipsata	4
lī	1	līyeta	4
lobhay	10	lobhanīya	4
anulomay	0	anulomayati	4
anuvad	1	anuvadat	4
anuvarṇay	0	anuvarṇayet	4
anuvid	6	anuvindanti	4
nard	1	nardet	4
sic	4	siñcatu	4
sic	4	siñcantu	4
sic	4	asiñcat	4
sic	4	siṣeca	4
anuvīkṣ	1	anuvīkṣya	4
vījay	10	vījyate	4
vṛ	1	avṛṇoḥ	4
vṛ	1	vṛṇvate	4
vṛ	1	aurṇot	4
vāray	10	vārayiṣyati	4
vāray	10	vārayate	4
vāray	10	avārayata	4
vāray	10	vārayiṣyate	4
anuvartay	10	anuvartyate	4
veṣṭ	1	veṣṭat	4
anuveṣṭay	10	anuveṣṭita	4
anuśaṁs	1	anuśaṃsanti	4
śak	4	śakyāmi	4
śak	4	śakema	4
śak	4	śaktam	4
śak	4	śakat	4
śikṣay	10	aśikṣayam	4
śās	1	śiṣyāt	4
śās	1	śāstu	4
śās	1	śāsita	4
anuśās	2	anuśāsmi	4
anuśās	2	anuśāsiṣyāmi	4
śuṣ	6	śuṣyet	4
śuṣ	6	śuṣyatu	4
śuṣ	6	śuṣyate	4
śoṣay	10	śoṣayataḥ	4
śoṣay	10	aśoṣayat	4
anuśru	5	anuśrūyate	4
sac	1	sacadhvam	4
anuṣañj	1	anuṣajet	4
sidh	4	sidhyante	4
rabh	1	rabhemahi	4
smṛ	1	smareyam	4
smṛ	1	smariṣyati	4
smāray	10	smārayāmāsa	4
khyāpay	10	khyāpayanti	4
anusaṁcintay	10	anusaṃcintya	4
anusaṁjvar	1	anusaṃjvaret	4
anusaṁtan	8	anusaṃtata	4
anusaṁdhā	3	anusaṃdhīyatām	4
anusaṁdhā	3	anusaṃdhāya	4
anusaṁdhā	3	anusaṃdheya	4
anusṛ	1	anusasruḥ	4
anusāray	10	anusārayet	4
anusāray	10	anusārya	4
anuhā	3	anuhāya	4
dṛh	4	adṛṃhat	4
das	1	dasyati	4
antardhā	3	antaradhāt	4
antarbhū	1	antarbhavanti	4
andhīkṛ	8	andhīkṛta	4
av	1	avatām	4
av	1	avata	4
lup	6	lupyeta	4
anvavahṛ	1	anvavahṛtya	4
anvave	2	anvavetya	4
yātay	10	yātayantām	4
anvāruh	1	anvāruroha	4
anvi	2	anuyanti	4
apakṛ	8	apakṛtya	4
apakṛṣ	1	apakṛṣyante	4
apakram	6	apakrāmanti	4
apakram	6	apakrāmet	4
apakram	6	apakrāmat	4
apagā	3	apāgāt	4
apaci	5	apacīyate	4
chāday	10	chādayati	4
chāday	10	chādayiṣyāmi	4
tras	4	traset	4
tras	4	atrasan	4
trāsay	10	trāsayet	4
trāsay	10	trāsaya	4
trāsay	10	trāsayitvā	4
dhū	6	dhunute	4
dhū	6	dhūnute	4
dhū	6	dhūnuhi	4
dhū	6	dhūtvā	4
dhṛṣ	1	dhṛṣat	4
apanī	1	apanayat	4
apayā	2	apayāt	4
apayā	2	apayātum	4
yāpay	10	ayāpayam	4
yāpay	10	ayāpayat	4
yāpay	10	yāpyante	4
yu	3	yuyotu	4
likh	6	likhitum	4
lekhay	10	lekhayitvā	4
vadh	4	vadhiṣyanti	4
vadh	4	avadhyata	4
apavṛ	9	aporṇute	4
apaśri	1	apaśrita	4
vas	6	uvāsa	4
vas	6	āvaḥ	4
vī	2	vivāya	4
vī	2	vīta	4
apasṛ	1	apasarat	4
apasāray	10	apasārayet	4
apasphur	6	apasphurat	4
apahan	2	apaghnanti	4
apahan	2	apāghnan	4
apahas	1	apahasita	4
hā	3	jihītām	4
hā	3	jihatām	4
hā	3	jihīte	4
hi	5	hinoti	4
hi	5	hiṇomi	4
hi	5	aheṣata	4
hi	5	hinvat	4
apahṛ	1	apaharanti	4
apahṛ	1	apahariṣyāmi	4
apahṛ	1	apahriyamāṇa	4
apahṛ	1	apahārya	4
apākṛ	8	apākartum	4
apāvṛ	5	apāvṛṇot	4
apāvṛ	5	apāvṛtya	4
apāvṛt	1	apāvṛtta	4
apās	2	apāsyati	4
pṛc	3	pṛñcanti	4
mṛṣ	2	mṛṣye	4
mṛṣ	2	mṛṣyāmi	4
mṛṣ	2	mṛṣyat	4
marṣay	10	marṣayanti	4
yāc	1	yācanti	4
yāc	1	yayācire	4
yāc	1	yācyatām	4
apivṛ	5	apīvṛta	4
vraśc	6	vṛścanti	4
vraśc	6	avṛścat	4
śṛ	9	śṛṇāti	4
śṛ	9	śīryeta	4
śṛ	9	śṛṇātu	4
apoh	1	apoḍha	4
apoh	1	apohya	4
abhikāṅkṣ	1	abhikāṅkṣati	4
abhikāṅkṣ	1	abhikāṅkṣate	4
abhikṛ	6	abhikīrṇa	4
abhikrand	1	abhikrandat	4
ghṛ	3	jigharmi	4
abhighrā	1	abhijighrāmi	4
abhighrā	1	abhijighret	4
coday	10	codayet	4
coday	10	codayaḥ	4
coday	10	codayat	4
abhijan	4	abhijajñe	4
abhiji	1	abhijita	4
abhiji	1	abhijitya	4
abhijuṣ	6	abhijuṣṭa	4
abhijñā	9	abhijñeya	4
tarjay	10	tarjayet	4
abhitṛd	7	abhyatṛṇat	4
tyaj	1	tyajantu	4
tyaj	1	tyajeta	4
tyaj	1	tyajya	4
tyaj	1	tyajyamāna	4
abhitvar	1	abhitvarat	4
dih	2	dihet	4
dīkṣay	10	dīkṣayanti	4
dīkṣay	10	dīkṣayitvā	4
dīp	4	dīpyante	4
dīp	4	dīpyati	4
dīpay	10	dīpayāmāsa	4
dīpay	10	dīpayitvā	4
duh	4	dogdhi	4
duh	4	duhāte	4
duh	4	aduhat	4
abhidru	1	abhidravati	4
druh	6	druhyati	4
abhidhā	3	abhyadhām	4
abhidhā	3	abhidhatsva	4
abhidhā	3	abhyadhāyi	4
abhidhā	3	abhidadhāna	4
abhidhyai	2	abhyadhyāyat	4
abhidhyai	2	abhyadhyāyan	4
abhinand	1	abhinananduḥ	4
abhinanday	10	abhyanandyata	4
abhinard	1	abhinardat	4
abhinidhā	3	abhinidhāya	4
pīḍay	10	pīḍayāmāsuḥ	4
pīḍay	10	pīḍayitum	4
abhinipīḍay	10	abhinipīḍita	4
abhinirdiś	6	abhinirdiśet	4
abhinirvṛt	1	abhinirvartamāna	4
abhiniṣpad	4	abhiniṣpadyate	4
abhiniṣpad	4	abhiniṣpanna	4
abhipat	1	abhipatati	4
abhipat	1	abhipatita	4
abhipaś	4	abhipaśyat	4
pūjay	10	pūjayāmaḥ	4
pūjay	10	apūjayam	4
pūjay	10	pūjyantām	4
pūjay	10	pūjayeta	4
pūjay	10	pūjayasva	4
pūjay	10	pūjayitavya	4
piś	6	piṃśatu	4
piś	6	pipiśe	4
pyā	1	pipyatam	4
pyā	1	pīpyāna	4
math	4	mathnāti	4
math	4	mathya	4
abhiprayā	2	abhiprayāta	4
vardhay	10	vardhayiṣyati	4
śudh	4	śudhyantām	4
abhipraśaṁs	1	abhipraśaṃsat	4
śodhay	10	śodhayati	4
śodhay	10	śodhyate	4
śodhay	10	śodhya	4
śodhay	10	śodhayitum	4
sah	1	asahanta	4
sah	1	sahiṣye	4
sah	1	sehuḥ	4
sah	1	sahyatām	4
sah	1	sāsahyāma	4
abhiplu	1	abhiplutya	4
bhañj	4	bhajyante	4
bhañj	4	bhañja	4
abhibhū	1	abhyabhavat	4
abhiman	4	abhimanyati	4
abhiman	4	abhimanyamāna	4
abhimantray	0	abhimantrayeta	4
abhimantray	0	abhimantrayeta	4
abhimanth	9	abhimathya	4
mih	1	mehet	4
mṛd	9	amṛdnāt	4
mṛd	9	mardyāt	4
mṛd	9	mardamāna	4
abhiyāc	1	abhiyācita	4
abhiyuj	7	abhiyujya	4
yudh	2	yudhyante	4
yudh	2	ayudhyatām	4
yudh	2	yudhyati	4
yudh	2	yoddhum	4
yodhay	10	yodhayeyam	4
yodhay	10	ayodhayam	4
yodhay	10	ayodhayata	4
yodhay	10	ayodhayanta	4
abhirakṣ	1	abhirakṣet	4
abhirañj	4	abhirakta	4
abhiram	1	abhireme	4
rā	3	rare	4
rā	3	rāsantām	4
rā	3	arāsata	4
rādhay	10	rādhayāni	4
ruj	6	rujat	4
abhilap	1	abhilapyate	4
abhivad	1	abhyavadan	4
vam	1	vamat	4
vam	1	vamya	4
vāmay	10	vāmayati	4
van	6	vanāmahe	4
van	6	vanatam	4
van	6	avanvata	4
van	6	vanvāna	4
val	1	valate	4
vaś	6	vaśaḥ	4
abhivah	1	abhivahati	4
vij	6	vigna	4
veday	10	avedayat	4
veday	10	vedayitvā	4
abhivīkṣ	1	abhivīkṣe	4
abhivīkṣ	1	abhivīkṣate	4
abhivīkṣ	1	abhivīkṣita	4
vṛ	5	vavṛmahe	4
vṛ	5	vārya	4
varay	10	varayāmāsuḥ	4
abhivṛ	9	abhivṛta	4
vyath	1	vyathati	4
vyath	1	vyathanti	4
abhivṛṣ	1	abhivarṣati	4
abhivyadh	4	abhivivyādha	4
abhivyāhṛ	1	abhivyāhṛta	4
abhivraj	1	abhivrajat	4
abhiśaṁs	1	abhiśasyamāna	4
śnath	2	śiśnathaḥ	4
śrī	4	śrīṇat	4
śrī	4	śrīṇāna	4
śram	1	śrāmyati	4
abhiśru	5	abhiśrutya	4
abhiṣic	4	abhiṣiñcāmaḥ	4
abhiṣic	4	abhiṣiñca	4
abhiṣic	4	abhyaṣiñcanta	4
sīv	4	sīvyatu	4
abhiṣu	5	abhiṣuṇvanti	4
sūday	10	sūdayitvā	4
skhal	1	skhalanti	4
skhal	1	caskhaluḥ	4
stambhay	10	stambhaya	4
stambhay	10	stambhayitvā	4
abhisatkṛ	8	abhisatkṛtya	4
abhisaṁdhā	3	abhisaṃdhātum	4
abhisaṁdhā	3	abhisaṃdhya	4
abhisamāvṛt	1	abhisamāvartanta	4
abhisampad	4	abhisaṃpadyante	4
abhisamprāp	5	abhisamprāpta	4
abhisambandh	9	abhisaṃbadhyate	4
mūrchay	10	mūrchayati	4
sāntvay	0	sāntvayitum	4
sādhay	10	sādhayāmāsa	4
sādhay	10	sādhyamāna	4
snā	2	snātavya	4
snā	2	snāyat	4
bhram	4	abhramat	4
bhram	4	bhramase	4
bhrāmay	10	abhrāmayat	4
lag	1	laganti	4
lajj	1	lajjāmahe	4
lamb	1	lambāmahe	4
lambay	10	lambayet	4
lih	4	leḍhi	4
lih	4	lihāna	4
smi	1	asmayata	4
abhihan	4	abhyaghnat	4
ghātay	10	ghātayiṣyāmi	4
hṛṣ	1	harṣate	4
hṛṣ	1	hṛṣyat	4
hlāday	10	hlādayate	4
naṭ	1	naṭat	4
abhī	4	abhyetu	4
abhī	4	abhīta	4
abhī	4	abhītya	4
abhīndh	1	abhīddha	4
abhyatikram	1	abhyatikrānta	4
abhyatikram	1	abhyatikrāntum	4
abhyatī	2	abhyatītya	4
abhyanuvac	3	abhyanūvāca	4
abhyavakṛ	6	abhyavakiranti	4
abhyavakṛ	6	abhyavakīrya	4
abhyavahṛ	1	abhyavaharat	4
abhyasūy	0	abhyasūyanti	4
abhyākhyā	2	abhyākhyāta	4
abhyāgam	1	abhyāgacchat	4
abhyādhā	3	abhyādadhyāt	4
abhyāpat	1	abhyāpatat	4
abhyāvṛt	1	abhyāvarte	4
abhyāsad	1	abhyāsanna	4
abhyukṣ	6	abhyukṣet	4
abhyudīkṣ	1	abhyudaikṣata	4
abhyupe	2	abhyupeyivas	4
amitray	0	amitrayat	4
trā	2	trāsīthām	4
truṭ	4	truṭati	4
daṁś	1	daśa	4
daṁś	1	dadaṃśuḥ	4
daṁś	1	daṣṭvā	4
arday	10	ardaya	4
alaṁkṛ	8	alaṃcakruḥ	4
alaṁkṛ	8	alaṃkuryāt	4
alaṁkṛ	8	alaṃkartum	4
avakṛt	6	avacakarta	4
avakṛ	6	avakiret	4
kṣepay	10	kṣepya	4
avakṣip	6	avākṣipat	4
avagam	6	avagantum	4
avagāh	1	avagāhet	4
grāhay	10	grāhayeyuḥ	4
grāhay	10	agrāhayat	4
grāhay	10	grāhayitavya	4
bhī	1	bibhīyāt	4
ghaṭṭay	10	ghaṭṭayati	4
avaghṛṣ	1	avaghṛṣya	4
cyāvay	10	cyāvaya	4
cyāvay	10	acyāvayat	4
avacūrṇay	0	avacūrṇya	4
avaji	1	avajeṣyāmi	4
avajñā	9	avajānāsi	4
avajñā	9	avajānīyāt	4
avajñā	9	avajānat	4
jvalay	10	jvalayati	4
jvalay	10	jvalayat	4
toṣay	10	toṣayanti	4
toṣay	10	toṣayatu	4
