Лемма	Форма
dhi	adhinot
dhi	adhinvīt
abhidhi	abhyadhinvan
abhidhāray	abhidhārayet
abhidhāray	abhidhārayitum
abhidhṛṣ	abhidhṛṣṇomi
abhidhyai	abhidhyāyati
abhidhyai	abhidhyāyīta
abhidhyai	abhidhyāmi
abhidhyai	abhidhyāyāt
abhidhyai	abhidhyāta
dhvaṁsay	dhvaṃsayati
dhvaṁsay	dhvaṃsayantu
dhvaṁsay	adhvaṃsayat
dhvaṁsay	adhvaṃsayāva
dhvaṁsay	dhvaṃsayāmāsa
dhvaṁsay	dhvaṃsayiṣyati
dhvan	adhvanīt
dhvan	dhvanate
dhvan	dadhvāna
dhvan	dadhvanuḥ
abhinakṣ	abhinakṣamāṇa
abhinad	abhyanadat
abhinad	abhinanāda
abhinad	abhineduḥ
abhinad	abhinadat
abhinand	abhinandante
abhinand	abhinandatha
abhinand	abhinandeyuḥ
abhinand	abhinanda
abhinand	abhyanandam
abhinand	abhyanandatām
abhinand	abhinandiṣyanti
abhinand	abhinandasva
abhinand	abhinandiṣye
abhinand	abhyanandatha
abhinand	abhinanditum
abhinanday	abhinandaya
abhinanday	abhinandayāmāsuḥ
abhinanday	abhinandayat
abhinam	abhyanamat
abhinard	abhinardasi
abhinard	abhinardati
abhinard	abhinanarda
abhinard	abhinardamāna
abhiniḥsṛ	abhiniḥsaranti
abhinidhā	abhinidadhyāt
abhinidhā	abhinidadhate
abhinidhyai	abhinidhyāya
abhinipat	abhinipatet
abhinipat	abhinipatita
pīḍay	pīḍayāmi
pīḍay	pīḍayasi
pīḍay	pīḍayāmaḥ
pīḍay	pīḍayeḥ
pīḍay	pīḍayeyuḥ
pīḍay	pīḍayiṣyati
pīḍay	pīḍayiṣyanti
pīḍay	pīḍyāmahe
pīḍay	pīḍayāṃcakratuḥ
pīḍay	apīḍayata
pīḍay	apīḍayetām
pīḍay	apīḍyata
pīḍay	apīḍyanta
pīḍay	pīḍyeta
pīḍay	pīḍyāmaḥ
pīḍay	pīḍayan
pīḍay	pīḍayamāna
pīḍay	pīḍayāna
abhinipīḍay	abhinipīḍayet
abhinipīḍay	abhinipīḍya
abhinimantray	abhinyamantrayat
abhinimantray	abhinimantrita
abhinimruc	abhinimlocet
abhinimruc	abhinimrocet
abhinimruc	abhinimrukta
abhiniras	abhinirasta
abhinirgam	abhinirgacchati
abhinirgam	abhinirgantavya
abhinirṇud	abhinirṇudet
abhinirdiś	abhinirdekṣyāmaḥ
bharts	abhartsyata
abhinirbharts	abhinirbhartsya
abhiniryā	abhiniryātu
abhiniryā	abhiniryāntu
abhiniryā	abhiniryāsyati
abhiniryā	abhiniryayuḥ
abhinirvad	abhinirvadati
abhinirvap	abhinirvapet
abhinirvap	abhinirvapati
abhinirvṛt	abhinirvartya
abhinirvartay	abhinirvartayet
abhinirvartay	abhinirvartyate
abhinirvartay	abhinirvartayiṣyat
abhinirvartay	abhinirvartita
abhinirvartay	abhinirvartyamāna
abhiniviś	abhiniviśet
abhiniviś	abhinivekṣyanti
abhiniviś	abhinivekṣyante
abhiniviś	abhiniveśyati
abhiniveśay	abhiniveśyate
abhiniṣad	abhiniṣīdema
abhiniṣkram	abhiniṣkrāmet
abhiniṣkram	abhiniṣkramati
abhiniṣkram	abhiniṣkramitavya
abhiniṣkram	abhiniṣkramita
ṣṭhīv	ṣṭhyūta
abhiniṣpat	abhiniṣpatat
abhiniṣpat	abhiniṣpatat
abhiniṣpat	abhiniṣpatya
abhinihan	abhinighnanti
abhinihan	abhinijaghnire
abhinī	abhinayati
abhinī	abhineṣyasi
abhinī	abhinīyate
abhinī	abhinīyatām
abhinī	abhinetāsi
abhinī	abhinayat
abhinī	abhinetum
abhinī	abhinīyamāna
abhinud	abhinunna
abhinoday	abhinodita
abhinyas	abhinyasyati
abhinyas	abhinyasta
abhipac	abhipacyamāna
abhipat	abhipatet
abhipat	abhipatata
abhipat	abhyapataḥ
abhipat	abhipatiṣyati
abhipat	abhipatiṣyanti
abhipat	abhipattā
abhipat	abhyapatanta
abhipat	abhyapaptat
abhipat	abhipatamāna
abhipat	abhipetivas
abhipad	abhipadyatām
abhipad	abhipannavat
svaj	svajāmahe
svaj	svajante
svaj	svajeya
svaj	svajadhvam
svaj	asvajata
svaj	sasvajuḥ
svaj	svajitvā
abhipariṣvañj	abhipariṣvajat
abhiparyāvṛt	abhiparyāvartata
abhipaś	abhipaśyāmi
abhipaś	abhipaśyanti
abhipaś	abhipaśyeyuḥ
abhipīḍay	abhyapīḍayan
abhipīḍay	abhipīḍyate
abhipīḍay	abhipīḍayat
abhipīḍay	abhipīḍya
pothay	pothayet
pothay	apothayan
pothay	pothayāṃcakruḥ
pothay	pothayiṣye
pothay	pothayāna
pūjay	pūjayeyam
pūjay	pūjayeḥ
pūjay	pūjayema
pūjay	pūjayantu
pūjay	pūjayiṣyatha
pūjay	pūjayase
pūjay	pūjayeran
pūjay	apūjayata
pūjay	pūjayiṣye
pūjay	pupūjire
pūjay	pūjayat
pūjay	pūjayiṣyāma
piś	piṃśati
piś	piṃśata
piś	pipeśa
piś	pipiśuḥ
piś	pipiśre
piś	piśa
piś	piṃśate
piś	piśāna
abhipūjay	abhipūjayati
abhipūjay	abhipūjaya
abhipūray	abhyapūrayat
pyā	pyāyase
pyā	pinvire
pyā	pipyatām
pyā	pipyata
pyā	apīpet
pyā	apīpema
pyā	apīpyan
pyā	pīpaya
pyā	pīpayaḥ
pyā	pīpayataḥ
pyā	pīpayata
pyā	apīpayat
pyā	pīpetha
pyā	pipyuḥ
pyā	pyāyantām
pyā	apyāsīt
pyā	apīpayanta
pyā	pyāsiṣīmahi
pyā	piyāna
pyā	pinvāna
abhiprakamp	abhiprakampita
abhiprakram	abhiprakrānta
abhipracakṣ	abhipracakṣe
abhiprach	abhipṛcche
abhiprach	abhyapṛcchata
abhiprach	abhipṛcchati
abhiprach	abhyapṛcchat
abhiprach	abhipraṣṭum
abhiprajan	abhiprajāyante
abhiprajan	abhiprajāta
abhipraṇam	abhipraṇata
abhipratan	abhipratanvanti
abhipratipad	abhipratipadyante
abhiprathay	abhiprathayat
deśay	deśayasi
deśay	deśayeyam
deśay	deśayantu
deśay	deśetu
deśay	deśesi
deśay	deśayante
deśay	deśayāmāsa
deśay	deśayiṣyat
abhipradṛ	abhipradīryate
abhiprapac	abhiprapacyamāna
abhiprapad	abhiprapadyate
abhiprapad	abhiprapadyeta
abhiprapad	abhiprapadyate
math	mathyante
math	mathet
math	manthadhvam
math	mathyeran
math	mamanthe
math	amanthatam
math	mathīt
math	amanthiṣṭām
math	manthata
math	manthāma
math	mathīḥ
math	mathnīta
math	mathnantu
math	manthati
math	manthatu
math	mathīt
math	mamātha
math	manthantu
math	mathat
math	manthet
math	mathitoḥ
math	manthitavai
manthay	manthayati
manthay	manthayitavya
abhipramanthay	abhipramanthayet
abhipraman	abhipramanvate
abhiprayā	abhiprayāmi
abhiprayā	abhiprayātam
abhiprayā	abhiprayāma
abhiprayā	abhiprayāsyāmi
abhiprayā	abhiprayāsyat
abhiprayā	abhiprayātum
abhiprayā	abhiprayāya
abhipraruh	abhiprarohati
vip	vepase
vip	vepete
vip	vepante
vip	avepata
vip	avepanta
vip	vivipre
vip	avīvipat
vip	avīvipan
vip	vivepe
vip	vepitum
vip	vipāna
vepay	vepayati
abhipraviś	abhipravekṣyāmi
abhipravṛt	abhipravartante
abhipravṛt	abhipravarteyātām
abhipravṛt	abhipravartamāna
abhipravartay	abhipravartayati
abhipravartay	abhipravartayet
vardhay	vardhayāmi
vardhay	vardhayasi
vardhay	vardhayataḥ
vardhay	vardhayetām
vardhay	vardhayata
vardhay	avardhayam
vardhay	vardhayeta
vardhay	avardhyata
vardhay	vardhayamāna
vardhay	vardhya
vardhay	vardhyamāna
vardhay	vardhayāna
vardhay	vardhitavat
śudh	śudhyataḥ
śudh	aśudhyat
śudh	śudhyete
śudh	śundhati
śudh	śundhatu
śudh	śundhāma
śudh	śundhata
śudh	śudhyatām
śudh	śudhyamāna
abhipravṛṣ	abhipravarṣat
abhipravraj	abhipravavrāja
abhipraśaṁs	abhipraśaṃseyuḥ
abhipraśaṁs	abhipraśaṃsyati
śodhay	śodhayeyuḥ
śodhay	aśodhayat
śodhay	śodhayāmāsa
śodhay	śodhitavat
abhipraśodhay	abhipraśodhya
abhiprasad	abhiprasīda
sah	sahase
sah	saheya
sah	sahethāḥ
sah	asahata
sah	sahiṣyase
sah	sahiṣyāmi
sah	sahiṣyataḥ
sah	sahanti
sah	sasāha
sah	asakṣmahi
sah	asākṣi
sah	sasāhiṣe
sah	sākṣate
sah	sakṣati
sah	sākṣāma
sah	sāsahaḥ
sah	sahiṣīmahi
sah	sāhiṣīmahi
sah	sākṣva
sah	sakṣat
sah	sakṣi
sah	sasahe
sah	sahyāḥ
sah	sasahe
sah	sahaḥ
sah	sāsahīṣṭhāḥ
sah	sahyuḥ
sah	asahiṣṭa
sah	sākṣe
sah	sākṣi
sah	soḍhvā
sah	sahitavya
sah	sakṣat
sah	sāhat
abhiprasah	abhiprasehire
abhiprasū	abhiprasūta
abhiprasthā	abhipratiṣṭhante
abhiprasthāpay	abhiprasthāpayat
abhiprahan	abhipraghnanti
abhiprahan	abhiprahata
abhiprāṇ	abhiprāṇyāt
abhiprāṇ	abhiprānet
abhiprāṇ	abhiprāṇita
abhiprāp	abhiprāpnuvanti
abhiprāp	abhiprāpta
abhiprekṣ	abhiprekṣet
abhiprekṣ	abhiprekṣat
īray	īrayatha
īray	īrayāva
īray	īrayatam
īray	īrayāma
īray	īrayata
īray	airayam
īray	īrayate
īray	īrayat
īray	īrayanta
īray	īrayat
īray	īrayāmasi
īray	īrayāṇa
īray	īrayadhyai
abhiplu	abhiplavate
abhiplu	abhiplavante
abhiplu	abhiplaveran
abhiplāvay	abhiplāvayati
abhibādh	abhibādhate
bhañj	bhañjanti
bhañj	bhāṅkṣīḥ
bhañj	abhajye
bhañj	bhañjata
bhañj	bhāṅkṣam
bhañj	bhajyeyam
bhañj	bhajyeran
bhañj	bhajyet
bhañj	bhañjeyam
bhañj	abhajyat
bhañj	bhaṅktāsmi
bhañj	abhañjan
bhañj	bhaṅdhi
bhañj	bhajya
bhañj	bhañjamāna
abhibhañj	abhibhañjat
abhibhāṣ	abhibhāṣasva
abhibhāṣ	abhyabhāṣathāḥ
abhibhāṣ	abhibhāṣiṣyate
abhibhāṣ	abhibhāṣāmi
abhibhāṣ	abhibhāṣasi
abhibhāṣ	abhibhāṣati
abhibhāṣ	abhibhāṣathaḥ
abhibhāṣ	abhibhāṣatha
abhibhāṣ	abhibhāṣanti
abhibhāṣ	abhyabhāṣa
abhibhāṣ	abhibhāṣyamāṇa
abhibhāṣ	abhibhāṣya
abhibhū	abhyabhavaḥ
abhibhū	abhibhaviṣyāmi
abhibhū	abhibhaviṣyāmaḥ
abhibhū	abhyabhūt
abhibhū	abhibabhūvuḥ
abhibhū	abhibhūyante
abhibhū	abhibhavitā
abhibhū	abhibhūyeta
abhibhū	abhibhavya
abhiman	abhimanye
abhiman	abhyamanyanta
abhiman	abhimaṃsye
abhiman	abhimaṃsyate
abhiman	abhimanute
abhiman	abhimene
abhiman	abhimenire
abhiman	abhimanyanti
abhiman	abhimanyet
abhiman	abhimaṃsthāḥ
abhiman	abhimantum
abhiman	abhimanvāna
abhiman	abhimānya
abhiman	abhimanya
abhimantray	abhimantryate
abhimantray	abhimantraye
abhimantray	abhimantrayete
abhimantray	abhyamantrayat
abhimantray	abhimantrya
abhimantray	abhimantrayamāṇa
abhimantray	abhimantrayitvā
abhimanth	abhimathnītaḥ
abhimanth	abhimathnīyāt
abhimanth	abhimathyate
abhimanth	abhimanthati
abhimanth	abhyamanthat
mith	mimetha
mith	methāmasi
mith	methete
mih	mehatu
mih	mekṣyāmi
abhimih	abhimehat
abhimukhay	abhimukhayitum
abhimukhīkṛ	abhimukhīkṛta
abhimuc	abhimuñcati
abhimuc	abhimucyate
abhimuh	abhimuhyati
mṛd	mṛdnīyuḥ
mṛd	mamṛdatuḥ
mṛd	mardate
mṛd	mardata
mṛd	mardati
mṛd	amīmṛdat
mṛd	mardīḥ
mṛd	marditvā
mṛd	marditavya
mṛd	mardat
marday	mardayati
marday	mardaya
marday	mardayiṣyāmi
marday	mardyate
marday	mardayeta
abhimṛd	abhimṛdya
abhimṛś	abhimarśati
abhimṛś	abhimṛśe
abhiyaj	abhiyajatu
abhiyaj	abhiyajate
abhiyaj	abhiyaṣṭavya
abhiyaj	abhiṣṭvā
abhiyā	abhiyāmi
abhiyā	abhiyāyāt
abhiyā	abhiyāhi
abhiyā	abhiyātu
abhiyā	abhiyāma
abhiyā	abhiyāsyanti
abhiyā	abhiyāsyatu
abhiyā	abhiyātum
abhiyā	abhiyānīya
abhiyā	abhiyātvā
abhiyāc	abhiyācāmi
abhiyāc	abhiyācet
abhiyāc	abhiyācāma
abhiyāc	abhiyāce
abhiyāc	abhiyācase
abhiyāc	abhiyācate
abhiyuj	abhyayuñjan
abhiyuj	abhiyuñjate
abhiyuj	abhiyuñjīran
abhiyuj	abhiyokṣyate
abhiyuj	abhyayūyujat
abhiyuj	abhiyuñjati
abhiyuj	abhyayujyata
abhiyuj	abhiyokṣyamāṇa
abhiyojay	abhiyojayeyuḥ
abhiyojay	abhiyojita
abhiyojay	abhiyojya
yudh	yudhyete
yudh	yudhyethāḥ
yudh	yudhyai
yudh	yudhyantām
yudh	yuyudhe
yudh	yudhyate
yudh	yudhyatu
yudh	ayudhyaḥ
yudh	yudhyāma
yudh	yodhāsmi
yudh	ayotsīḥ
yudh	ayodhan
yudh	yodhi
yudh	yodhat
yudh	yotsi
yudh	ayodhīt
yudh	yodhiṣṭam
yudh	yodhiṣat
yudh	yutsmahi
yudh	yudhvī
yudh	yodhāna
yodhay	yodhayāmi
yodhay	yodhayeyuḥ
yodhay	ayodhayaḥ
yodhay	yodhayāṃcakruḥ
yodhay	yodhayiṣyanti
yodhay	yodhyate
yodhay	yodhayasva
yodhay	yodhayadhvam
yodhay	yodhayiṣye
yodhay	yodhayāḥ
yodhay	yodhyamāna
yodhay	yodhayāna
abhiyudh	abhyayudhyatām
abhiyudh	abhiyotsyanti
abhiyudh	abhiyudhyasva
abhiyudh	abhiyuyudhe
abhiyudh	abhiyudhyāḥ
abhirakṣ	abhirakṣasi
abhirakṣ	abhirakṣatha
abhirakṣ	abhyarakṣam
abhirakṣ	abhirakṣate
abhirakṣ	abhirakṣatāt
abhirakṣ	abhirakṣya
abhirakṣ	abhirakṣamāṇa
abhirakṣ	abhirakṣya
abhirañj	abhirajyati
abhirañj	abhirajyate
abhirañjay	abhirañjayat
abhirañjay	abhirañjita
abhiram	abhiramase
abhiram	abhiramante
abhiram	abhiramantām
abhiram	abhiraṃsyase
abhiram	abhiramantu
abhiram	abhiratum
rāmay	rāmaya
rāmay	rāmayaḥ
rāmay	rāmayat
rā	rānti
rā	rarāṇa
rā	rāsatām
rā	rāsāthām
rā	rariṣe
rā	rarāthe
rā	rarāthām
rā	rarīdhvam
rā	rarīthāḥ
rā	rātave
abhirāmay	abhirāmayat
abhirāmay	abhirāmita
abhirāj	abhirarāja
abhirāj	abhirājita
rādhay	rādhayāmi
rādhay	rādhayanti
rādhay	rādhayiṣyāmi
ruj	rujāmi
ruj	rujema
ruj	arujam
ruj	rurujuḥ
ruj	rujaḥ
ruj	rujan
ruj	arūrujatam
abhirādhay	abhirādhaya
abhirādhay	abhirādhayitum
ribh	rebhanti
ribh	ribhyate
ribh	rebhat
ribh	rirebha
ribh	rebhamāṇa
ruṣ	ruṣyanti
abhiribh	abhirebhati
abhiriṣ	abhireṣāt
abhiru	abhirauti
abhiruc	abhyarocata
abhirudh	abhyarundhan
abhiruh	abhirohanti
abhiruh	abhyaroham
abhiruh	abhyarohat
abhiruh	abhyarohan
abhiruh	abhirokṣyasi
abhiruh	abhiruhāmi
abhiruh	abhiroḍhavya
lakṣ	lakṣyase
abhilakṣ	abhilakṣya
abhilap	abhilapiṣyāmi
abhilap	abhilapyante
abhilap	abhilapya
abhilabh	abhilabheta
abhilabh	abhilebhe
abhilabh	abhilabhyate
abhilabh	abhilabhya
lal	lalanti
lal	lala
lal	lalasva
lal	lalantām
lal	lalamāna
abhilaṣ	abhilaṣasi
abhilaṣ	abhileṣuḥ
abhilaṣ	abhilaṣyate
abhilaṣ	abhilaṣase
abhilaṣ	abhilaṣate
abhilaṣ	abhilaṣante
abhilaṣ	abhilaṣyati
abhilaṣ	abhilaṣyanti
abhilaṣ	abhilaṣyatām
abhilaṣ	abhilaṣya
abhilikh	abhilikhanti
abhilekhay	abhilekhayet
abhilekhay	abhilekhya
abhilī	abhilīyate
abhilī	abhilīyanta
abhilī	abhilīna
abhilup	abhilumpat
abhilobhay	abhilobhayati
abhilobhay	abhilobhayat
abhivad	abhivadataḥ
abhivad	abhivadeḥ
abhivad	abhivadeyuḥ
abhivad	abhyavadaḥ
abhivad	abhivadethāḥ
abhivad	abhivadasva
abhivad	abhivadatām
abhivad	abhyavadata
abhivad	abhyavadetām
abhivad	abhyūde
abhivad	abhyudya
abhivad	abhivadamāna
abhivadh	abhyavadhīt
vand	vandase
vand	vandante
vand	vandantām
vand	avandetām
vand	vavandima
vand	avandat
vand	avandatām
vand	vandāmi
vand	vandati
vand	vandanti
vand	vandyeta
vand	vandyatām
vand	vandi
vand	vandiṣīmahi
vand	vandiṣyanti
vand	vandat
abhivand	abhyavandata
abhivand	abhivandāmi
abhivand	abhivandasi
abhivand	abhivandanti
abhivand	abhyavandiṣṭa
abhivand	abhivandamāna
abhivand	abhivandyamāna
abhivand	abhivanditvā
abhivap	abhyavapat
abhivap	abhyupya
vanday	vandaya
vanday	vandayitvā
vam	vavāma
vam	vamanti
vam	vamante
vam	vameyuḥ
vam	avāmat
vam	vama
vam	vaman
vam	vamya
vam	vamanīya
vam	vāntavat
vāmay	vāmayanti
vāmay	vāmayitum
vāmay	vāmitavat
valg	valget
valg	valgate
valg	valgamāna
abhivalg	abhivalganti
abhivalg	abhivalgat
tṛh	tatarha
tṛh	tṛhyante
tṛh	tṛṇahān
tṛh	tṛhyantām
tṛh	tṛṃhat
tṛh	tṛhyamāṇa
van	avanvan
van	vavanire
van	vāvandhi
van	vanase
van	vanavase
van	vanāḥ
van	vanāti
van	vanāva
van	vanāmahai
van	vanata
van	vaṃsi
van	vaṃsīmahi
van	vanvanta
van	vanitā
van	vāvanaḥ
van	vanta
van	vanuṣva
van	vanutām
van	vanudhvam
van	vanvatām
van	vanatām
van	vavanma
van	vanvan
van	vanaḥ
van	vaṃsate
van	vaṃsiṣīya
val	valati
val	valante
vaś	vaśati
vaś	vavakṣi
vaś	vivaṣṭi
vaś	vāvaśe
vaś	śmasi
vaś	vaṣṭu
vaś	avaśat
vaś	vaśāma
vaś	vaśat
vaś	vaśat
vaś	uśamāna
vāñch	vāñchāmi
vāñch	vāñchataḥ
vāñch	vāñchatha
vāñch	vāñchyate
vāñch	vāñcheta
vāñch	vāñcheran
vāñch	vāñchase
vāñch	vāñchāmahe
vāñch	avāñchīt
abhivah	abhivahanti
abhivah	abhyavahat
abhivah	abhivakṣyāmi
abhivah	abhyuvāha
abhivā	abhivāti
abhivā	abhivānti
vij	vijeta
vij	avije
vij	vivijre
vij	vikta
vij	vīvijaḥ
vij	vijamāna
abhivāñch	abhivāñchāmi
abhivāś	abhivāśyante
abhivāś	abhivāśat
abhivikṣip	abhivikṣipat
abhivicar	abhivicārya
vejay	avejayat
vejay	vejita
abhivijñā	abhivyajānīma
abhivijñā	abhivijñeya
abhivijval	abhivijvalat
veday	vedayāmi
veday	avedayatām
veday	avedayanta
veday	vedayasva
veday	vedayāṃcakre
veday	vedayamāna
veday	vedyamāna
veday	vedayitum
viṣ	vivekṣi
viṣ	viveṣṭi
viṣ	viviṣṭaḥ
viṣ	viviṣuḥ
viṣ	viveḥ
viṣ	viveṣaḥ
viṣ	veṣat
abhiveday	abhyavedayat
abhiveday	abhivedya
abhivid	abhyavindata
abhivid	abhyavindanta
abhivid	abhivindāmi
abhivid	abhyavindat
dyut	dyotante
dyut	dyotatām
dyut	didyute
dyut	didyutaḥ
dyut	adyaut
dyut	dyaut
dyut	dyotat
dyut	didyutāna
dyotay	adyotayan
dyotay	dyotayāmāsa
dyotay	dyotayat
dyotay	dyotayitum
abhivinoday	abhivinodayat
abhivibhaj	abhivibhajate
abhivirāj	abhivirājase
abhivirāj	abhivirejatuḥ
abhivirāj	abhivyarājata
abhiviruc	abhivirocataḥ
lāpay	alāpayiṣyathāḥ
abhivilī	abhivilāpya
abhivivas	abhivyucchet
abhiviśṛ	abhivyaśīryanta
śvāsay	śvāsayati
śvāsay	śvāsita
ślāgh	ślāghe
ślāgh	ślāghasva
ślāgh	ślāghati
ślāgh	ślāghanti
abhiviṣañj	abhiviṣajjate
abhivihṛ	abhivihṛtya
abhivīkṣ	abhivīkṣante
abhivīkṣ	abhivīkṣethāḥ
abhivīkṣ	abhivīkṣantām
abhivīkṣ	abhivīkṣyate
abhivīkṣ	abhivīkṣamāṇa
abhivīkṣ	abhivīkṣyamāṇa
abhivījay	abhyavījayat
abhivāray	abhivārita
vṛ	vṛṇīya
vṛ	avṛṇītam
vṛ	avṛṇīdhvam
vṛ	vriyate
vṛ	vṛṇuyāḥ
vṛ	vṛṇatām
vṛ	vavṛṣe
vṛ	vavrāthe
vṛ	vṛṇotu
vṛ	vriyantām
vṛ	vṛṇuṣva
vṛ	vṛṇve
vṛ	vṛṇīhi
vṛ	vṛṇītam
vṛ	vṛṇīmaḥ
vṛ	vṛta
vṛ	varanta
vṛ	avṛṣata
vṛ	variṣyamāṇa
vṛ	vṛtvā
vṛ	vṛṇvat
vṛ	vriyamāṇa
vṛ	varaṇīya
varay	varayāmaḥ
varay	varayema
varay	varayatu
varay	varayatam
varay	varayantu
varay	varayate
varay	varayadhvam
varay	varayāṃpracakramuḥ
varay	varayiṣyāva
abhivṛ	abhivṛṇīta
abhivṛ	abhivavrire
abhivṛt	abhivarteta
abhivṛt	abhivarteran
abhivṛt	abhivartetām
abhivṛt	abhivartati
abhivṛt	abhyavartiṣi
abhivṛt	abhivāvṛte
abhivṛt	abhivartitum
abhivartay	abhivartayanti
abhivartay	abhivartaya
abhivartay	abhyavartayan
vyath	vyathete
vyath	vyatheran
vyath	vyathatām
vyath	vyathyate
vyath	vivyathe
vyath	vivyathate
vyath	vyathantu
vyath	vyadhati
vyath	vyathiṣmahi
vyath	vyathat
vyath	vyathiṣyai
abhivṛdh	abhivardheran
abhivṛdh	abhivardhatām
abhivṛdh	abhyavardhata
abhivṛdh	abhyavardhanta
abhivṛdh	abhivavṛdhe
abhivṛdh	abhivardhitum
abhivṛdh	abhivardhamāna
abhivardhay	abhivardhaya
abhivardhay	abhivardhayitavya
abhivṛṣ	abhivarṣet
abhivṛṣ	abhivarṣa
abhivṛṣ	abhyavarṣam
abhivṛṣ	abhyavarṣāma
abhivṛṣ	abhivavarṣatuḥ
abhiveṣṭay	abhiveṣṭayet
abhiveṣṭay	abhiveṣṭayat
abhiveṣṭay	abhiveṣṭya
vyathay	vyathaya
vyathay	vyathayāṃcakāra
vyathay	vyathayāṃbabhūvuḥ
vyathay	vyathayāṃpracakruḥ
vyathay	vyathayate
vyathay	vyathayīḥ
abhivyañj	abhivyaṅktaḥ
abhivyañj	abhivyañjanti
abhivyañj	abhivyaṅgya
abhivyañj	abhyaktavya
abhivyadh	abhyavidhyan
abhivyadh	abhividhyeta
abhivyadh	abhyavidhyata
abhivyadh	abhividhyetām
abhivyādā	abhivyādadāt
abhivyāhṛ	abhivyāharāṇi
abhivyāhṛ	abhivyāharat
abhivyāhṛ	abhivyāhariṣyati
abhivyāhṛ	abhivyāhṛtya
abhivraj	abhivrajet
abhiśaṁs	abhiśaṃsasi
abhiśaṁs	abhiśaṃsati
abhiśaṁs	abhiśaṃsanti
abhiśaṁs	abhiśastāt
abhiśaṁs	abhiśasya
abhiśaṅk	abhiśaṅke
abhiśaṅk	abhiśaṅkate
abhiśaṅk	abhiśaṅkadhvam
abhiśaṅk	abhiśaṅkitum
abhiśaṅk	abhiśaṅkya
abhiśap	abhyaśapaḥ
abhiśap	abhyaśapat
abhiśap	abhiśapsyāmi
abhiśap	abhiśapat
abhiśap	abhiśapya
abhiśap	abhiśaptavat
abhiśāpay	abhiśāpya
abhiśāpay	abhiśāpya
abhiśās	abhiśāsati
abhiśās	abhiśāsat
abhiśikṣay	abhyaśikṣayat
abhiśuc	abhiśocati
abhiśuc	abhiśocanti
śnath	aśiśnat
śnath	śnathiṣṭam
śnath	śnathiṣṭana
śnath	śnathitā
śnath	śiśnatham
ścut	ścotati
ścut	ścotat
abhiśri	abhiśiśriyuḥ
śrī	śrīṇāti
śrī	aśrīṇāt
śrī	śrāyante
śrī	śrīṇīhi
śrī	śrīṇīta
śrī	śrīṇītana
śrī	śrīṇantu
śrī	śrīṇīṣe
śrī	śrāyat
śram	śrāmyasi
śram	śrāmyanti
śram	śrāmyase
śram	śaśrāma
śram	śraman
śram	śaśramuḥ
śram	aśramat
śram	śrāmyamāṇa
abhiśrī	abhiśrīṇat
abhiśru	abhiśṛṇvat
abhiśru	abhiśruta
abhiśvas	abhiśvasat
abhiṣañj	abhiṣajati
abhiṣañj	abhiṣajyete
abhiṣañj	abhiṣajyamāna
abhiṣañj	abhiṣaktavya
abhiṣah	abhiṣahya
abhiṣic	abhiṣiñcasi
abhiṣic	abhyaṣiñcatām
abhiṣic	abhiṣekṣyanti
abhiṣic	abhyaṣican
abhiṣic	abhiṣiṣice
abhiṣic	abhiṣicyeyam
abhiṣic	abhiṣiñcatām
abhiṣic	abhiṣiñcan
abhiṣic	abhiṣekṣyāma
abhiṣic	abhiṣiñcate
abhiṣic	abhiṣicyantu
abhiṣic	abhiṣicyeta
abhiṣic	abhiṣekṣyat
abhiṣic	abhiṣecya
abhiṣic	abhiṣiñcita
abhiṣic	abhiṣektavya
abhiṣic	abhiṣiñcya
sīv	sīvyadhvam
sīv	sīvyantām
sīv	sīvyat
sīv	sīvya
abhiṣu	abhiṣūyate
abhiṣu	abhiṣūyante
abhiṣu	abhiṣuṇoti
abhiṣu	abhyaṣuṇvan
abhiṣu	abhiṣuṇavāma
abhiṣu	abhyasuṣavuḥ
abhiṣu	abhiṣuṇuta
abhiṣu	abhiṣuṇvat
abhiṣu	abhiṣūyamāṇa
abhiṣū	abhiṣūyatām
abhiṣū	abhiṣuta
abhiṣū	abhiṣūya
sūday	sūdayet
sūday	sūdayema
sūday	sūdayatu
sūday	asūdayam
sūday	asūdayan
sūday	sūdayiṣyati
sūday	sūdayiṣyanti
sūday	sūdayase
sūday	sūdayante
sūday	sūdayiṣye
sūday	asūdayanta
sūday	sūdayat
skhal	askhalan
skhal	caskhāla
skhal	caskhale
skhal	skhalate
abhiṣūday	abhyasūdayam
abhiṣūday	abhyasūdayat
abhiṣṭan	abhiṣṭanati
skhalay	skhalayat
stambh	stabhnāmi
stambh	stabhnāti
stambh	stabhyete
stambh	stabhyante
stambh	stambhet
stambh	stabhāna
stambh	astabhnuvan
stambh	stambhīt
stambh	tastambhat
stambh	stabhita
stambh	stabhya
stambh	stabhyamāna
stambh	tastabhvas
stambhay	astambhayata
stambhay	stambhayitum
abhiṣṭu	abhiṣṭaumi
abhiṣṭu	abhiṣṭauṣi
abhiṣṭu	abhiṣṭuvan
abhiṣṭu	abhyaṣṭāvīt
abhiṣṭu	abhituṣṭuve
abhiṣṭu	abhiṣṭuvate
abhiṣṭu	abhiṣṭuhi
abhiṣṭu	abhistuvanti
abhiṣṭu	abhiṣṭūyeta
abhiṣṭu	abhiṣṭūyamāna
abhiṣṭu	abhistotum
abhiṣṭu	abhistutvā
