Корень	Слабая ступень	Гуна	Вриддхи
veviṣ	1	0	0
veṣay	1	0	0
veṣṭ	1	0	0
veṣṭay	1	0	0
veśay	1	0	0
vyac	1	1	0
vyath	1	1	0
vyathay	1	0	0
vyadh	1	1	0
vye	1	1	0
vraj	1	1	0
vrajay	1	0	0
vraśc	1	1	0
vrājay	1	0	0
vlī	1	0	0
ṣṭhīv	1	1	0
śaṁs	1	1	0
śaṁsay	1	0	0
śak	1	1	1
śaṅk	1	1	0
śap	1	1	1
śabday	1	0	0
śam	1	1	1
śamay	1	0	0
śalyay	1	0	0
śā	1	1	0
śātay	1	0	0
śāpay	1	0	0
śāmay	1	0	0
śāyay	1	0	0
śās	1	1	0
śāsay	1	0	0
śikṣ	1	0	0
śikṣay	1	0	0
śiṣ	1	1	0
śī	1	1	0
śīlay	1	0	0
śuc	1	1	0
śudh	1	1	0
śubh	1	1	0
śuṣ	1	1	0
śṛ	1	1	1
śeṣay	1	0	0
śocay	1	0	0
śodhay	1	0	0
śobhay	1	0	0
śoṣay	1	0	0
ścut	1	0	0
ścotay	1	0	0
śnath	1	1	0
śyā	1	0	0
śrath	1	1	0
śram	1	1	0
śrāvay	1	0	0
śri	1	1	1
śrī	1	1	0
śru	1	1	1
ślāgh	1	1	0
śliṣ	1	1	0
śleṣay	1	0	0
śvas	1	1	0
śvāsay	1	0	0
śvi	1	1	1
śvit	1	0	0
sac	1	1	1
sajjay	1	0	0
sañj	1	1	0
sañjay	1	0	0
sad	1	1	1
san	1	1	0
sarjay	1	0	0
sarpay	1	0	0
sarsṛ	1	0	0
sah	1	1	1
sā	1	1	0
sāday	1	0	0
sādhay	1	0	0
sāntvay	1	0	0
sāray	1	0	0
si	1	1	0
sic	1	1	0
siñcay	1	0	0
siñj	1	0	0
sidh	1	1	0
sisṛkṣ	1	0	0
sīv	1	1	0
su	1	1	1
sukhay	1	0	0
sū	1	1	1
sūcay	1	0	0
sūtray	1	0	0
sūday	1	0	0
sṛ	1	1	1
sṛj	1	1	1
sṛp	1	1	0
secay	1	0	0
sev	1	1	0
sevay	1	0	0
skand	1	1	0
skanday	1	0	0
skambh	1	1	0
skhal	1	1	0
stan	1	1	0
stambh	1	1	0
stambhay	1	0	0
stāvay	1	0	0
stu	1	1	1
stubh	1	1	0
stṛ	1	1	1
stobhay	1	0	0
styai	1	0	0
sthā	1	1	1
sthāpay	1	0	0
snapay	1	0	0
snā	1	1	1
snāpay	1	0	0
snih	1	1	0
snu	1	0	0
snehay	1	0	0
spand	1	1	0
sparśay	1	0	0
spṛ	1	1	0
spṛdh	1	1	0
spṛś	1	1	1
spṛhay	1	0	0
sphāray	1	0	0
sphuṭ	1	1	0
sphur	1	1	0
sphūrj	1	0	0
sphūrjay	1	0	0
sphoṭay	1	0	0
smaray	1	0	0
smāray	1	0	0
smi	1	1	0
smṛ	1	1	1
syand	1	1	0
syanday	1	0	0
sraṁs	1	1	0
sraṁsay	1	0	0
srāvay	1	0	0
sru	1	1	0
svaj	1	1	0
svad	1	1	0
svan	1	1	0
svanay	1	0	0
svap	1	1	1
svar	1	0	0
svāday	1	0	0
svāpay	1	0	0
svid	1	1	0
sveday	1	0	0
han	1	1	1
hary	1	0	0
harṣay	1	0	0
has	1	1	1
hā	1	1	1
hāpay	1	0	0
hāray	1	0	0
hāsay	1	0	0
hi	1	1	0
hiṁs	1	1	0
hiṁsay	1	0	0
hiṇḍ	1	0	0
hu	1	1	1
hṛ	1	1	1
hṛṣ	1	1	0
heṣ	1	0	0
hnu	1	0	0
hras	1	0	0
hrāsay	1	0	0
hlād	1	1	0
hlāday	1	0	0
hvā	1	1	1
hvṛ	1	1	0
