"Недатированные тексты"	a	1920=56.86%	"Недатированные тексты"	ā	348=10.31%	"Недатированные тексты"	i	171=5.06%	"Недатированные тексты"	ī	218=6.46%	"Недатированные тексты"	u	93=2.75%	"Недатированные тексты"	ū	18=0.53%	"Недатированные тексты"	o	1=0.03%	"Недатированные тексты"	e	2=0.06%	"Недатированные тексты"	ṛ	37=1.10%	"Недатированные тексты"	kh	1=0.03%	"Недатированные тексты"	k	1=0.03%	"Недатированные тексты"	g	1=0.03%	"Недатированные тексты"	ṭh	1=0.03%	"Недатированные тексты"	ṭ	3=0.09%	"Недатированные тексты"	ch	3=0.09%	"Недатированные тексты"	j	24=0.71%	"Недатированные тексты"	c	14=0.41%	"Недатированные тексты"	th	1=0.03%	"Недатированные тексты"	dh	16=0.47%	"Недатированные тексты"	t	33=0.98%	"Недатированные тексты"	d	33=0.98%	"Недатированные тексты"	n	125=3.70%	"Недатированные тексты"	bh	3=0.09%	"Недатированные тексты"	p	22=0.65%	"Недатированные тексты"	b	1=0.03%	"Недатированные тексты"	m	16=0.47%	"Недатированные тексты"	y	157=4.65%	"Недатированные тексты"	r	7=0.21%	"Недатированные тексты"	l	5=0.15%	"Недатированные тексты"	v	3=0.09%	"Недатированные тексты"	ṣ	18=0.53%	"Недатированные тексты"	ś	21=0.62%	"Недатированные тексты"	s	47=1.39%	"Недатированные тексты"	h	12=0.36%
vaṅga	mn	0,10192	dhyā	v	0,01446	hari	m	0,01102	kaṅguṇī	f	0,00895	hanu	mf	0,00413																																																	vyavāyin	adj	0,00620													nidhāpay	v	0,00826																					
yantra	mn	0,10192	vāsā	f	0,01446	udi	v	0,01102	atasī	f	0,00826	cyu	v	0,00413																																																	śālin	adj	0,00620													pralepay	v	0,00826																					
rakta	adj	0,10123	manohvā	f	0,01377	śruti	f	0,01033	kāravī	f	0,00826	cañcu	mf	0,00413																																																	śikharin	m	0,00620													sūcay	v	0,00826																					
ṭaṅkaṇa	mn	0,10123	śvetā	f	0,01377	vikṛti	f	0,01033	matsyākṣī	f	0,00826																																																				balin	m	0,00620													śamay	v	0,00826																					
śveta	adj	0,10054	bhadrā	f	0,01377	dhamani	f	0,01033	citriṇī	f	0,00826																																																				āhan	v	0,00620													kuṭṭay	v	0,00758																					
gulma	mn	0,09986	vandhyā	f	0,01377	pāṇi	m	0,01033	meṣaśṛṅgī	f	0,00758																																																				kāmin	m	0,00551													pāyay	v	0,00758																					
pathya	adj	0,09572	varā	f	0,01377	sṛṣṭi	f	0,01033	mahī	f	0,00758																																																				patatrin	m	0,00551													pratisāray	v	0,00758																					
traya	n	0,09572	balā	f	0,01377	kṣiti	f	0,01033	māṣaparṇī	f	0,00758																																																				mantrin	m	0,00551													pradarśay	v	0,00758																					
antara	adj	0,09504	samādā	v	0,01377	vṛtti	f	0,01033	tulasī	f	0,00758																																																				yuvan	m	0,00551													āpūray	v	0,00758																					
deha	mn	0,09504	kūpikā	f	0,01308	pravṛtti	f	0,01033	śaṅkhapuṣpī	f	0,00758																																																				vajrin	m	0,00551													vāpay	v	0,00758																					
dravya	n	0,09366	mañjiṣṭhā	mf	0,01308	kavi	m	0,00964	vyāghrī	f	0,00758																																																				vardhin	adj	0,00551													anusāray	v	0,00689																					
ādika	adj	0,09366	vasā	f	0,01308	ṣaṣṭi	f	0,00964	viṣaghnī	f	0,00758																																																				lakṣman	n	0,00551													prapūray	v	0,00689																					
kāla	m	0,09159	piṅgalā	f	0,01308	bāhyadruti	f	0,00964	pṛthivī	f	0,00758																																																				dhanvin	m	0,00551													viśodhay	v	0,00689																					
uttama	adj	0,09159	śikhā	f	0,01308	vrīhi	m	0,00964	tuvarī	f	0,00758																																																				pāman	mn	0,00551													vimiśray	v	0,00689																					
śopha	m	0,09090	piṣṭikā	f	0,01308	rāśi	mf	0,00895	kaṭabhī	f	0,00689																																																				sukhin	adj	0,00551													kāmay	v	0,00620																					
yāma	m	0,09021	pūtanā	f	0,01308	sūri	m	0,00895	payasvinī	f	0,00689																																																				vidhvaṁsin	adj	0,00551													anudarśay	v	0,00620																					
ghṛta	n	0,09021	vihā	v	0,01308	niści	v	0,00895	parameśvarī	f	0,00689																																																				śākhin	m	0,00551													uccāṭay	v	0,00620																					
hima	adj	0,08884	maṅgalyā	f	0,01240	udañji	m	0,00895	kāśmarī	f	0,00689																																																				pradāyin	adj	0,00551													paribhāvay	v	0,00620																					
śata	mn	0,08884	nalikā	f	0,01240	kapi	m	0,00826	nīlī	f	0,00689																																																				vedin	adj	0,00551													nirūpay	v	0,00620																					
cakṣuṣya	adj	0,08884	rambhā	f	0,01240	cūḍāmaṇi	m	0,00826	vāruṇī	f	0,00689																																																				śvan	m	0,00551													visarjay	v	0,00620																					
pala	mn	0,08815	lūtā	f	0,01240	chavi	f	0,00826	aṣṭamī	f	0,00689																																																				sādin	m	0,00482													spaṣṭay	v	0,00620																					
lakṣaṇa	n	0,08815	sugandhā	f	0,01240	ākṛṣṭi	f	0,00826	āsurī	f	0,00689																																																				marman	n	0,00482													rodhay	v	0,00551																					
śeṣa	mn	0,08746	prajñā	f	0,01240	mūrti	f	0,00826	vajrolī	f	0,00689																																																				cārin	adj	0,00482													śikṣay	v	0,00551																					
pīta	adj	0,08746	kanyakā	f	0,01171	abdhi	m	0,00758	vānarī	f	0,00689																																																				sambandhin	adj	0,00482													āloḍay	v	0,00551																					
drava	mn	0,08746	varṣā	f	0,01171	nāḍi	f	0,00758	vāyasī	f	0,00689																																																				samprajan	v	0,00482													āsāday	v	0,00551																					
śrama	m	0,08677	māyā	f	0,01171	nidhi	m	0,00758	māgadhī	f	0,00689																																																				vanavāsin	m	0,00413													utthāpay	v	0,00551																					
māṁsa	n	0,08677	mālā	f	0,01171	dhvani	m	0,00758	haṁsapādī	f	0,00689																																																				dhanvin	adj	0,00413													upalakṣay	v	0,00551																					
lavaṇa	n	0,08677	drākṣā	f	0,01171	surabhi	m	0,00758	khaṭī	f	0,00689																																																				sevin	adj	0,00413													vibhāvay	v	0,00551																					
pāda	m	0,08608	tārā	f	0,01171	kṣiti	f	0,00758	śāmbhavī	f	0,00689																																																				śarīrin	m	0,00413													homay	v	0,00551																					
bheda	m	0,08539	mṛgayā	f	0,01171	viṣamuṣṭi	mf	0,00758	kṣīrakākolī	f	0,00689																																																				śodhin	adj	0,00413													samuccāray	v	0,00551																					
śiva	m	0,08539	medā	f	0,01171	aṅghri	m	0,00689	brahmadaṇḍī	f	0,00689																																																				gandhāśman	m	0,00413													sampāday	v	0,00551																					
adhika	adj	0,08471	prayā	v	0,01171	bhakti	f	0,00689	suradālī	f	0,00689																																																				viṣāṇin	m	0,00413													saṁpradarśay	v	0,00551																					
ādya	adj	0,08471	andhamūṣā	mf	0,01102	aśīti	f	0,00689	kuhī	f	0,00620																																																				khan	v	0,00413													samarpay	v	0,00551																					
aṅga	n	0,08402	bhastrā	f	0,01102	ukti	f	0,00689	kākatuṇḍī	f	0,00620																																																				utkhan	v	0,00413													nirvāpay	v	0,00551																					
tīkṣṇa	adj	0,08333	aśvagandhā	f	0,01102	rājarīti	f	0,00689	nākulī	f	0,00620																																																				vinihan	v	0,00413													añjay	v	0,00482																					
meha	m	0,08264	iḍā	f	0,01102	vicchardi	f	0,00689	alakṣmī	f	0,00620																																																																			plāvay	v	0,00482																					
śamana	adj	0,08264	yoṣā	f	0,01102	adhipati	m	0,00689	yavānī	f	0,00620																																																																			bandhay	v	0,00482																					
arka	m	0,08195	vaṭikā	f	0,01102	agasti	m	0,00620	jananī	f	0,00620																																																																			bheday	v	0,00482																					
dugdha	n	0,08195	latā	f	0,01102	apanutti	f	0,00620	droṇapuṣpī	f	0,00620																																																																			dīpay	v	0,00482																					
jāraṇa	mfn	0,08195	tiktā	f	0,01102	avadhi	m	0,00620	dharaṇī	f	0,00620																																																																			ākuñcay	v	0,00482																					
rasāyana	n	0,07988	jayā	f	0,01102	surabhi	f	0,00620	taruṇī	f	0,00620																																																																			upavarṇay	v	0,00482																					
anila	m	0,07782	dolā	f	0,01102	gandhi	adj	0,00620	sarasvatī	f	0,00620																																																																			niṣpīḍay	v	0,00482																					
tridoṣa	mn	0,07782	sphaṭikā	mf	0,01102	prāpti	f	0,00620	śṛṅgī	f	0,00620																																																																			vicintay	v	0,00482																					
garbha	m	0,07782	mṛtsnā	f	0,01102	adri	m	0,00551	gardabhī	f	0,00620																																																																			saṁveṣṭay	v	0,00482																					
śarīra	n	0,07713	kaṭukā	f	0,01033	niṣpatti	f	0,00551	gāyatrī	f	0,00620																																																																			saṁsveday	v	0,00482																					
kṣāra	m	0,07644	ūrṇā	f	0,01033	nṛhari	m	0,00551	śimbī	f	0,00620																																																																			saṁcūrṇay	v	0,00482																					
balya	adj	0,07575	rocanā	f	0,01033	tithi	mf	0,00551	mīnākṣī	f	0,00620																																																																			sampūjay	v	0,00482																					
netra	mn	0,07506	japā	f	0,01033	sugandhi	m	0,00551	pṛśniparṇī	f	0,00620																																																																			aṅkay	v	0,00413																					
nara	m	0,07438	vimalā	f	0,01033	kṛṣṭi	f	0,00482	ghaṭī	f	0,00620																																																																			gaṇay	v	0,00413																					
pācana	adj	0,07438	khaṭikā	f	0,01033	kukṣi	mf	0,00482	vilī	v	0,00620																																																																			poṣay	v	0,00413																					
dṛḍha	adj	0,07369	nirmā	v	0,01033	bhūri	adj	0,00482	kāṅkṣī	f	0,00551																																																																			mohay	v	0,00413																					
kaṇṭha	m	0,07300	dharā	f	0,00964	nivṛtti	f	0,00482	masūrī	mf	0,00551																																																																			stambhay	v	0,00413																					
vastra	mn	0,07300	saumyā	f	0,00964	ari	m	0,00482	upodakī	fn	0,00551																																																																			bhrāmay	v	0,00413																					
sara	adj	0,07300	vyathā	f	0,00964	bhīti	f	0,00482	vārāhī	f	0,00551																																																																			kṣepay	v	0,00413																					
puṣpa	n	0,07300	vikhyā	v	0,00964	vanaspati	mf	0,00482	āḍhakī	f	0,00551																																																																			avatāray	v	0,00413																					
pakva	adj	0,07231	aṅganā	f	0,00895	tuṣṭi	f	0,00482	meṣī	f	0,00551																																																																			avaśeṣay	v	0,00413																					
tāpya	mn	0,07231	ativiṣā	f	0,00895	pārṣṇi	mf	0,00482	māṁsī	f	0,00551																																																																			kalay	v	0,00413																					
saindhava	mn	0,07162	nīlikā	f	0,00895	vṛṣṭi	f	0,00482	trapusī	f	0,00551																																																																			ālokay	v	0,00413																					
māsa	mn	0,07162	madhurā	f	0,00895	divyauṣadhi	f	0,00482	jīvanī	f	0,00551																																																																			utpāṭay	v	0,00413																					
saṁśaya	m	0,07093	vicāraṇā	f	0,00895	auṣadhi	f	0,00482	gajapippalī	f	0,00551																																																																			nipātay	v	0,00413																					
anta	m	0,07093	cikitsā	f	0,00895	ajāji	f	0,00413	mudgaparṇī	f	0,00551																																																																			nivāray	v	0,00413																					
kānta	n	0,07024	icchā	f	0,00895	saṁśuddhi	f	0,00413	medinī	f	0,00551																																																																			paripūray	v	0,00413																					
bhūta	mn	0,06955	īśvarā	f	0,00895	kali	m	0,00413	dārvī	f	0,00551																																																																			parivarjay	v	0,00413																					
sūkṣma	adj	0,06887	varāṭikā	f	0,00895	paṅkti	f	0,00413	phañjī	f	0,00551																																																																			pradīpay	v	0,00413																					
vināśana	adj	0,06887	mahāvidyā	f	0,00895	kīrti	f	0,00413	atī	v	0,00551																																																																			pradrāvay	v	0,00413																					
amla	n	0,06749	lakṣmaṇā	f	0,00895	bhūti	f	0,00413	śrī	v	0,00551																																																																			vicāray	v	0,00413																					
yuta	adj	0,06749	pāṭalā	f	0,00895	ambudhi	m	0,00413	bhūdhātrī	f	0,00551																																																																			vivardhay	v	0,00413																					
hita	adj	0,06749	sāraṇā	fn	0,00895	narahari	m	0,00413	poṭalī	mf	0,00551																																																																																										
sahasra	mn	0,06680	sārivā	f	0,00895	bhukti	f	0,00413	kāñcī	f	0,00482																																																																																										
sāra	mn	0,06680	śatāhvā	mf	0,00895	raśmi	mf	0,00413	patnī	f	0,00482																																																																																										
rasāyana	adj	0,06680	gaṅgā	f	0,00895	tṛpti	f	0,00413	śrīparṇī	f	0,00482																																																																																										
śiśira	adj	0,06611	kṣudrā	f	0,00895	dhanvantari	m	0,00413	bhārṅgī	f	0,00482																																																																																										
ghana	mn	0,06542	candrikā	f	0,00895	hayāri	m	0,00413	indravāruṇī	f	0,00482																																																																																										
bhāva	m	0,06336	kaṭorikā	mf	0,00895	vidradhi	mf	0,00413	yuvatī	f	0,00482																																																																																										
śreṣṭha	adj	0,06267	mṛgavyā	f	0,00895	mṛganābhi	mn	0,00413	vatsādanī	f	0,00482																																																																																										
bhāṇḍa	n	0,06267	kāntā	f	0,00826	vivṛddhi	f	0,00413	rasāyanī	f	0,00482																																																																																										
āma	mn	0,06267	ambaṣṭhā	f	0,00826	prabhṛti	f	0,00413	yakṣiṇī	f	0,00482																																																																																										
tīkṣṇa	n	0,06267	nāḍikā	f	0,00826	prasiddhi	f	0,00413	maheśvarī	f	0,00482																																																																																										
kvātha	m	0,06129	dhārā	mf	0,00826	ci	v	0,00413	mahauṣadhī	f	0,00482																																																																																										
ardha	mn	0,06060	cintā	f	0,00826	śri	v	0,00413	mādhavī	f	0,00482																																																																																										
śāstra	n	0,05991	chāgā	f	0,00826	viji	v	0,00413	mādhvī	f	0,00482																																																																																										
bandha	m	0,05991	rāmā	f	0,00826				mālatī	f	0,00482																																																																																										
hasta	mn	0,05922	medhyā	f	0,00826				dīpanī	f	0,00482																																																																																										
auṣadha	n	0,05854	tulā	f	0,00826				pāṭalī	f	0,00482																																																																																										
gagana	n	0,05854	piṇḍikā	f	0,00826				piṇḍī	f	0,00482																																																																																										
kanaka	n	0,05785	jvālā	f	0,00826				tāmbūlī	f	0,00482																																																																																										
kanda	mn	0,05785	pītā	f	0,00826				tāriṇī	f	0,00482																																																																																										
ūrdhva	adj	0,05785	vajramūṣā	mf	0,00826				sarpākṣī	f	0,00482																																																																																										
alpa	adj	0,05785	karuṇā	f	0,00758				sahadevī	f	0,00482																																																																																										
sukha	n	0,05785	ajamodā	f	0,00758				gurviṇī	f	0,00482																																																																																										
saṁyuta	adj	0,05716	aparājitā	f	0,00758				badarī	f	0,00482																																																																																										
ābha	adj	0,05647	rāsnā	f	0,00758				pralī	v	0,00482																																																																																										
hṛdya	adj	0,05647	mahāmudrā	f	0,00758				samānī	v	0,00482																																																																																										
viḍa	mn	0,05647	gorocanā	mf	0,00758				śaṭī	f	0,00482																																																																																										
śodhana	mn	0,05647	śākhā	f	0,00758				unmanī	f	0,00482																																																																																										
krama	m	0,05578	śiphā	f	0,00758				koṣṭhī	mf	0,00482																																																																																										
aṅgula	mn	0,05509	gā	v	0,00758				kaṇṭakinī	f	0,00413																																																																																										
ākāra	m	0,05509	vīrā	f	0,00758				kaṭvī	f	0,00413																																																																																										
grāsa	m	0,05509	pidhā	v	0,00758				kośātakī	f	0,00413																																																																																										
ratna	mn	0,05440	balivasā	mf	0,00758				kalaśī	f	0,00413																																																																																										
varga	m	0,05440	kajjalikā	f	0,00689				kāñcanī	f	0,00413																																																																																										
toya	n	0,05440	kathā	f	0,00689				kāravallī	f	0,00413																																																																																										
dvitīya	adj	0,05440	parīkṣā	f	0,00689				saptamī	f	0,00413																																																																																										
vara	adj	0,05372	samaṅgā	f	0,00689				parpaṭī	f	0,00413																																																																																										
stha	adj	0,05372	nāgabalā	f	0,00689				kumbhī	f	0,00413																																																																																										
dviguṇa	adj	0,05234	vāsanā	f	0,00689				markaṭī	f	0,00413																																																																																										
