"Древнейшее ядро"	au	1=0.05%	"Древнейшее ядро"	ai	1=0.05%	"Древнейшее ядро"	a	686=35.73%	"Древнейшее ядро"	ā	126=6.56%	"Древнейшее ядро"	i	166=8.65%	"Древнейшее ядро"	ī	51=2.66%	"Древнейшее ядро"	u	97=5.05%	"Древнейшее ядро"	ū	18=0.94%	"Древнейшее ядро"	o	2=0.10%	"Древнейшее ядро"	e	8=0.42%	"Древнейшее ядро"	ṛ	56=2.92%	"Древнейшее ядро"	k	1=0.05%	"Древнейшее ядро"	ḍ	3=0.16%	"Древнейшее ядро"	ṇ	2=0.10%	"Древнейшее ядро"	ch	2=0.10%	"Древнейшее ядро"	j	35=1.82%	"Древнейшее ядро"	c	34=1.77%	"Древнейшее ядро"	th	4=0.21%	"Древнейшее ядро"	dh	30=1.56%	"Древнейшее ядро"	t	72=3.75%	"Древнейшее ядро"	d	50=2.60%	"Древнейшее ядро"	n	110=5.73%	"Древнейшее ядро"	bh	13=0.68%	"Древнейшее ядро"	p	16=0.83%	"Древнейшее ядро"	m	19=0.99%	"Древнейшее ядро"	y	58=3.02%	"Древнейшее ядро"	r	13=0.68%	"Древнейшее ядро"	v	12=0.63%	"Древнейшее ядро"	ṣ	38=1.98%	"Древнейшее ядро"	ś	27=1.41%	"Древнейшее ядро"	s	142=7.40%	"Древнейшее ядро"	h	27=1.41%
						ūrdhva	adj	0,07398	sūnṛtā	f	0,01634	bali	m	0,02042				caru	m	0,01271																																					cit	f	0,00817				māyin	adj	0,01634																									anehas	adj	0,01861			
						sūkta	n	0,07307	vyākhyā	v	0,01588	akṣi	n	0,02042				sukratu	adj	0,01271																																					śacīvat	adj	0,00817				śuṣmin	adj	0,01543																									praśaṁs	v	0,01861			
						parvata	mn	0,07262	pathyā	f	0,01543	suvṛkti	f	0,01997				ṛju	adj	0,01180																																											varman	mn	0,01498																									mīḍhvas	adj	0,01861			
						rasa	mn	0,07126	dhiṣaṇā	f	0,01543	pṛśni	f	0,01997				śambhu	adj	0,01180																																											ṛbhukṣan	m	0,01498																									mayas	n	0,01815			
						aṅga	n	0,06944	vā	v	0,01543	ri	v	0,01997				śaru	mf	0,01135																																											tan	f	0,01498																									mās	m	0,01815			
						sakhya	n	0,06944	hā	v	0,01543	jāmi	adj	0,01952				yu	v	0,01135																																											satvan	m	0,01452																									abhidās	v	0,01815			
						bhūta	mn	0,06899	saṁśā	v	0,01498	puraṁdhi	f	0,01952				vasūyu	adj	0,01089																																											vaśin	adj	0,01452																									yaśas	adj	0,01770			
						bhāga	m	0,06853	prā	v	0,01498	ākūti	f	0,01906				viśvāyu	adj	0,01089																																											ran	v	0,01452																									navīyas	adj	0,01725			
						marta	m	0,06808	śiprā	f	0,01452	adhipati	m	0,01906				purūvasu	adj	0,01089																																											takman	m	0,01407																									draviṇas	n	0,01725			
						uttama	adj	0,06808	grīvā	f	0,01452	puṣṭi	f	0,01861				abhiṣṭu	v	0,01089																																											bhūman	n	0,01362																									nabhas	n	0,01679			
						pavitra	n	0,06672	vibhā	v	0,01452	kīrti	f	0,01815				pracyu	v	0,01089																																											ṛjīṣin	adj	0,01316																									pājas	n	0,01679			
						madhya	n	0,06626	sā	adj	0,01452	sani	mf	0,01770				paraśu	m	0,01044																																											atrin	m	0,01180																									siṣās	v	0,01679			
						tṛtīya	adj	0,06626	āśā	f	0,01362	avi	mf	0,01770				asmayu	adj	0,01044																																											yāvan	m	0,01180																									vivās	v	0,01679			
						samāna	adj	0,06445	sūryā	f	0,01362	āpi	m	0,01770				yātu	m	0,01044																																											khan	v	0,01180																									anāgas	adj	0,01634			
						parama	adj	0,06263	kṣā	f	0,01362	yuvati	f	0,01770				aghāyu	adj	0,00998																																											arvan	m	0,01135																									apsaras	f	0,01634			
						yama	m	0,06263	vidhā	v	0,01271	gabhasti	m	0,01725				śravasyu	adj	0,00998																																											udan	n	0,01135																									sarpis	n	0,01634			
						mukha	n	0,06263	dhā	v	0,01225	vedi	f	0,01725				pitu	mn	0,00998																																											ekādaśan	adj	0,01089																									śardhas	n	0,01634			
						divya	adj	0,06263	dhānā	f	0,01180	vrīhi	m	0,01725				ripu	m	0,00953																																											antaryāmin	m	0,01044																									vedas	n	0,01634			
						hṛdaya	n	0,06218	upahvā	v	0,01180	citti	f	0,01679				vājinīvasu	adj	0,00953																																											parijman	adj	0,01044																									arṇas	n	0,01588			
						akṣara	n	0,06172	apidhā	v	0,01135	jani	f	0,01679				jarāyu	mn	0,00953																																											majjan	m	0,01044																									vedas	n	0,01543			
						śukra	adj	0,06172	amīvā	f	0,01089	viśpati	m	0,01679				jiṣṇu	adj	0,00953																																											mandin	adj	0,01044																									parus	n	0,01498			
						kṣatra	n	0,06127	purodhā	f	0,01089	vyāhṛti	f	0,01634				stanayitnu	m	0,00953																																											brāhmaṇācchaṁsin	m	0,01044																									peśas	n	0,01452			
						yajñiya	adj	0,06082	nirmā	v	0,01044	prajāti	f	0,01634				pūru	m	0,00953																																											ātan	v	0,01044																									jyāyas	adj	0,01407			
						suta	m	0,06082	saṁsthā	v	0,01044	añjali	m	0,01588				vṛṣaṇvasu	adj	0,00908																																											vibhāvan	adj	0,01044																									damūnas	m	0,01316			
						arka	m	0,06036	prā	adj	0,01044	vartani	f	0,01588				purukṣu	adj	0,00908																																											anarvan	adj	0,01044																									sudās	m	0,01316			
						śarīra	n	0,05945	āhvā	v	0,00998	praśasti	f	0,01588				śmaśru	mn	0,00862																																											saṁtan	v	0,00998																									vartis	n	0,01271			
						hiraṇya	n	0,05900	prasthā	v	0,00998	vicarṣaṇi	adj	0,01543				jantu	m	0,00817																																											majman	m	0,00998																									śreyas	adj	0,01225			
						vidatha	n	0,05764	samādhā	v	0,00998	devatāti	f	0,01543																																																	kimīdin	m	0,00908																									ās	n	0,01225			
						śiva	adj	0,05719	usrā	f	0,00953	vyuṣṭi	f	0,01543																																																	somin	adj	0,00908																									rapas	n	0,01225			
						śrotra	n	0,05628	pradā	v	0,00953	prabhṛti	f	0,01543																																																	ṛkvan	adj	0,00908																									varpas	n	0,01225			
						veda	m	0,05628	vimā	v	0,00953	praṇīti	f	0,01543																																																	keśin	adj	0,00862																									daṁsas	n	0,01225			
						mitrāvaruṇa	m	0,05537	yā	adj	0,00953	ci	v	0,01543																																																	nikhan	v	0,00862																									bhās	fn	0,01180			
						ratna	mn	0,05446	kalā	f	0,00908	sapti	m	0,01498																																																	antevāsin	m	0,00817																									riśādas	adj	0,01180			
						vatsa	m	0,05446	chāyā	f	0,00908	bhūti	f	0,01498																																																	ṣoḍaśin	m	0,00817																									vyacas	n	0,01180			
						vana	n	0,05446	vapā	f	0,00908	navati	f	0,01498																																																	vanin	m	0,00817																									yos	n	0,01180			
						vaiśvānara	m	0,05446	vayā	f	0,00908	avaruddhi	f	0,01452																																																	virapśin	adj	0,00817																									apas	adj	0,01135			
						dūta	m	0,05355	dīkṣā	f	0,00908	paridhi	m	0,01407																																																	viśvakarman	m	0,00817																									vāhas	adj	0,01135			
						dīrgha	adj	0,05310	antardhā	v	0,00908	abhiśasti	f	0,01407																																																	ven	v	0,00817																									vasyas	n	0,01135			
						pṛṣṭha	n	0,05310	avadhā	v	0,00908	ṛṣṭi	f	0,01407																																																	jaṅghan	v	0,00817																									anas	n	0,01089			
						odana	mn	0,05265	āsthā	v	0,00908	iṣṭi	f	0,01407																																																	aṇiman	mf	0,00772																									saprathas	adj	0,01089			
						manuṣya	m	0,05219	udgā	v	0,00908	gṛhapati	m	0,01407																																																																												ayas	n	0,01089			
						somya	adj	0,05219	śraddhā	v	0,00908	arati	m	0,01362																																																																												dhāyas	adj	0,01089			
						ubhaya	adj	0,05129	amāvāsyā	f	0,00862	satpati	m	0,01316																																																																												jaras	f	0,01089			
						dvitīya	adj	0,05083	irā	f	0,00862	nidhi	m	0,01271																																																																												haras	n	0,01089			
						kṛṣṇa	adj	0,04992	mā	v	0,00862	anumati	f	0,01225																																																																												anuśaṁs	v	0,01089			
						nāsatya	m	0,04992	samutthā	v	0,00862	nemi	mf	0,01225																																																																												rakṣas	m	0,01089			
						aha	mn	0,04992	kāṣṭhā	f	0,00817	śruṣṭi	f	0,01225																																																																												varīyas	adj	0,01044			
						pūrvya	adj	0,04947	urvarā	f	0,00817	asthi	n	0,01225																																																																												dhanus	n	0,01044			
						amitra	mf	0,04902	jarā	f	0,00817	sarvatāti	f	0,01225																																																																												jrayas	n	0,01044			
						vṛtra	mn	0,04902	gāthā	f	0,00817	mahāvyāhṛti	f	0,01180																																																																												sumedhas	adj	0,01044			
						pāda	m	0,04720	mekhalā	f	0,00817	ṣaṣṭi	f	0,01135																																																																												vijijiñās	v	0,01044			
						daivya	adj	0,04675	viṣṭhā	v	0,00817	dundubhi	mf	0,01135																																																																												nedīyas	adj	0,00998			
						mantra	mn	0,04629	anuvākyā	f	0,00772	surabhi	adj	0,01135																																																																												pāthas	n	0,00998			
						upastha	mn	0,04584	kaśā	f	0,00772	pramati	f	0,01135																																																																												vasyas	adj	0,00953			
						varṇa	mn	0,04584	sabhā	f	0,00772	prahi	v	0,01135																																																																												duvas	n	0,00953			
						bala	mn	0,04584	samā	f	0,00772	krimi	m	0,01135																																																																												āśās	v	0,00953			
						jyeṣṭha	adj	0,04539				saṁdhi	mf	0,01089																																																																												āgas	n	0,00908			
						vṛkṣa	m	0,04539				aśani	mf	0,01089																																																																												vakṣas	n	0,00908			
						dakṣa	m	0,04493				jāgṛvi	adj	0,01089																																																																												jighāṁs	v	0,00908			
						cakra	n	0,04493				jāmi	f	0,01089																																																																												cetas	n	0,00862			
						dyumna	n	0,04448				śacīpati	m	0,01089																																																																												chardis	n	0,00862			
						dhruva	adj	0,04312				bālāki	m	0,01089																																																																												yajīyas	adj	0,00862			
						artha	mn	0,04266				sami	v	0,01089																																																																												tapus	n	0,00862			
						nakṣatra	mn	0,04221				aṅguli	mf	0,01044																																																																												gras	v	0,00862			
						śreṣṭha	adj	0,04175				viṁśati	f	0,01044																																																																												sas	v	0,00862			
						udaka	n	0,04130				iṣṭi	f	0,01044																																																																												arepas	adj	0,00817			
						śuṣma	m	0,04130				pavi	mf	0,00998																																																																												uras	n	0,00817			
						darbha	m	0,04130				dampati	m	0,00998																																																																												ghas	v	0,00817			
						subhaga	adj	0,04085				svadhiti	mf	0,00998																																																																												atiśaṁs	v	0,00817			
						ajara	adj	0,04039				śānti	f	0,00998																																																																												bhas	v	0,00817			
						bheṣaja	n	0,04039				vṛṣākapi	m	0,00998																																																																												āvivās	v	0,00817			
						yava	mn	0,04039				śvi	v	0,00998																																																																												sacetas	adj	0,00772			
						durita	n	0,04039				arbudi	m	0,00953																																																																																	
						deva	adj	0,04039				taraṇi	adj	0,00953																																																																																	
						pātra	n	0,04039				viśvacarṣaṇi	adj	0,00953																																																																																	
						hiraṇyaya	adj	0,03994				pṛśni	adj	0,00953																																																																																	
						mānuṣa	adj	0,03949				dāti	f	0,00953																																																																																	
						māsa	mn	0,03949				añji	mfn	0,00908																																																																																	
						vipra	adj	0,03949				paṅkti	f	0,00908																																																																																	
						ākāśa	mn	0,03903				kukṣi	mf	0,00908																																																																																	
						vara	mn	0,03858				dhuni	adj	0,00908																																																																																	
						amartya	adj	0,03812				durmati	f	0,00908																																																																																	
						sapatna	m	0,03767				śakti	f	0,00908																																																																																	
						śyena	m	0,03767				gaviṣṭi	f	0,00908																																																																																	
						yājñavalkya	m	0,03722				nṛpati	m	0,00862																																																																																	
						sumna	n	0,03722				samṛddhi	f	0,00862																																																																																	
						draviṇa	n	0,03676				āpti	f	0,00862																																																																																	
						aja	m	0,03631				aśasti	f	0,00862																																																																																	
						pārthiva	adj	0,03631				amati	f	0,00817																																																																																	
						vadha	m	0,03631				arāti	m	0,00817																																																																																	
						kṣaya	m	0,03540				arci	m	0,00817																																																																																	
						aindra	adj	0,03495				aśīti	f	0,00817																																																																																	
						caturtha	adj	0,03495				jamadagni	m	0,00817																																																																																	
						toka	n	0,03449				sāsahi	adj	0,00817																																																																																	
						aruṣa	adj	0,03404				śakuni	m	0,00817																																																																																	
						gandharva	m	0,03404				anvi	v	0,00817																																																																																	
						mandra	adj	0,03359																																																																																							
						ācārya	m	0,03359																																																																																							
						sadana	n	0,03313																																																																																							
						āyatana	n	0,03313																																																																																							
						apāna	mn	0,03268																																																																																							
						suparṇa	m	0,03268																																																																																							
						śaṁsa	m	0,03268																																																																																							
						puruhūta	m	0,03268																																																																																							
						pratna	adj	0,03268																																																																																							
						atya	m	0,03222																																																																																							
						nāka	mn	0,03222																																																																																							
						viṣa	n	0,03222																																																																																							
						avara	adj	0,03177																																																																																							
						āyudha	mn	0,03177																																																																																							
						tṛtīyasavana	n	0,03177																																																																																							
						mithuna	mn	0,03177																																																																																							
						kaṇva	m	0,03132																																																																																							
						parjanya	m	0,03132																																																																																							
						varṣa	mn	0,03132																																																																																							
						annādya	n	0,03086																																																																																							
						udgītha	m	0,03086																																																																																							
						brahmavarcasa	n	0,03086																																																																																							
						kumāra	m	0,03041																																																																																							
						dhīra	adj	0,03041																																																																																							
						tura	adj	0,03041																																																																																							
						sthira	adj	0,03041																																																																																							
						maya	adj	0,03041																																																																																							
						bhara	m	0,02995																																																																																							
						gaṇa	m	0,02995																																																																																							
						keśa	m	0,02950																																																																																							
						agnihotra	n	0,02950																																																																																							
						vāra	m	0,02950																																																																																							
						yātudhāna	m	0,02950																																																																																							
						pāśa	m	0,02950																																																																																							
						gharma	m	0,02950																																																																																							
						yakṣma	m	0,02905																																																																																							
						rocana	n	0,02905																																																																																							
						anīka	mn	0,02859																																																																																							
						indriya	n	0,02859																																																																																							
						tigma	adj	0,02859																																																																																							
						vṛjana	n	0,02859																																																																																							
						dhūma	mn	0,02814																																																																																							
						vārya	n	0,02814																																																																																							
						diva	n	0,02814																																																																																							
						acyuta	adj	0,02769																																																																																							
						sadhastha	n	0,02769																																																																																							
						ukthya	adj	0,02769																																																																																							
						yajatra	adj	0,02769																																																																																							
						vasiṣṭha	m	0,02769																																																																																							
						pāra	mn	0,02769																																																																																							
						karṇa	m	0,02723																																																																																							
						tveṣa	adj	0,02723																																																																																							
						vraja	m	0,02723																																																																																							
						mṛga	m	0,02723																																																																																							
						ardha	mn	0,02678																																																																																							
						māruta	adj	0,02678																																																																																							
						saubhaga	n	0,02678																																																																																							
						prātaḥsavana	n	0,02678																																																																																							
						kośa	mn	0,02632																																																																																							
						madhyama	adj	0,02632																																																																																							
						dāsa	m	0,02632																																																																																							
						antara	adj	0,02587																																																																																							
