final_member	mw_class	mw_first_members	corpus_compounds	corpus_tokens	corpus_first_members	overlap_first	mw_only_first	corpus_only_first	corpus_status
dyotā	UTTARAPADA	1	0	0	0	0	1	0	absent
dyuman	UTTARAPADA	1	0	0	0	0	1	0	absent
dyumaṇidīpikā	UTTARAPADA	1	0	0	0	0	1	0	absent
dyumni	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
dyāvan	UTTARAPADA	1	0	0	0	0	1	0	absent
dyāvā	UTTARAPADA	1	0	0	0	0	1	0	absent
dyūtādi	UTTARAPADA	1	0	0	0	0	1	0	absent
dāgha	UTTARAPADA	1	0	0	0	0	1	0	absent
dāhaka	UTTARAPADA	1	1	1	1	0	1	1	final
dāhana	UTTARAPADA	1	1	1	1	0	1	1	final
dāhasamudbhava	UTTARAPADA	1	0	0	0	0	1	0	absent
dāhasthāna	UTTARAPADA	1	0	0	0	0	1	0	absent
dāhīya	UTTARAPADA	1	0	0	0	0	1	0	absent
dākṣa	UTTARAPADA	1	0	0	0	0	1	0	absent
dākṣinagara	UTTARAPADA	1	0	0	0	0	1	0	absent
dākṣiṇya	UTTARAPADA	1	2	1	2	0	1	2	final
dālaka	UTTARAPADA	1	0	0	0	0	1	0	absent
dāli	UTTARAPADA	1	0	0	0	0	1	0	absent
dālya	UTTARAPADA	1	0	0	0	0	1	0	absent
dālyudara	UTTARAPADA	1	0	0	0	0	1	0	absent
dāmana	UTTARAPADA	1	0	0	0	0	1	0	absent
dāminī	UTTARAPADA	1	0	0	0	0	1	0	absent
dāmnī	UTTARAPADA	1	0	0	0	0	1	0	absent
dānacyuta	UTTARAPADA	1	0	0	0	0	1	0	absent
dānaka	UTTARAPADA	1	0	0	0	0	1	0	absent
dānamāhātmya	UTTARAPADA	1	0	0	0	0	1	0	absent
dānapaddhati	UTTARAPADA	1	0	0	0	0	1	0	absent
dānaprayoga	UTTARAPADA	1	0	0	0	0	1	0	absent
dānavamardana	UTTARAPADA	1	0	0	0	0	1	0	absent
dānavarātrapūjā	UTTARAPADA	1	0	0	0	0	1	0	absent
dānavrata	UTTARAPADA	1	0	0	0	0	1	0	absent
dāni	UTTARAPADA	1	0	0	0	0	1	0	absent
dānika	UTTARAPADA	1	0	0	0	0	1	0	absent
dānin	UTTARAPADA	1	0	0	0	0	1	0	absent
dānī	UTTARAPADA	1	0	0	0	0	1	0	form_variant
dārakriyā	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
dāri	UTTARAPADA	1	0	0	0	0	1	0	absent
dāridrya	UTTARAPADA	1	1	1	1	0	1	1	final
dārika	UTTARAPADA	1	0	0	0	0	1	0	form_variant
dāruśaila	UTTARAPADA	1	0	0	0	0	1	0	absent
dārva	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
dārvya	UTTARAPADA	1	0	0	0	0	1	0	absent
dārya	UTTARAPADA	1	0	0	0	0	1	0	absent
dārā	UTTARAPADA	1	0	0	0	0	1	0	form_variant
dārī	UTTARAPADA	1	0	0	0	0	1	0	form_variant
dārḍhya	UTTARAPADA	1	9	15	7	0	1	7	final
dās	UTTARAPADA	1	0	0	0	0	1	0	absent
dāsabhūpāla	UTTARAPADA	1	0	0	0	0	1	0	absent
dāsaka	UTTARAPADA	1	0	0	0	0	1	0	absent
dāsapuruṣa	UTTARAPADA	1	0	0	0	0	1	0	absent
dāsapūruṣa	UTTARAPADA	1	0	0	0	0	1	0	absent
dāsikā	UTTARAPADA	1	0	0	0	0	1	0	absent
dāsā	UTTARAPADA	1	0	0	0	0	1	0	form_variant
dāti	UTTARAPADA	1	3	18	1	1	0	0	final
dātra	UTTARAPADA	1	1	1	1	1	0	0	final
dātṛtva	UTTARAPADA	1	0	0	0	0	1	0	absent
dāvarī	UTTARAPADA	1	0	0	0	0	1	0	absent
dāvika	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
dāvya	UTTARAPADA	1	0	0	0	0	1	0	absent
dāyam	UTTARAPADA	1	0	0	0	0	1	0	absent
dāyā	UTTARAPADA	1	0	0	0	0	1	0	form_variant
dāśa	UTTARAPADA	1	1	0	1	0	1	1	final
dāśaka	UTTARAPADA	1	0	0	0	0	1	0	absent
dāśu	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
dāśvas	UTTARAPADA	1	0	0	0	0	1	0	absent
dāśāphala	UTTARAPADA	1	0	0	0	0	1	0	absent
dāśū	UTTARAPADA	1	0	0	0	0	1	0	form_variant
dīdhitiṭippanī	UTTARAPADA	1	0	0	0	0	1	0	absent
dīdhitiṭīkā	UTTARAPADA	1	0	0	0	0	1	0	absent
dīditi	UTTARAPADA	1	2	0	1	1	0	0	final
dīkṣam	UTTARAPADA	1	0	0	0	0	1	0	absent
dīkṣaṇīyā	UTTARAPADA	1	0	0	0	0	1	0	absent
dīkṣitin	UTTARAPADA	1	0	0	0	0	1	0	absent
dīkṣitīya	UTTARAPADA	1	0	0	0	0	1	0	absent
dīkṣopasatka	UTTARAPADA	1	0	0	0	0	1	0	absent
dīkṣāpaddhati	UTTARAPADA	1	0	0	0	0	1	0	absent
dīkṣātantra	UTTARAPADA	1	0	0	0	0	1	0	absent
dīkṣātilaka	UTTARAPADA	1	0	0	0	0	1	0	absent
dīnam	UTTARAPADA	1	0	0	0	0	1	0	absent
dīnānukampaka	UTTARAPADA	1	0	0	0	0	1	0	absent
dīnāra	UTTARAPADA	1	3	2	3	0	1	3	final
dīpadānavidhi	UTTARAPADA	1	0	0	0	0	1	0	absent
dīpadānavidhāna	UTTARAPADA	1	0	0	0	0	1	0	absent
dīpakalikā	UTTARAPADA	1	0	0	0	0	1	0	absent
dīpakalpa	UTTARAPADA	1	0	0	0	0	1	0	absent
dīpakapiṅgala	UTTARAPADA	1	0	0	0	0	1	0	absent
dīpamāhātmya	UTTARAPADA	1	0	0	0	0	1	0	absent
dīpanyāya	UTTARAPADA	1	0	0	0	0	1	0	absent
dīpaprabhā	UTTARAPADA	1	0	0	0	0	1	0	absent
dīpavratamāhātmya	UTTARAPADA	1	0	0	0	0	1	0	absent
dīpavratodyāpana	UTTARAPADA	1	0	0	0	0	1	0	absent
dīpavyākaraṇa	UTTARAPADA	1	0	0	0	0	1	0	absent
dīpavyākhyāna	UTTARAPADA	1	0	0	0	0	1	0	absent
dīpikāvṛtti	UTTARAPADA	1	0	0	0	0	1	0	absent
dīptā	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
dīpya	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
dīpārthasāra	UTTARAPADA	1	0	0	0	0	1	0	absent
dīrghabāhu	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
dīrghacaturasra	UTTARAPADA	1	0	0	0	0	1	0	absent
dīrghaghoṇa	UTTARAPADA	1	0	0	0	0	1	0	absent
dīti	UTTARAPADA	1	6	0	1	1	0	0	final
dīyabhaṭṭa	UTTARAPADA	1	0	0	0	0	1	0	absent
dūlikā	UTTARAPADA	1	0	0	0	0	1	0	absent
dūrva	UTTARAPADA	1	0	0	0	0	1	0	form_variant
dūrvāmaya	UTTARAPADA	1	0	0	0	0	1	0	absent
dūrānta	UTTARAPADA	1	0	0	0	0	1	0	absent
dūsa	UTTARAPADA	1	0	0	0	0	1	0	absent
dūtaka	UTTARAPADA	1	0	0	0	0	1	0	absent
dūti	UTTARAPADA	1	0	0	0	0	1	0	absent
dūṣakatābīja	UTTARAPADA	1	0	0	0	0	1	0	absent
dūṣayitṛ	UTTARAPADA	1	2	2	2	1	0	1	final
dūṣaṇaka	UTTARAPADA	1	0	0	0	0	1	0	absent
dūṣaṇī	UTTARAPADA	1	0	0	0	0	1	0	form_variant
dūṣaṇīkhaṇḍana	UTTARAPADA	1	0	0	0	0	1	0	absent
dūṣaṇīvyākhyā	UTTARAPADA	1	0	0	0	0	1	0	absent
dūṣaṇīyamata	UTTARAPADA	1	0	0	0	0	1	0	absent
dūṣin	UTTARAPADA	1	2	2	1	1	0	0	final
dūṣiṇī	UTTARAPADA	1	0	0	0	0	1	0	absent
dūṣya	UTTARAPADA	1	6	8	6	1	0	5	final
dṛgja	UTTARAPADA	1	0	0	0	0	1	0	absent
dṛśam	UTTARAPADA	1	0	0	0	0	1	0	absent
dṛśna	UTTARAPADA	1	0	0	0	0	1	0	absent
dṛśyaprakaraṇa	UTTARAPADA	1	0	0	0	0	1	0	absent
dṛśyaviveka	UTTARAPADA	1	0	0	0	0	1	0	absent
dṛḍhanetra	UTTARAPADA	1	0	0	0	0	1	0	absent
dṛḍharūpā	UTTARAPADA	1	0	0	0	0	1	0	absent
dṛḍhavrata	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
dṛḍhavratā	UTTARAPADA	1	0	0	0	0	1	0	absent
dṛḍhi	UTTARAPADA	1	0	0	0	0	1	0	absent
dṛḍhā	UTTARAPADA	1	0	0	0	0	1	0	form_variant
dṛḍhābhedyasunilambha	UTTARAPADA	1	0	0	0	0	1	0	absent
dṛṃha	UTTARAPADA	1	0	0	0	0	1	0	absent
dṛṃhaṇa	UTTARAPADA	1	1	1	1	1	0	0	final
dṛṣad	UTTARAPADA	1	3	1	3	0	1	3	final
dṛṣṭam	UTTARAPADA	1	0	0	0	0	1	0	absent
dṛṣṭikṣepam	UTTARAPADA	1	0	0	0	0	1	0	absent
dṛṣṭin	UTTARAPADA	1	0	0	0	0	1	0	absent
dṛṣṭipāta	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
dṛṣṭisamuccayavyākhyā	UTTARAPADA	1	0	0	0	0	1	0	absent
dṛṣṭānta	UTTARAPADA	1	9	9	8	0	1	8	final
dṛṣṭāntakathā	UTTARAPADA	1	0	0	0	0	1	0	absent
dṛṣṭārtha	UTTARAPADA	1	1	1	1	0	1	1	final
edha	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
ehikā	UTTARAPADA	1	0	0	0	0	1	0	absent
ekacakṣus	UTTARAPADA	1	0	0	0	0	1	0	absent
ekacitta	UTTARAPADA	1	4	3	4	0	1	4	final
ekadeśa	UTTARAPADA	1	7	8	7	0	1	7	final
ekamukhakavaca	UTTARAPADA	1	0	0	0	0	1	0	absent
ekanātha	UTTARAPADA	1	0	0	0	0	1	0	absent
ekapāvana	UTTARAPADA	1	0	0	0	0	1	0	absent
ekarasa	UTTARAPADA	1	7	5	6	0	1	6	final
ekādaśinī	UTTARAPADA	1	0	0	0	0	1	0	absent
ekāntara	UTTARAPADA	1	2	1	2	0	1	2	final
ela	UTTARAPADA	1	0	0	0	0	1	0	form_variant
elā	UTTARAPADA	1	19	16	17	0	1	17	final
enasya	UTTARAPADA	1	0	0	0	0	1	0	absent
eta	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
etikā	UTTARAPADA	1	0	0	0	0	1	0	absent
etṛ	UTTARAPADA	1	0	0	0	0	1	0	absent
evopaniṣad	UTTARAPADA	1	0	0	0	0	1	0	absent
eṇī	UTTARAPADA	1	0	0	0	0	1	0	form_variant
eṣa	UTTARAPADA	1	2	2	2	0	1	2	final
eṣaṇa	UTTARAPADA	1	2	1	2	0	1	2	final
eṣaṇīya	UTTARAPADA	1	0	0	0	0	1	0	absent
eṣin	UTTARAPADA	1	35	71	17	0	1	17	final
eṣita	UTTARAPADA	1	0	0	0	0	1	0	absent
gabhogya	UTTARAPADA	1	0	0	0	0	1	0	absent
gadgadam	UTTARAPADA	1	0	0	0	0	1	0	absent
gadgadapadam	UTTARAPADA	1	0	0	0	0	1	0	absent
gadgadā	UTTARAPADA	1	0	0	0	0	1	0	form_variant
gadin	UTTARAPADA	1	3	2	3	1	0	2	final
gadita	UTTARAPADA	1	3	3	3	0	1	3	final
gadyanirūpaṇa	UTTARAPADA	1	0	0	0	0	1	0	absent
gadā	UTTARAPADA	1	19	20	10	0	1	10	final
gadādharī	UTTARAPADA	1	0	0	0	0	1	0	absent
gaganacandrikā	UTTARAPADA	1	0	0	0	0	1	0	absent
gahanābhyudgatarāja	UTTARAPADA	1	0	0	0	0	1	0	absent
gahvara	UTTARAPADA	1	3	6	2	0	1	2	final
gairikadhātu	UTTARAPADA	1	0	0	0	0	1	0	absent
gajakesarin	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
gajavilasita	UTTARAPADA	1	0	0	0	0	1	0	absent
gajinī	UTTARAPADA	1	0	0	0	0	1	0	absent
gajārohaprakāra	UTTARAPADA	1	0	0	0	0	1	0	absent
gajāṅkuśa	UTTARAPADA	1	0	0	0	0	1	0	absent
gaka	UTTARAPADA	1	0	0	0	0	1	0	absent
galagata	UTTARAPADA	1	0	0	0	0	1	0	absent
galapraśoṣa	UTTARAPADA	1	0	0	0	0	1	0	absent
galbhya	UTTARAPADA	1	0	0	0	0	1	0	absent
galbhī	UTTARAPADA	1	0	0	0	0	1	0	absent
gallikā	UTTARAPADA	1	0	0	0	0	1	0	absent
galvarkamaya	UTTARAPADA	1	0	0	0	0	1	0	absent
galya	UTTARAPADA	1	0	0	0	0	1	0	absent
galā	UTTARAPADA	1	0	0	0	0	1	0	form_variant
gamam	UTTARAPADA	1	0	0	0	0	1	0	absent
gamanavidhi	UTTARAPADA	1	0	0	0	0	1	0	absent
gamanī	UTTARAPADA	1	0	0	0	0	1	0	form_variant
gambhīram	UTTARAPADA	1	0	0	0	0	1	0	absent
gambu	UTTARAPADA	1	0	0	0	0	1	0	absent
gamin	UTTARAPADA	1	1	1	1	0	1	1	final
gamūlaka	UTTARAPADA	1	0	0	0	0	1	0	absent
gandhanibandhakṛt	UTTARAPADA	1	0	0	0	0	1	0	absent
gandhanibhā	UTTARAPADA	1	0	0	0	0	1	0	absent
gandhapati	UTTARAPADA	1	0	0	0	0	1	0	absent
gandharasa	UTTARAPADA	1	0	0	0	0	1	0	absent
gandhavat	UTTARAPADA	1	6	5	5	1	0	4	final
gandhebha	UTTARAPADA	1	0	0	0	0	1	0	absent
gandhiharidrā	UTTARAPADA	1	0	0	0	0	1	0	absent
gandhita	UTTARAPADA	1	0	0	0	0	1	0	absent
gandhākṛti	UTTARAPADA	1	0	0	0	0	1	0	absent
gandhālu	UTTARAPADA	1	0	0	0	0	1	0	absent
gandhāra	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
gandhāḍhya	UTTARAPADA	1	0	0	0	0	1	0	absent
gandhī	UTTARAPADA	1	0	0	0	0	1	0	form_variant
gandika	UTTARAPADA	1	0	0	0	0	1	0	absent
ganman	UTTARAPADA	1	0	0	0	0	1	0	absent
gantavya	UTTARAPADA	1	0	0	0	0	1	0	absent
gantva	UTTARAPADA	1	0	0	0	0	1	0	absent
garas	UTTARAPADA	1	0	0	0	0	1	0	absent
garbhadhāraṇavidhi	UTTARAPADA	1	0	0	0	0	1	0	absent
garbhagṛha	UTTARAPADA	1	4	3	4	0	1	4	final
garbhakathā	UTTARAPADA	1	0	0	0	0	1	0	absent
garbhamaya	UTTARAPADA	1	0	0	0	0	1	0	absent
garbhavatī	UTTARAPADA	1	0	0	0	0	1	0	absent
garbhi	UTTARAPADA	1	0	0	0	0	1	0	absent
garbhita	UTTARAPADA	1	8	10	6	0	1	6	final
garbhitaśāstra	UTTARAPADA	1	0	0	0	0	1	0	absent
garbhya	UTTARAPADA	1	0	0	0	0	1	0	absent
garbhābha	UTTARAPADA	1	0	0	0	0	1	0	absent
garbhāhvā	UTTARAPADA	1	0	0	0	0	1	0	absent
gardabhi	UTTARAPADA	1	0	0	0	0	1	0	absent
gargarī	UTTARAPADA	1	0	0	0	0	1	0	absent
garha	UTTARAPADA	1	0	0	0	0	1	0	absent
garhaṇa	UTTARAPADA	1	0	0	0	0	1	0	absent
garhaṇīya	UTTARAPADA	1	0	0	0	0	1	0	absent
garhyavāc	UTTARAPADA	1	0	0	0	0	1	0	absent
garhā	UTTARAPADA	1	0	0	0	0	1	0	form_variant
garjanā	UTTARAPADA	1	0	0	0	0	1	0	form_variant
garjitaghoṣasvararāja	UTTARAPADA	1	0	0	0	0	1	0	absent
garjitaghoṣatā	UTTARAPADA	1	0	0	0	0	1	0	absent
gartā	UTTARAPADA	1	4	2	4	0	1	4	final
gartāśrayāpcara	UTTARAPADA	1	0	0	0	0	1	0	absent
garut	UTTARAPADA	1	1	1	1	0	1	1	final
garuta	UTTARAPADA	1	0	0	0	0	1	0	absent
garuḍa	UTTARAPADA	1	8	8	8	0	1	8	final
garuḍāhvaya	UTTARAPADA	1	0	0	0	0	1	0	absent
garuḍī	UTTARAPADA	1	1	1	1	0	1	1	final
garā	UTTARAPADA	1	0	0	0	0	1	0	form_variant
gatavastiguhyatā	UTTARAPADA	1	0	0	0	0	1	0	absent
gatidīpikā	UTTARAPADA	1	0	0	0	0	1	0	absent
gatisamatikrānta	UTTARAPADA	1	0	0	0	0	1	0	absent
gatitva	UTTARAPADA	1	0	0	0	0	1	0	absent
gatvan	UTTARAPADA	1	0	0	0	0	1	0	absent
gatya	UTTARAPADA	1	0	0	0	0	1	0	absent
gatyanta	UTTARAPADA	1	0	0	0	0	1	0	absent
gatādhyāya	UTTARAPADA	1	0	0	0	0	1	0	absent
gaucya	UTTARAPADA	1	0	0	0	0	1	0	absent
gauravam	UTTARAPADA	1	0	0	0	0	1	0	absent
gauravavicāra	UTTARAPADA	1	0	0	0	0	1	0	absent
gauryaṣṭaka	UTTARAPADA	1	0	0	0	0	1	0	absent
gaurīpūjāvidhi	UTTARAPADA	1	0	0	0	0	1	0	absent
gaurītīrtha	UTTARAPADA	1	0	0	0	0	1	0	absent
gaurīvita	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
gaurīvratakathā	UTTARAPADA	1	0	0	0	0	1	0	absent
gaurīvratavidhi	UTTARAPADA	1	0	0	0	0	1	0	absent
gaurīvratodyāpana	UTTARAPADA	1	0	0	0	0	1	0	absent
gaurīvratodyāpanavidhi	UTTARAPADA	1	0	0	0	0	1	0	absent
gaurīśa	UTTARAPADA	1	0	0	0	0	1	0	absent
gauḍabrāhmaṇajāti	UTTARAPADA	1	0	0	0	0	1	0	absent
gavedhukā	UTTARAPADA	1	0	0	0	0	1	0	absent
gaveṣa	UTTARAPADA	1	0	0	0	0	1	0	absent
gavi	UTTARAPADA	1	0	0	0	0	1	0	absent
gavākṣaka	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
gavāśva	UTTARAPADA	1	3	4	1	0	1	1	final
gavīya	UTTARAPADA	1	0	0	0	0	1	0	absent
gañji	UTTARAPADA	1	0	0	0	0	1	0	absent
gañjin	UTTARAPADA	1	0	0	0	0	1	0	absent
gaḍaka	UTTARAPADA	1	0	0	0	0	1	0	absent
gaḍula	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṅg'oka	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṅgaka	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṅgātīrtha	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇ	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇagin	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇakin	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇanālekhya	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇanāman	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇapatidhyāna	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇapatilakṣaṇa	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇapatipūjā	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇapatitattvaratna	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇapativijaya	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇapativrata	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇayoga	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇika	UTTARAPADA	1	0	0	0	0	1	0	form_variant
gaṇitadvādaśahorāprakāśa	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇitapaddhati	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇitavidhi	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇitaṭīkā	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇoddeśa	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇī	UTTARAPADA	1	0	0	0	0	1	0	form_variant
gaṇīputra	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇḍakaraṭa	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇḍalekha	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇḍaphalaka	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇḍira	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇḍu	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇḍī	UTTARAPADA	1	0	0	0	0	1	0	form_variant
gaṇḍīra	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
gaṇṭa	UTTARAPADA	1	0	0	0	0	1	0	absent
gaṇṭha	UTTARAPADA	1	0	0	0	0	1	0	absent
gdhi	UTTARAPADA	1	0	0	0	0	1	0	absent
gehavāsa	UTTARAPADA	1	0	0	0	0	1	0	absent
gevṛdh	UTTARAPADA	1	0	0	0	0	1	0	absent
geṣṇā	UTTARAPADA	1	0	0	0	0	1	0	absent
ghanasāriṇī	UTTARAPADA	1	0	0	0	0	1	0	absent
ghanā	UTTARAPADA	1	0	0	0	0	1	0	form_variant
ghanācārya	UTTARAPADA	1	0	0	0	0	1	0	absent
ghara	UTTARAPADA	1	0	0	0	0	1	0	absent
gharaka	UTTARAPADA	1	0	0	0	0	1	0	absent
gharaṭṭikā	UTTARAPADA	1	0	0	0	0	1	0	absent
ghargharī	UTTARAPADA	1	0	0	0	0	1	0	form_variant
gharikāgṛhaka	UTTARAPADA	1	0	0	0	0	1	0	absent
gharmasad	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
gharṣaṇa	UTTARAPADA	1	2	2	2	0	1	2	final
gharṣin	UTTARAPADA	1	0	0	0	0	1	0	absent
ghasa	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
ghasmara	UTTARAPADA	1	3	4	3	0	1	3	final
ghastavat	UTTARAPADA	1	0	0	0	0	1	0	absent
ghatanopakaraṇa	UTTARAPADA	1	0	0	0	0	1	0	absent
ghaṇḍā	UTTARAPADA	1	0	0	0	0	1	0	absent
ghaṇṭuka	UTTARAPADA	1	0	0	0	0	1	0	absent
ghaṇṭādhara	UTTARAPADA	1	0	0	0	0	1	0	absent
ghaṇṭākṛtanyāyaratnaprakaraṇa	UTTARAPADA	1	0	0	0	0	1	0	absent
ghaṭakarpara	UTTARAPADA	1	0	0	0	0	1	0	absent
ghaṭamudgara	UTTARAPADA	1	0	0	0	0	1	0	absent
ghaṭanā	UTTARAPADA	1	0	0	0	0	1	0	form_variant
ghaṭi	UTTARAPADA	1	0	0	0	0	1	0	absent
ghaṭitalakṣaṇa	UTTARAPADA	1	0	0	0	0	1	0	absent
ghaṭākhyāyikā	UTTARAPADA	1	0	0	0	0	1	0	absent
ghaṭīyantracakra	UTTARAPADA	1	0	0	0	0	1	0	absent
ghaṭīyā	UTTARAPADA	1	0	0	0	0	1	0	absent
ghaṭṭaka	UTTARAPADA	1	0	0	0	0	1	0	absent
ghaṭṭita	UTTARAPADA	1	0	0	0	0	1	0	absent
ghnagajadānavidhi	UTTARAPADA	1	0	0	0	0	1	0	absent
ghnaka	UTTARAPADA	1	0	0	0	0	1	0	absent
ghnaratnadānavidhi	UTTARAPADA	1	0	0	0	0	1	0	absent
ghnastha	UTTARAPADA	1	0	0	0	0	1	0	absent
ghnat	UTTARAPADA	1	0	0	0	0	1	0	absent
ghnikā	UTTARAPADA	1	0	0	0	0	1	0	absent
ghnin	UTTARAPADA	1	0	0	0	0	1	0	absent
ghnu	UTTARAPADA	1	0	0	0	0	1	0	absent
ghoma	UTTARAPADA	1	0	0	0	0	1	0	absent
ghoranirghoṣa	UTTARAPADA	1	0	0	0	0	1	0	absent
ghorarūpa	UTTARAPADA	1	0	0	0	0	1	0	absent
ghoravimūḍhatva	UTTARAPADA	1	0	0	0	0	1	0	absent
ghoṇatīrtha	UTTARAPADA	1	0	0	0	0	1	0	absent
ghoṣasvāmin	UTTARAPADA	1	0	0	0	0	1	0	absent
ghoṣaṇa	UTTARAPADA	1	1	1	1	0	1	1	final
ghoṣita	UTTARAPADA	1	0	0	0	0	1	0	absent
ghoṣātakī	UTTARAPADA	1	0	0	0	0	1	0	absent
ghu	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
ghuṣa	UTTARAPADA	1	0	0	0	0	1	0	absent
ghuṣya	UTTARAPADA	1	0	0	0	0	1	0	absent
ghuṣṭa	UTTARAPADA	1	0	0	0	0	1	0	absent
ghuṣṭakara	UTTARAPADA	1	0	0	0	0	1	0	absent
ghāma	UTTARAPADA	1	0	0	0	0	1	0	absent
ghāra	UTTARAPADA	1	0	0	0	0	1	0	absent
ghātadāyin	UTTARAPADA	1	0	0	0	0	1	0	absent
ghātakara	UTTARAPADA	1	0	0	0	0	1	0	absent
ghātayatna	UTTARAPADA	1	0	0	0	0	1	0	absent
ghātuka	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
ghātyā	UTTARAPADA	1	0	0	0	0	1	0	absent
ghāṭaka	UTTARAPADA	1	0	0	0	0	1	0	absent
ghāṭika	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
ghūrṇā	UTTARAPADA	1	0	0	0	0	1	0	form_variant
ghṛṇya	UTTARAPADA	1	0	0	0	0	1	0	absent
giripurāṇa	UTTARAPADA	1	0	0	0	0	1	0	absent
girivihāra	UTTARAPADA	1	0	0	0	0	1	0	absent
girivāsin	UTTARAPADA	1	0	0	0	0	1	0	absent
girī	UTTARAPADA	1	0	0	0	0	1	0	form_variant
girīya	UTTARAPADA	1	0	0	0	0	1	0	absent
girīśa	UTTARAPADA	1	3	8	3	0	1	3	final
girīśāṣṭottaraśata	UTTARAPADA	1	0	0	0	0	1	0	absent
gla	UTTARAPADA	1	0	0	0	0	1	0	form_variant
gluntha	UTTARAPADA	1	0	0	0	0	1	0	absent
gman	UTTARAPADA	1	0	0	0	0	1	0	absent
gmya	UTTARAPADA	1	0	0	0	0	1	0	absent
gocaram	UTTARAPADA	1	0	0	0	0	1	0	absent
godhāṅgulitravat	UTTARAPADA	1	0	0	0	0	1	0	absent
godhūmaja	UTTARAPADA	1	0	0	0	0	1	0	absent
godhūmavat	UTTARAPADA	1	0	0	0	0	1	0	absent
godoha	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
goduh	UTTARAPADA	1	0	0	0	0	1	0	absent
goduha	UTTARAPADA	1	0	0	0	0	1	0	absent
godāvara	UTTARAPADA	1	0	0	0	0	1	0	absent
goha	UTTARAPADA	1	2	1	1	0	1	1	final
gohana	UTTARAPADA	1	1	1	1	1	0	0	final
gokarṇī	UTTARAPADA	1	0	0	0	0	1	0	absent
gokṣuraka	UTTARAPADA	1	4	4	4	0	1	4	final
golakhaṇḍana	UTTARAPADA	1	0	0	0	0	1	0	absent
golastha	UTTARAPADA	1	0	0	0	0	1	0	absent
golikā	UTTARAPADA	1	0	0	0	0	1	0	absent
golī	UTTARAPADA	1	0	0	0	0	1	0	form_variant
gonasa	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
gopadatta	UTTARAPADA	1	0	0	0	0	1	0	absent
gopavadhū	UTTARAPADA	1	0	0	0	0	1	0	absent
gopavarman	UTTARAPADA	1	0	0	0	0	1	0	absent
gopi	UTTARAPADA	1	0	0	0	0	1	0	absent
gopikā	UTTARAPADA	1	0	0	0	0	1	0	nonfinal_only
gopitā	UTTARAPADA	1	0	0	0	0	1	0	absent
goptrī	UTTARAPADA	1	0	0	0	0	1	0	absent
gopucchika	UTTARAPADA	1	0	0	0	0	1	0	absent
