parent	n_children	children
aṅgiras	4	aṅgiraḥ-smṛti|aṅgirastama|aṅgirasvat|aṅgiro-dhāman
aṅgula	3	aṅgulapramāṇa|aṅgulamāna|aṅgularāji
aṅguli	26	aṅgulikā|aṅgulija|aṅgulitoraṇa|aṅgulitra|aṅgulitrāṇa|aṅgulipraṇejana|aṅguliprāśana|aṅgulimātra|aṅgulimukha|aṅgulī-mukha|aṅgulimudrā|aṅgulimudrikā|aṅgulimoṭana|aṅguliveṣṭaka|aṅguliveṣṭana|aṅguliṣaṅga|aṅgulisaṁdeśa|aṅgulisphoṭana|aṅgulī-granthi|aṅgulī-pañcaka|aṅgulī-parvan|aṅgulī-bhaṅga|aṅgulī-veṣṭa|aṅgulī-sambhūta|aṅguly-agra|aṅguly-ādi
aṅguṣṭha	3	aṅguṣṭhamātra|aṅguṣṭhamātraka|aṅguṣṭhavibhedaka
aṅgha	1	aṅghāri
aṅghri	11	aṅghrināmaka|aṅghrināman|aṅghripa|aṅghriparṇī|aṅghrivalli|aṅghrivallikā|aṅghripāta|aṅghripāna|aṅghrisaṁdhi|aṅghriskandha|aṅghry-avanejana
ac	1	aj-anta
acakṣus	2	a-cakṣur-viṣaya|acakṣuṣ-ṭva
acaṇḍa	1	acaṇḍamarīci
acala	9	acalakīlā|acalatviṣ|acaladhṛti|acalapura|acalabhrātṛ|acalamati|acalaśreṣṭha|acalādhipa|acalā-saptamī
acākrika	1	acākrikatā
acitta	2	acittapājas|acittamanas
acintya	2	acintyakarman|acintyarūpa
acira	9	aciradyuti|aciraprabhā|aciraprasūtā|acirabhās|aciramṛta|acirarocis|acirāṁśu|acirābhā|a-ciroḍhā
aceṣṭa	1	aceṣṭatā
accha	1	acchoda
accha	1	acchabhalla
acchidra	4	acchidrakāṇḍa|a-cchidroktha|acchidroti|acchidrodhnī
acchinna	2	acchinnapattra|acchinnaparṇa
acyuta	15	acyutakṣit|acyutacakravartin|acyutacyut|acyutaja|acyutajallakin|acyutadanta|acyutanta|acyutapājas|acyutamanas|acyutamūrti|acyutaruṣ|acyutavāsa|acyutasthala|acyutāgraja|acyutopādhyāya
