grammar_id	nongrammar_locus	link_type	source_dataset	date
id_gra:8365	vedaweb:67615e6bb20f4c1a9fb8a040:1.4.8	translation-witness	metrical_data_2024	2026-07-11
id_gra:7877	vedaweb:67615e6bb20f4c1a9fb8a040:1.4.8	translation-witness	metrical_data_2024	2026-07-11
id_gra:1701	vedaweb:67615e6bb20f4c1a9fb8a040:1.12.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:6691	vedaweb:67615e6bb20f4c1a9fb8a040:1.18.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:5054	vedaweb:67615e6bb20f4c1a9fb8a040:1.31.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:4892	vedaweb:67615e6bb20f4c1a9fb8a040:1.8.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:8419	vedaweb:67615e6bb20f4c1a9fb8a040:1.9.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:10533	vedaweb:67615e6bb20f4c1a9fb8a040:1.37.12	translation-witness	metrical_data_2024	2026-07-11
id_gra:9484	vedaweb:67615e6bb20f4c1a9fb8a040:1.22.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:6401	vedaweb:67615e6bb20f4c1a9fb8a040:1.31.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:4845	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.7	translation-witness	metrical_data_2024	2026-07-11
id_gra:2729	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.8	translation-witness	metrical_data_2024	2026-07-11
id_gra:8335	vedaweb:67615e6bb20f4c1a9fb8a040:1.5.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:8710	vedaweb:67615e6bb20f4c1a9fb8a040:1.8.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:160	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:8890	vedaweb:67615e6bb20f4c1a9fb8a040:1.8.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:2315	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:286	vedaweb:67615e6bb20f4c1a9fb8a040:1.24.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:287	vedaweb:67615e6bb20f4c1a9fb8a040:1.24.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:3500	vedaweb:67615e6bb20f4c1a9fb8a040:1.8.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:5905	vedaweb:67615e6bb20f4c1a9fb8a040:1.24.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:2340	vedaweb:67615e6bb20f4c1a9fb8a040:1.7.8	translation-witness	metrical_data_2024	2026-07-11
id_gra:10609	vedaweb:67615e6bb20f4c1a9fb8a040:1.12.10	translation-witness	metrical_data_2024	2026-07-11
id_gra:9525	vedaweb:67615e6bb20f4c1a9fb8a040:1.16.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:9251	vedaweb:67615e6bb20f4c1a9fb8a040:1.5.9	translation-witness	metrical_data_2024	2026-07-11
id_gra:9133	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.9	translation-witness	metrical_data_2024	2026-07-11
id_gra:2025	vedaweb:67615e6bb20f4c1a9fb8a040:1.8.7	translation-witness	metrical_data_2024	2026-07-11
id_gra:4486	vedaweb:67615e6bb20f4c1a9fb8a040:1.13.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:10644	vedaweb:67615e6bb20f4c1a9fb8a040:1.18.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:8660	vedaweb:67615e6bb20f4c1a9fb8a040:1.5.7	translation-witness	metrical_data_2024	2026-07-11
id_gra:3925	vedaweb:67615e6bb20f4c1a9fb8a040:1.13.9	translation-witness	metrical_data_2024	2026-07-11
