aṁa, aṁ a
akṣamālāṅkuśaṁ, akṣamālā aṅkuśa
akṣamālāparikṣiptaṁ, akṣa mālā parikṣip
akṣamālopavītaṁ, akṣamālā upavīta
akṣamaivopari, akṣama eva upari
akṣayatejaḥsvarūpaṁ, akṣaya tejas svarūpa
akṣayato, a kṣaya
akṣayatvaṁ, akṣaya tva
akṣayatvāc, akṣaya tva
akṣayatvāt, akṣaya tva
akṣayanidhiṁ, akṣaya nidhi
akṣayapāramiteyaṁ, akṣaya pāramitā idam
akṣayapuṇyam, akṣaya puṇya
akṣayaprabhavo, akṣaya prabhava
akṣayaphalāṁ, akṣaya phala
akṣayalokān, akṣaya loka
akṣayavīryaśauryasaṁpatparākramaguṇaḥ, akṣaya vīrya śaurya sampad parākrama guṇa
akṣayaśca, akṣaya ca
akṣayaścāprameyaśca, akṣaya aprameya aprameya ca
akṣayaścāvyayaścaiva, akṣaya avyaya avyaya ca eva
akṣayastava, akṣaya tvad
akṣayāṁllabhate, akṣaya labh
akṣayādivacanavirodhād, akṣaya ādi vacana virodha
akṣayānprāpnuyāllokānkulaṁ, akṣaya loka kula prāp
akṣayānsāyakāṁścaiva, akṣaya sāyaka ca eva
akṣayāyāmṛtāyaiva, akṣaya amṛta eva
akṣayāyāvyayāyaiva, akṣaya avyaya eva
akṣayāllabhate, akṣaya labh
akṣayāviṣudhī, akṣaya iṣudhi
akṣayāvyayam, akṣaya avyaya
akṣayāstasya, akṣaya tad
akṣayāhaṁ, akṣaya mad
akṣayitvaṁ, akṣayin tva
akṣayyakaraṇo, akṣayya karaṇa
akṣayyatāṁ, akṣayya tā
akṣayyatām, akṣayya tā
akṣayyabhug, akṣayya bhuj
akṣayyamamukasyeti, akṣayya amuka iti
akṣayyarūpeyaṁ, akṣayya rūpa idam
akṣayyaśarasaṁyukto, akṣayya śara saṁyuj
akṣayyaścāvyayaścaiva, akṣayya avyaya avyaya ca eva
akṣayyasthāne, akṣayya sthāna
akṣayyāntarbhavananidhayaḥ, akṣayya antarbhavana nidhi
akṣayyāviṣudhī, akṣayya iṣudhi
akṣayyodakaṁ, akṣayya udaka
akṣayyodakam, akṣayya udaka
akṣarakoṣṭhādisaṁsparśanāt, akṣara koṣṭha ādi saṁsparśana
akṣarakṣarayor, akṣara kṣara
akṣarakṣarasaṅgo, akṣara kṣara saṅga
akṣarajuṣām, akṣara juṣ
akṣaratvaṁ, akṣara tva
akṣaratvācca, akṣara tva ca
akṣaradvayam, akṣara dvaya
akṣarapaṅktiṁ, akṣara paṅkti
akṣarapaṅktyāṁ, akṣara paṅkti
akṣarapadapaṅktyāṁ, akṣara pada paṅkti
akṣarapadavyañjanam, akṣara pada vyañjana
akṣarapadavyañjanāny, akṣara pada vyañjana
akṣaraparyantam, akṣara paryanta
akṣaraprāptir, akṣara prāpti
akṣarabhājaḥ, akṣara bhāj
akṣaramuṣṭikākathanaṁ, akṣaramuṣṭikā kathana
akṣarasaṁmānaṁ, akṣara sammāna
akṣarasyāpacityai, akṣara apaciti
akṣarāṇāmakāro, akṣara akāra
akṣarārthastu, akṣara artha tu
akṣareṇākṣareṇa, akṣara akṣara
akṣareṇākṣareṇaiva, akṣara akṣara eva
akṣareṇāntataḥ, akṣara antatas
akṣareṇaiva, akṣara eva
akṣareti, akṣarā iti
akṣareva, akṣara iva
akṣaraikaṁ, akṣara eka
akṣarairlikhitaṁ, akṣara likh
akṣaliṅgātigo, akṣa liṅga atiga
akṣavardhraśalākādyair, akṣa vardhra śalākā ādya
akṣavṛttam, akṣa vṛt
akṣavyasanajā, akṣa vyasana ja
akṣaśalākāsaṅkhyāḥ, akṣa śalākā saṁkhyā
akṣaśālāṁ, akṣa śālā
akṣaśālām, akṣa śālā
akṣaśca, akṣa ca
akṣasamāḥ, akṣa sama
akṣasamān, akṣa sama
akṣasamair, akṣa sama
akṣasavyapekṣaṁ, akṣa savyapekṣa
akṣasūtrakaraṁ, akṣasūtra kara
akṣasūtrakarāya, akṣasūtra kara
akṣasūtrakaro, akṣa sūtra kara
akṣasūtrodyatakaraṁ, akṣa sūtra kara udyam
akṣasūtrodyatakaro, akṣa sūtra kara udyam
akṣasūtraiśca, akṣa sūtra ca
akṣasyāham, akṣa mad
akṣasyopari, akṣa upari
akṣahṛdayaṁ, akṣa hṛdaya
akṣāṁśca, akṣa ca
akṣāgrakīlake, akṣāgra kīlaka
akṣāṅgārair, akṣa aṅgāra
akṣāṅgārairdhamet, akṣa aṅgāra dham
akṣāṅgārairdhametkiṭṭaṁ, akṣa aṅgāra kiṭṭa dham
akṣādisaptavyasanaṁ, akṣa ādi saptan vyasana
akṣānapekṣayaivāntaścicchaktyā, akṣa an apekṣā eva antar cit śakti
akṣāntirīrṣyāsūyā, akṣānti īrṣyā asūyā
akṣāntisārasarvasvaṁ, akṣānti sāra sarvasva
akṣānna, akṣa na
akṣābhayārasaṁ, akṣa abhayā rasa
akṣāralavaṇaṁ, a kṣāra lavaṇa
akṣāralavaṇaṁ, akṣāra lavaṇa
akṣāralavaṇāḥ, akṣāra lavaṇa
akṣāralavaṇānnāḥ, akṣāra lavaṇa anna
akṣāralavaṇāśī, a kṣāra lavaṇa āśin
akṣārālavaṇāśināv, kṣāra kṣāra a lavaṇa āśin
akṣārālavaṇāśinau, akṣāra alavaṇa āśin
akṣārālavaṇāśinau, kṣāra kṣāra a lavaṇa āśin
akṣāṣṭāpadaśārīṇām, akṣa aṣṭāpada śārī
akṣāstathā, akṣa tathā
akṣāhvaṁ, akṣa āhvā
akṣikanīnike, akṣi kanīnikā
akṣikarṇacatuṣkaṁ, akṣi karṇa catuṣka
akṣikopasamutthitaṁ, akṣi kopa samutthā
akṣitarpaṇam, akṣi tarpaṇa
akṣitarpaṇena, akṣi tarpaṇa
akṣitās, a kṣi
akṣitotayo, akṣita ūti
akṣidantanāsāpāṅgaśrotranābhijaṭharasevanīnitambapārśvakukṣivakṣaḥkakṣāstanasaṁdhibhāgagatāḥ, akṣi danta nāsā apāṅga śrotra nābhi jaṭhara sevanī nitamba pārśva kukṣi vakṣas kakṣa stana saṁdhi bhāga gam
akṣidvayasarasiruhaṁ, akṣi dvaya sarasiruha
akṣināsāsyaṁ, akṣi nāsā āsya
akṣinimeṣāṇi, akṣi nimeṣa
akṣipakṣmacatuṣkaṁ, akṣi pakṣman catuṣka
akṣipakṣmāṇi, akṣi pakṣman
akṣipākaśca, akṣi pāka ca
akṣipākātyayam, akṣi pākātyaya
akṣipākātyayo, akṣi pākātyaya
akṣipātrakalpaṁ, akṣi pātra kalpa
akṣipātrakalpo, akṣi pātra kalpa
akṣipātre, akṣi pātra
akṣibhiśca, akṣi ca
akṣibhedaśca, akṣi bheda ca
akṣibhruvaṁ, akṣi bhrū
akṣibhruvauṣṭhāṁsahanvagrahastapādāṅgavikṣepaṇam, akṣibhruva oṣṭha aṁsa hanu agra hasta pāda aṅga vikṣepaṇa
akṣiyantaṁ, a kṣi
akṣirogacayaṁ, akṣi roga caya
akṣirogapraśamano, akṣi roga praśamana
akṣirogayuktāḥ, akṣiroga yuj
akṣirogas, akṣi roga
akṣirogāṇām, akṣi roga
akṣirogāya, akṣi roga
akṣirogāvasānācca, akṣi roga avasāna ca
akṣiroge, akṣi roga
akṣirogo, akṣi roga
akṣilakṣyaṁ, akṣi lakṣya
akṣivyudāsaśca, akṣi vyudāsa ca
akṣiṣvarbudaṁ, akṣi arbuda
akṣiśūlaṁ, akṣi śūla
akṣisūcyā, akṣi sūci
akṣisthamañjanaṁ, akṣi stha añjana
akṣisnehādi, akṣi sneha ādi
akṣīṇatoyāṁ, akṣīṇa toya
akṣīṇabalamāṁsasya, akṣīṇa bala māṁsa
akṣīṇavāsanātanturbhinno, akṣīṇa vāsanā tantu bhid
akṣīṇaśca, akṣīṇa ca
akṣīṇānyavikṣīṇānyavikṣiptāni, akṣīṇa avikṣīṇa avikṣipta
akṣīyamāṇaṁ, a kṣi
akṣīyamāṇam, a kṣi
akṣīyamāṇā, a kṣi
akṣīyamāṇām, a kṣi
akṣīvamaricagaṇḍīrakebukaviḍaṅganirguṇḍīkiṇihīśvadaṁṣṭrāvṛṣaparṇikākhuparṇikā, akṣība marica gaṇḍīra kevuka viḍaṅga nirguṇḍī kiṇihī śvadaṁṣṭrā vṛṣaparṇikā ākhuparṇikā
akṣuṇṇaṁ, a kṣud
akṣuṇṇavedhitve, akṣuṇṇa vedhin tvad
akṣudrakarmāṇaṁ, akṣudra karman
akṣudrakarmāṇam, akṣudra karman
akṣudrakarmiṇīṁ, a kṣudra karmin
akṣudrasacivaścāyaṁ, akṣudra saciva ca idam
akṣudrānupaghāti, akṣudra anupaghātin
akṣudrām, a kṣudra
akṣubdhatve, akṣubdha tva
akṣubdho, a kṣubh
akṣeṇāhanad, akṣa han
akṣeṇeva, akṣa iva
akṣetrajñā, akṣetra jña
akṣetrapatitaḥ, akṣetra pat
akṣetrapadam, akṣetra pada
akṣetravit, a kṣetra vid
akṣetravid, a kṣetra vid
akṣeṣāyugayoktrāṇi, akṣa īṣā yuga yoktra
akṣeṣvabhijñātaḥ, akṣa abhijñā
akṣeśaṁ, akṣa īśa
akṣodayacchavasā, śavas kṣoday
akṣobhātmakaṁ, akṣobha ātmaka
akṣobhyakṣobhaṇāya, akṣobhya kṣobhaṇa
akṣobhyatvaṁ, akṣobhya tva
akṣobhyabalaṁ, akṣobhya bala
akṣairgrahaṇaṁ, akṣa grahaṇa
akṣaiśca, akṣa ca
akṣaistadā, akṣa tadā
akṣauhiṇiśataṁ, akṣauhiṇī śata
akṣauhiṇīti, akṣauhiṇī iti
akṣauhiṇīpatīṁścānyānnarendrān, akṣauhiṇī pati ca anya narendra
akṣauhiṇīpatīn, akṣauhiṇī pati
akṣauhiṇīparivṛtaḥ, akṣauhiṇī parivṛ
akṣauhiṇīparivṛto, akṣauhiṇī parivṛ
akṣauhiṇīpūrṇā, akṣauhiṇī pṛ
akṣauhiṇīpramāṇaṁ, akṣauhiṇī pramāṇa
akṣauhiṇībhirdivyābhiḥ, akṣauhiṇī divya
akṣauhiṇībhistisṛbhir, akṣauhiṇī tri
akṣauhiṇīsahasrāṇi, akṣauhiṇī sahasra
akṣauhiṇīsahasraiste, akṣauhiṇī sahasra tad
akṣauhiṇyaśca, akṣauhiṇī ca
akṣauhiṇyastu, akṣauhiṇī tu
akṣauhiṇyātha, akṣauhiṇī atha
akṣauhiṇyaiva, akṣauhiṇī eva
akṣṇośca, akṣi ca
akṣyādhmātam, akṣi ādham
akṣyāmayiṇaṁ, akṣi āmayin
akṣyāmayenaivābhiṣyande, akṣi āmaya eva abhiṣyanda
akṣyāmayeṣu, akṣi āmaya
akhaṇḍatvād, akhaṇḍa tva
akhaṇḍanameva, akhaṇḍana eva
akhaṇḍabodham, akhaṇḍa bodha
akhaṇḍabrahmavratavān, akhaṇḍa brahman vratavat
akhaṇḍamaṇḍalaḥ, akhaṇḍa maṇḍala
akhaṇḍamaṇḍale, akhaṇḍa maṇḍala
akhaṇḍavikuṇṭhayogamāyāvibhūtir, akhaṇḍa vikuṇṭha yoga māyā vibhūti
akhaṇḍavrīhibhiḥ, akhaṇḍa vrīhi
akhaṇḍaśaśibimbābhaṁ, akhaṇḍa śaśin bimba ābha
akhaṇḍānandanilayam, akhaṇḍa ānanda nilaya
akhaṇḍārthaṁ, akhaṇḍa artha
akhaṇḍitaṁ, a khaṇḍay
akhaṇḍitacamatkārasāram, akhaṇḍita camatkāra sāra
akhaṇḍitacāritrā, a cāritra khaṇḍay
akhaṇḍitapratāpāste, akhaṇḍita pratāpa tad
akhaṇḍitaprasādamaṇḍitākhaṇḍala, akhaṇḍita prasāda ākhaṇḍala maṇḍay
akhaṇḍitavṛttyā, akhaṇḍita vṛtti
akhaṇḍitājñena, a ājñā khaṇḍay
akhaṇḍitotsavaṁ, akhaṇḍita utsava
akhananta, a khan
akharveṇāñjalināyasena, akharva añjali āyasa
akhalāsaṅgī, a khala āsaṅgin
akhātam, a khan
akhādann, a khād
akhinnais, a khid
akhilakaraṇanirodhastathā, akhila karaṇa nirodha tathā
akhilakulavṛddho, akhila kula vṛddha
akhilaguṇagaṇādhārām, akhila guṇa gaṇa ādhāra
akhilagopīnipītamanasaṁ, akhila gopī manas nipā
akhilajagatkāraṇabhūtaṁ, akhila jagant kāraṇa bhū
akhilajagatsārabhūtaṁ, akhila jagant sāra bhū
akhilajagatsraṣṭur, akhila jagant sraṣṭṛ
akhilajanamadhye, akhila jana madhye
akhilatantrārthasūcanād, akhila tantra artha sūcana
akhilanayanasubhago, akhila nayana subhaga
akhilabhūmaṇḍalaślāghyacedirājakule, akhila bhū maṇḍala cedi rājan kula ślāgh
akhilamiti, akhila iti
akhilamūrtir, akhila mūrti
akhilartubhiḥ, akhila ṛtu
akhilavidyālābham, akhila vidyā lābha
akhilavyādhividrāvakaṁ, akhila vyādhi vidrāvaka
akhilavyādhividhvaṁsavidhāyakatām, akhila vyādhi vidhvaṁsa vidhāyaka tā
akhilaśodhavareṇa, akhila śodha vara
akhilaśrutisāram, akhila śruti sāra
akhilaśreṣṭhaṁ, akhila śreṣṭha
akhilasakhībhiḥ, akhila sakhī
akhilasiddhagandharvamanuṣebhyo, akhila siddha gandharva manuṣa
akhilasurāsurādidurlabhaṁ, akhila sura asura ādi durlabha
akhilāṁllokān, akhila loka
akhilākṣaughaprasṛtograśikhaḥ, akhila akṣa ogha ugra śikhā prasṛ
akhilāṅgānāṁ, akhila aṅga
akhilāccittaṁ, akhila citta
akhilāmayakumbhisiṁhaṁ, akhila āmaya kumbhin siṁha
akhilārocakaghnaṁ, akhila arocaka ghna
akhilāvanibhārāvataraṇārtham, akhila avani bhāra avataraṇa artha
akhilāśca, akhila ca
akhilenādya, akhilena adya
akhilenāśu, akhilena āśu
akhileneha, akhilena iha
akhilenoktaṁ, akhilena vac
akhilenopadekṣyāmo, akhilena upadiś
akhileśaikanāthaṁ, akhila īśa eka nātha
akhedapadam, akheda pada
akhyātirūpatvaṁ, akhyāti rūpa tva
akhyātyātmanāṁśena, akhyāti ātman aṁśa
agaṇanaṁ, a gaṇana
agaṇaścaiva, agaṇa ca eva
agaṇitagaruḍo, agaṇita garuḍa
agaṇitaguṇena, agaṇita guṇa
agaṇitagurumānalajjayāsau, a guru māna lajjā adas gaṇay
agaṇitajanāpavādā, agaṇita jana apavāda
agaṇitanidāgham, agaṇita nidāgha
agaṇitabhayam, agaṇita bhaya
agaṇitamahimā, agaṇita mahiman
agaṇitamahimāyai, agaṇita mahimā
agaṇitaraudrakleśā, agaṇita raudra kleśa
agaṇitaśaraśaktighātaduḥkhā, agaṇita śara śakti ghāta duḥkha
agaṇair, a gaṇa
agaṇyamānarahasyarakṣāsamayam, agaṇyamāna rahasya rakṣā samaya
agacchaccharaṇaṁ, śaraṇa gam
agacchajjayatāṁ, gam ji
agacchajjemānaṁ, jeman gam
agacchañśaraṇaṁ, śaraṇa gam
agacchattapase, tapas gam
agacchadyatra, yatra gam
agatasya, a gam
agatijño, agati jña
agatipratimaṁ, agati pratimā
agatiriva, agati iva
agatīkagatir, agatīka gati
agatau, a gati
agatyantarām, a gati antara
agatvā, a gam
agadaṁkārakṛpayā, agadaṁkāra kṛpā
agadatantraṁ, agada tantra
agadaprayuktim, agada prayukti
agadavarā, agada vara
agadānītyanena, agada iti idam
agadānekajātīṣu, agada eka jātī
agadaiścaiva, agada ca eva
agadaistaistaiḥ, agada tad tad
agantuśca, agantṛ ca
agandham, a gandha
agandharasam, a gandha rasa
agandharasarūpastu, a gandha rasa rūpa tu
agandharvapadam, agandharva pada
agandhavacca, a gandhavat ca
aganmety, iti gam
agamaṁśca, ca gam
agamaṁścintayanto, gam cintay
agamaṁstatra, tatra gam
agamaṁstīvraṁ, tīvra gam
agamacca, ca gam
agamaccāpi, ca api gam
agamaccedaṁ, ca idam gam
agamacchakra, śakra gam
agamacchoṣaṁ, śoṣa gam
agamacchrīmān, śrīmat gam
agamajjñātvā, gam jñā
agamatparamaṁ, parama gam
agamatsāmyaṁ, sāmya gam
agamadbrahmasadanaṁ, brahmasadana gam
agamadbhavān, bhavat gam
agamadrājā, rājan gam
agamanapāramiteyaṁ, agamana pāramitā idam
agamannāśam, nāśa gam
agamanno, mad gam
agamanbrahma, brahman gam
agamanmaithilaṁ, maithila gam
agamallokastadā, loka tadā gam
agamādisaṁśrayavaśād, agama ādi saṁśraya vaśa
agambhīrāmbhasaṁ, agambhīra ambhas
agamyakalpā, agamya kalpa
agamyagamanāya, agamya gamana
agamyagamane, agamya gamana
agamyagahanasya, agamya gahana
agamyagāmī, agamya gāmin
agamyapārasya, agamya pāra
agamyamārgā, agamya mārga
agamyarūpā, agamya rūpa
agamyarūpāṁ, agamya rūpa
agamyaścakṣurādeśca, agamya cakṣus ādi ca
agamyaścaiva, agamya ca eva
agamyastrīratirvā, agamya strī rati vā
agamyāgamanaṁ, agamyā āgamana
agamyāgamanaṁ, agamyā gamana
agamyāgamanamapi, agamyā āgamana api
agamyāgamanāccaiva, agamyā gamana ca eva
agamyāgamanāt, agamyā gamana
agamyāgamane, agamyā gamana
agamyāgāminaḥ, agamyā gāmin
agamyāgāmī, agamyā gāmin
agamyāśca, agamyā ca
agamyāstvevaitāḥ, agamya tu eva etad
agarājaputryā, aga rājan putrī
agarīyān, a garīyas
agarudhūpena, agaru dhūpa
agarusāraḥ, agaru sāra
agarbhiṇīm, a garbhin
agalitanīvi, a nīvi gal
agavivareṣu, aga vivara
agaveṣayanto, a gaveṣay
agastipatratatpatrā, agasti tad tad pattra
agastipatratoyena, agasti pattra toya
agastipatraniryāsaṁ, agasti pattra niryāsa
agastipatraniryāsaiḥ, agasti pattra niryāsa
agastipuṣpatoye, agasti puṣpa toya
agastipuṣpaniryāsamarditaṁ, agasti puṣpa niryāsa marday
agastipuṣpaniryāsaiḥ, agasti puṣpa niryāsa
agastipuṣpaniryāsairmarditaḥ, agasti puṣpa niryāsa marday
agastiragnirvaḍavānalaśca, agasti agni vaḍavānala ca
agastirmitrāvaruṇau, agasti mitrāvaruṇa
agastilāṅgalībhyāṁ, agasti lāṅgalī
agastyacaritaṁ, agastya car
agastyacaritām, agastya car
agastyapattratoyena, agastya pattra toya
agastyapatratoyena, agastya pattra toya
agastyapatraniryāsamarditaṁ, agastya pattra niryāsa marday
agastyapatraniryāsaiḥ, agastya pattra niryāsa
agastyapatraniryāsairmardyaṁ, agastya pattra niryāsa mṛd
agastyapītapānīyasāgarākāram, agastya pānīya sāgara ākāra pā
agastyapuṣpatoyena, agastya puṣpa toya
agastyapuṣpaniryāsaiḥ, agastya puṣpa niryāsa
agastyaprokṣaṇāddhiṁsā, agastya prokṣaṇa hiṁsā
agastyabhavanaṁ, agastya bhavana
agastyabhrātaraṁ, agastya bhrātṛ
agastyavaṭam, agastya vaṭa
agastyavacanaṁ, agastya vacana
agastyavacanāc, agastya vacana
agastyavacanād, agastya vacana
agastyavad, agastya vat
agastyavihitaṁ, agastya vidhā
agastyaśāpābhihato, agastya śāpa abhihan
agastyaśāstāṁ, agastya śās
agastyaśāstām, agastya śās
agastyaśigrujaistoyais, agastya śigru ja toya
agastyaśigruvarṣābhūmūlapatrabhavai, agastya śigru varṣābhū mūla pattra bhava
agastyaśigruvarṣābhūmūlaistaṁ, agastya śigru varṣābhū mūla tad
agastyaśiṣyam, agastya śiṣya
agastyaśca, agastya ca
agastyaścāpi, agastya ca api
agastyasara, agastya saras
agastyasahitā, agastya sahita
agastyastvabravīt, agastya tu brū
agastyasyātitapasaḥ, agastya ati tapas
agastyasyābhicāreṇa, agastya abhicāra
agastyasyāśramaṁ, agastya āśrama
agastyasyāśramaḥ, agastya āśrama
agastyasyāśramaś, agastya āśrama
agastyasyāśramo, agastya āśrama
agastyādīnmunīnnatvā, agastya ādi muni nam
agastyādyā, agastya ādya
agastyādyāḥ, agastya ādya
agastyādhyuṣitāṁ, agastya adhivas
agastyāpatyam, agastya apatya
agastyārkādayo, agastya arka ādi
agastyārghyavrataṁ, agastyārghya vrata
agastyenāntare, agastya antara
agastyenābhyanujñātā, agastya abhyanujñā
agastyenāmbudhau, agastya ambudhi
agastyenāsuro, agastya asura
agastyeneha, agastya iha
agastyenaivam, agastya evam
agastyodayasaṁśuddhanirviṣaṁ, agastyodaya nirviṣa saṁśudh
agāgrastham, aga agra stha
agācca, ca gā
agāccaṇḍamahāseno, caṇḍamahāsena gā
agāccittena, citta gā
agācchoṣaṁ, śoṣa gā
agātāro, a gātṛ
agātmajayā, aga ātmajā
agādasurakanyā, asura kanyā gā
agāddhi, hi gā
agādvāsavadattā, vāsavadattā gā
agādvāsavadattāyāḥ, vāsavadattā gā
agādvimucya, gā vimuc
agādhajanmāmaraṇaṁ, agādha janman amaraṇa
agādhatoyāḥ, agādha toya
agādhapāraṁ, agādha pāra
agādhabuddhiṁ, agādha buddhi
agādhabuddhiḥ, agādha buddhi
agādhabuddhir, agādha buddhi
agādhabodhaṁ, agādha bodha
agādhamatalasparśe, agādha a tala sparśa
agādhasalile, agādha salila
agādhasthirajale, agādha sthira jala
agādhasyānaghā, agādha anagha
agādhāpāram, agādha apāra
agādhāmbu, agādha ambu
agāradāhino, agāra dāhin
agāradāhī, agāra dāhin
agāranagarāṇāṁ, agāra nagara
agārāṇīva, agāra iva
agārādanagārikāṁ, agāra anagārikā
agārāntāṭ, agāra anta
agārāvakāśam, agāra avakāśa
agāraikadeśe, agāra eka deśa
agāstvam, tvad gā
aguptāyāṁ, a gup
agurāvagarurlohaṁ, aguru agaru loha
agurukālaṁ, aguru kāla
agurujān, aguru ja
agurudhūpaṁ, aguru dhūpa
agurudhūpadhūpitam, aguru dhūpa dhūpay
agurupadam, aguru pada
aguruprabhavaḥ, aguru prabhava
aguruvaneṣu, aguru vana
agurusurabhidhūpāmoditaṁ, aguru surabhi dhūpa āmoday
agurūṣṇaṁ, aguru uṣṇa
aguhyaṁ, a guh
agūḍhabhāvāpi, agūḍha bhāva api
agūḍhavibhavā, agūḍha vibhava
agūḍhasadbhāvam, agūḍha sadbhāva
agūḍhahāsasphuṭadantakesaraṁ, a hāsa sphuṭa danta kesara guh
agṛbhītaśociṣaṁ, a śocis grah
agṛbhītaśociṣo, a śocis grah
agṛbhīto, a grah
agṛhastho, agṛha stha
agṛhītaviśeṣasya, agṛhīta viśeṣa
agṛhītānunayāṁ, agṛhīta anunaya
agṛhītāyudhaṁ, agṛhīta āyudha
agṛhītopādhibhedaṁ, agṛhīta upādhi bheda
agṛhītvā, a grah
agṛhṇācca, ca grah
agṛhṇāccyavanaḥ, cyavana grah
agṛhṇānmayastatra, maya tatra grah
agṛhṇānmāṁ, mad grah
agṛhyamāṇasyāpi, agṛhyamāṇa api
agṛhyānunayaṁ, agṛhya anunaya
agṛhyo, a grah
agendraṁ, aga indra
agocaracaritravicitritāya, agocara caritra vicitrita
agocareṇaiva, agocareṇa eva
agotracaraṇam, a gotra caraṇa
agotracaraṇo, a gotra caraṇa
agotrapadam, agotra pada
agotram, a gotra
agopāścāgatā, agopa ca āgam
agopitā, a gopay
agopucchasaṅkhyāparimāṇāṭ, a go puccha saṁkhyā parimāṇa
agoptāraśchaladravyā, agoptṛ chala dravya
agomī, a gomin
agohyasyātithye, agohya ātithya
agauravatayā, agaurava tā
agauravatā, agaurava tā
agauravabhedena, agaurava bheda
agnayaśca, agni ca
agnaye, samidh samidh
agnāyyaśvinī, agnāyī aśvinī
agnāvagnim, agni agni
agnāvagnir, agni agni
agnāvadhiśrayet, agni adhiśri
agnāvuragā, agni uraga
agnāvenāṁ, agni enad
agnikanyā, agni kanyā
agnikaraṇādānasampradānapratinidhānasaṁdhukṣaṇādīni, agni karaṇa ādāna sampradāna pratinidhāna saṁdhukṣaṇa ādi
agnikarma, agni karman
agnikarmajalaukākhyāv, agnikarman jalaukā ākhyā
agnikalpaṁ, agni kalpa
agnikalpaḥ, agni kalpa
agnikalpā, agni kalpa
agnikalpāṁstadā, agni kalpa tadā
