root	ppp_form	gana_class_dcs	voice_dcs	corpus_occurrences
lepay	lepita	10	Ā	55
anuśās	anuśiṣṭa	2	Ā	55
muṣ	muṣita	9	Ā	55
upahvā	upahūta	4	Ā	55
niguh	nigūḍha	1	Ā	55
vimuh	vimūḍha	4	Ā	55
vihan	vihata	2	Ā	55
bahiṣkṛ	bahiṣkṛta	8	Ā	55
andhay	andhita	0	P.	54
vah	ūḍha	2	P.	54
stambhay	stambhita	10	Ā	54
upalakṣay	upalakṣita	10	Ā	54
nigrah	nigṛhīta	9	Ā	54
pratap	pratapta	1	P.	54
vinivṛt	vinivṛtta	1	Ā	54
lup	lupta	6	Ā	53
apakram	apakrānta	6	P.	53
duh	dugdha	4	Ā	53
samāhan	samāhata	4	Ā	53
visarjay	visarjita	10	Ā	53
nisṛj	nisṛṣṭa	6	P.	53
kalkay	kalkita	0	P.	53
kamp	kampita	1	P.	52
dīkṣay	dīkṣita	10	Ā	52
abhiṣṭu	abhiṣṭuta	5	P.	52
abhisaṁtap	abhisaṃtapta	1	P.	52
mlā	mlāna	4	Ā	52
upayā	upayāta	2	P.	52
prahā	prahīṇa	3	Ā	52
samupāgam	samupāgata	1	P.	52
sampiṣ	sampiṣṭa	6	P.	52
samavasthā	samavasthita	1	Ā	52
paś	spaṣṭa	4	Ā	51
anulip	anulipta	6	Ā	51
abhidru	abhidruta	1	Ā	51
skhal	skhalita	1	Ā	51
āropay	āropita	10	Ā	51
utsad	utsanna	1	Ā	51
parigam	parigata	1	P.	51
parīkṣ	parīkṣita	1	P.	51
pratyākhyā	pratyākhyāta	2	Ā	51
praveśay	praveśita	10	Ā	51
vilī	vilīna	4	P.	51
samāruh	samārūḍha	6	Ā	51
cūrṇīkṛ	cūrṇīkṛta	8	P.	51
sākṣātkṛ	sākṣātkṛta	8	Ā	51
sad	sanna	6	P.	50
dhū	dhūta	6	Ā	50
ghātay	ghātita	10	Ā	50
kuñcay	kuñcita	10	P.	50
upadru	upadruta	1	P.	50
nirākṛ	nirākṛta	8	Ā	50
dviṣ	dviṣṭa	1	P.	49
paṭh	paṭhita	1	Ā	49
abhiśaṁs	abhiśasta	1	P.	49
