"Textname","Author","Subtit","Shorthand","Comment","Publish","Place of publication","Release year","Publishing","Range","Digitizers","LanguageID","Habil Etym TimeSlot","TextCompleted","SubjectID","secondary_literature","NrOfWords"
"""Rivelex: Rigveda-Lexikon""","""Krisch  Thomas"""," ","""Krisch 2006 [Rivelex]""",0," ","""Graz""",2006," "," "," ",0,5,0," ",1,0
"""Sūryaśataka""","""Mayūra""","""With the commentary of Tribhuvanapāla.""","""SūryaŚ""",0,"""M.P. Durgāprasāda  Kāśīnātha Pāṇḍurang Parab""","""Bombay""",1900,"""Nirnaya-Sagara Press""","""Kāvyamālā  19""","""O. Hellwig""",1,3,0,47,0,593
"""Sūryaśatakaṭīkā""","""Tribhuvanapāla"""," "," ",1," "," ",0," "," ","""O. Hellwig""",1,4,0,47,0,2322
"""Sūryasiddhānta"""," ","""An ancient system of Hindu astronomy""","""SūrSiddh""",0,"""Fitzedward Hall""","""Amsterdam""",1974,"""Philo Press"""," ","""Michio Yano""",1,3,0,24,0,2138
"""Saṅghabhedavastu"""," ","""The Gilgit Manuscript of the Saṅghabhedavastu""","""SBhedaV""",0,"""Gnoli  Raniero""","""Roma""",1977,"""Istituto italiano per il Medio ed Estremo Oriente"""," ","""oh""",1,2,0,58,0,7631
"""Sanskritischer Index der jungvedischen Namen und Sachen  Teil I""","""Mylius  Klaus"""," ","""Mylius 1976 [SansIx 1]""",0," "," ",0," "," "," ",0,5,0," ",1,0
"""Sanskritischer Index der jungvedischen Namen und Sachen  Teil II""","""Klaus Mylius"""," ","""Mylius 1977 [SansIx II]""",0," "," ",1977," "," "," ",0,5,0," ",1,0
"""Sanskṛt-English dictionary""","""Monier-Williams  Sir M."""," ","""MW""",0," ","""New Delhi""",1988,"""Munshiram Manoharlal Publishers"""," "," ",0," ",0," ",1,0
"""Sāṃkhyakārikā""","""Īśvarakṛṣṇa"""," ","""SāṃKār""",0," "," ",0," "," ","""Ferenc Ruzsa""",1,3,1,28,0,1067
"""Sāṃkhyakārikābhāṣya""","""Gauḍapāda"""," ","""SKBh""",1,"""Anne-Marie Esnoul""","""Paris""",1964," "," ","""O. Hellwig""",1,3,0,28,0,9956
"""Sāṃkhyatattvakaumudī""","""Vācaspatimiśra"""," ","""STKau""",1,"""S.A. Srinivasan""","""Hamburg""",1967," "," ","""O. Hellwig""",1,3,0,28,0,5849
"""Saṃvitsiddhi""","""Yāmuna"""," ","""SaṃSi""",0,"""Roque Mesquita""","""Wien""",1988,"""Verlag der Oesterreichischen Akademie der Wissenschaften"""," ","""Somadeva Vasudeva""",1,3,0," ",0,3398
"""Sarvāṅgasundarā""","""Aruṇadatta"""," ","""SarvSund""",1," "," ",0," "," "," ",1,4,0,33,0,9063
"""Sarvadarśanasaṃgraha""","""Mādhava""","""An epitome of the different systems of Indian philosophy""","""SDS""",0,"""I. Vidyāsāgara""","""Calcutta""",1858,"""Baptist Mission Press""","""Bibliotheca Indica  63/142""","""Oliver Hellwig""",1,4,0,25,0,1056
"""Sarvāstivāda Buddhist scholasticism""","""Charles Willemen  Bart Dessein  Collett Cox"""," "," ",0," ","""Leiden  New York  K￶ln""",1998,"""Brill""","""Handbuch der Orientalistik  2. Abteilung  11. Band"""," ",0," ",0," ",1,0
"""Sātvatatantra"""," ","""Revealed by Narāyaṇa and communicated to Nārada.""","""SātT""",0,"""A.Ś. Phadke""","""Benares""",1934,"""Chowkhamba Sanskrit Series Office"""," ","""Oliver Hellwig""",1,5,1,44,0,10046
"""Saundarānanda""","""Aśvaghoṣa"""," ","""SaundĀ""",0,"""Tripathi  Ramshankar ? acc. to website)"""," ",1999," "," ","""Sanskrit Buddhist Input Project GRETIL); proofread using the Johnston edition""",1,2,1,47,0,18988
"""Skandapurāṇa"""," "," ","""SkPur""",0," "," ",0," "," ","""R. Adriaensen  H.T. Bakker  H. Isaacson""",1,4,0,42,0,16429
"""Skandapurāṇa Revākhaṇḍa)"""," "," ","""SkPur Rkh)""",0," "," ",0," "," ","""J￼rgen Neuss""",1,5,0,42,0,114026
"""Smaradīpikā""","""Mīnanātha"""," "," ",0," "," ",0," "," ","""Oliver Hellwig""",1,4,0,55,0,921
"""Some aspects of glass manufacturing in ancient India""","""Govind  Vijay"""," "," ",0," "," ",0," "," "," ",0," ",0," ",1,0
"""Spandakārikā""","""Vasugupta""","""The Spandakarikas of Vasugupta with the Nirnaya by Ksemaraja.""","""SpandaKār""",0,"""M. K. Shastri""","""Srinagar""",1925,"""Kashmir Pratap Steam Press""","""Kashmir Series of Texts & Studies  42""","""Oliver Hellwig""",1,4,0,44,0,750
"""Spandakārikānirṇaya""","""Kṣemarāja"""," ","""SpandaKārNir""",1," "," ",0," "," "," ",1,4,0,44,0,10219
"""Sphuṭārthāvyākhyā""","""Yaśomitra"""," "," ",1," "," ",0," "," "," ",1," ",0,58,0,358
"""Studies on Indian medical history."""," "," "," ",0,"""G.J. Meulenbeld; D. Wujastyk""","""Groningen""",1987,"""Egbert Forsten""","""Groningen Oriental Studies  vol. II"""," ",0," ",0," ",1,0
"""Suśrutasaṃhitā""","""Suśruta"""," ","""Su""",0,"""V.J. Trikamji Acharya""","""Varanasi""",1980,"""Chaukhambha Orientalia"""," "," ",1,3,0,33,0,146509
"""Taittirīyasaṃhitā"""," "," ","""TS""",0,"""Weber  Albrecht""","""Leipzig""",1871,"""Brockhaus"""," ","""Makoto Fushimi""",1,1,0," ",0,1941
"""Taittirīyopaniṣad"""," "," ","""TaittUp""",0," "," ",0," "," ","""Kartik Jayaraman; corrections by Matthias Ahlborn; TITUS""",1,1,0,10,0,407
"""Tantrākhyāyikā"""," "," ","""TAkhy""",0," "," ",0," "," ","""Peter Schreiner""",1,3,1,48,0,8303
"""Tantrāloka""","""Abhinavagupta""","""The Tantraloka of Abhinavagupta With commentary of Rajanaka Jayaratha""","""TĀ""",0," "," ",0," ","""Kashmir Series of Texts and Studies  No. 23 28 30 36 35 29 41 47 59 52 57 58""","""Jun Takashima""",1,4,0,44,0,41268
"""Tantrasāra""","""Abhinavagupta"""," ","""TantraS""",0," ","""Bombay""",1918,"""Nirnaya Sagara Press""","""Kashmir Series of Texts & Studies  17""","""Oliver Hellwig""",1,4,0,44,0,14143
"""Tapas und tapasvin in den erz￤hlenden Partien des Mahābhārata""","""Shee  Monika"""," "," ",0," ","""Reinbek""",1986,"""Dr. Inge Wezler Verlag f￼r orientalistische Fachpublikationen""","""Studien zur Indologie und Iranistik  Dissertationen  Band 1"""," ",0," ",0," ",1,0
"""Tarkasaṃgraha""","""Annambhaṭṭa"""," "," ",0," "," ",0," "," ","""Takuya Ono""",1,5,1,26,0,1967
"""Tattvavaiśāradī"""," "," "," ",1," "," ",0," "," "," ",1,3,0,29,0,203
"""The Śatapatha Brāhmaṇa According to the Text of the Mādhyandina Recension""","""Julius Eggeling tr.)"""," ","""Eggeling 1894 [ŚB]""",0," "," ",1894," "," "," ",0,5,0," ",1,0
"""The āśrama system""","""Patrick Olivelle""","""The history and hermeneutics of a religious institution."""," ",0," ","""Oxford""",1993,"""Oxford University Press"""," "," ",0," ",0," ",1,0
"""The alchemical body""","""D.G. White""","""Siddha tradition in medieval India"""," ",0," ","""Chicago""",1996,"""The University of Chicago Press"""," "," ",0," ",0," ",1,0
"""The Antagaḍa-Dasāo and Aṇuttarovavāiya-Dasāo"""," ","""Translated from the Prakrit"""," ",0,"""L.D. Barnett""","""London""",1907,"""Royal Asiatic Society""","""Oriental Translation Fund  New Series  Vol. XVII"""," ",0," ",0," ",1,0
"""The Arthaśāstra""","""Kauṭilya""","""Edited  rearranged  translated and introduced by L.N. Rangarajan""","""Arthaśāstra Rangarajan)""",0," ","""New Delhi""",1992,"""Penguin Books"""," "," ",0," ",0," ",1,0
"""The Ātharvaṇa Upanishads"""," ","""With the commentary of Nārāyaṇa."""," ",0,"""R. Tarkaratna""","""Calcutta""",1872,"""Asiatic Society of Bengal""","""Bibliotheca Indica  265"""," ",0," ",0," ",1,0
"""The Atharvaveda and the Gopathabrāhmaṇa""","""Bloomfield  Maurice"""," "," ",0," ","""Strassburg""",1899,"""Verlag von Karl J. Tr￼bner"""," "," ",0," ",0," ",1,0
"""The constraints of theory in the evolution of nosological classifications""","""Meulenbeld  G.J.""","""A study on the position of blood in Indian medicin Āyurveda)"""," ",0," "," ",0," "," "," ",0," ",0," ",1,0
"""The Early Upaniṣadas""","""Olivelle  Patrick"""," "," ",0," ","""New York  Oxford""",1998,"""Oxford University Press"""," "," ",0,5,0," ",1,0
"""The ghaṭikā of the twice-born in South Indian inscriptions""","""Tieken  Herman; Sato  Katsuhiko"""," "," ",0," "," ",0," "," "," ",0," ",0," ",1,0
"""The heroic satī or the widow ascetic""","""Leslie  Julia"""," "," ",0," "," ",0," "," "," ",0," ",0," ",1,0
"""The International Plant Names Index 2004)."""," "," ","""IPNI""",0," ","""Published on the internet http://www.ipni.org""",2004," "," "," ",0," ",0," ",1,0
"""The Kauṭilīya Arthaśāstra""","""Kangle  R.P."""," ","""Kangle 1969  Arthaśāstra)""",0," "," ",1969," "," "," ",0,5,0," ",1,0
"""The Mādhavanidāna and its chief commentary""","""Meulenbeld  G.J.""","""Chapters 1-10""","""Meulenbeld 1974 [MādhNid]""",0," ","""Leiden""",1974,"""E.J. Brill"""," "," ",0,0,0," ",1,0
"""The Materia medica of the Hindus""","""Dutt  Udoy Chand""","""Compiled from Sanskrit medical works.""","""Mat. Med.""",0," ","""Calcutta""",1877," "," "," ",0," ",0," ",1,0
"""The Nighaṇṭu and the Nirukta""","""Lakshman Sarup Ed.)""","""The oldest Indian treatises on Etymology  Philology  and Semantics"""," ",0," ","""Bombay""",1927,"""University of the Panjab"""," "," ",0," ",0," ",1,0
"""The origin of the life of a human being""","""Rahul Peter Das""","""Conception and the female according to ancient Indian medical and sexological literature."""," ",0," ","""Delhi""",2003,"""Motilal Banarsidass""","""Indian Medical Tradition  6"""," ",0," ",0," ",1,0
"""The Oxford Hindi-English dictionary""","""McGregor  R. S."""," ","""Hindi McGregor)""",0," ","""Oxford""",1993,"""Oxford University Press"""," "," ",0," ",0," ",1,0
"""The presence of Śiva""","""Kramrisch  Stella"""," ","""Kramrisch 1981)""",0," ","""Princeton""",1981,"""Princeton University Press"""," "," ",0," ",0," ",1,0
"""The Rigveda. The earliest religious poetry of India""","""Jamison and Brereton"""," ","""Jamison and Brereton 2014)""",0," "," ",2014," "," "," ",0,5,0," ",1,0
"""The social and military position of the ruling caste in ancient India.""","""Hopkins  Edward W."""," "," ",0," "," ",0," "," "," ",0," ",0," ",1,0
"""The useful plants of India""","""H. Drury"""," ","""Useful plants""",0," ","""London""",1873,"""William H. Allen & Co."""," "," ",0," ",0," ",1,0
"""The Veda of the Black Yajus School""","""Keith  Arthur Berriedale"""," ","""Keith [1914  TS transl.]""",0," "," ",1914," "," "," ",0,1,0," ",1,0
"""The Vocabulary of the Rāmāyaṇa""","""Sen  Nilamadhab"""," "," ",0," "," ",1951," "," "," ",0,5,0," ",1,0
"""Toḍalatantra"""," "," ","""ToḍalT""",0," "," ",0," "," ","""Oliver Hellwig""",1,4,0,46,0,5470
"""T￶pferei und Tongeschirr im vedischen Indien""","""Rau  Wilhelm"""," ","""Rau T￶pfe)""",0," ","""Wiesbaden""",1972,"""Franz Steiner Verlag GmbH""","""Akad. der Wiss. und der Literatur  Abhandlungen der geistes- und sozialwissenschaftlichen Klasse  Jahrgang 1972  Nr. 10"""," ",0," ",0," ",1,0
"""Translation of Gītā""","""Johnston"""," "," ",0," "," ",0," "," "," ",0,0,0," ",1,0
"""Trikāṇḍaśeṣa""","""Puruṣottadeva"""," ","""TriKŚ""",0,"""P. Durgāprasāda""","""Mumbai""",1811,"""Nirṇayasāgara"""," ","""Oliver Hellwig""",1,3,0,49,0,904
"""Tropical flowering plants""","""Llamas  Kirsten Albrecht""","""A guide to identification and cultivation."""," ",0," ","""Cambridge""",2003,"""Timber Press"""," "," ",0," ",0," ",1,0
"""Ṛtusaṃhāra""","""Kālidāsa"""," ","""ṚtuS""",0," "," ",0," "," "," ",1,3,1,47,0,3130
"""Tṛtīyakaḥ phenakaḥ""","""Sarma  S.R."""," "," ",0," "," ",0," "," "," ",0," ",0," ",1,0
"""Uḍḍāmareśvaratantra"""," ","""A book on magical rites.""","""UḍḍT""",0,"""J.D. Zadoo""","""Srinagar""",1947,"""The Normal Press""","""Kashmir Series of Texts & Studies  70""","""Oliver Hellwig""",1,5,1,44,0,10919
"""Ueber die Entstehung der Śvetāmbara und Digambara Sekten""","""Hermann Jacobi"""," "," ",0," "," ",0," "," "," ",0," ",0," ",1,0
"""Une technique du rasāyana āyurv￩dique""","""Rosu  Arion"""," "," ",0," "," ",1975,"""Indo-Iranian Journal 17"""," "," ",0," ",0," ",1,0
"""Upaniṣads  ￜbersetzung""","""Deussen  Paul"""," "," ",0," "," ",1897," "," "," ",0,5,0," ",1,0
"""Vāc""","""Padoux  Andr￩""","""The concept of the word in selected Hindu tantras."""," ",0," ","""Albany""",1990,"""State University of New York Press"""," "," ",0," ",0," ",1,0
"""Vācaspatimiśras Tattvakaumudī""","""Srinivasa Ayya Srinivasan""","""Ein Beitrag zur Textkritik bei kontaminierter ￜberlieferung"""," ",0," ","""Hamburg""",1967,"""Cram  de Gruyter & Co."""," "," ",0," ",0," ",1,0
"""Vāgbhaṭas\""s Aṣṭāṅgahṛdayasaṃhitā""  ""Ein altindisches Lehrbuch der Heilkunde""  0 ""Luise Hilgenberg",,,,,,,,,,,,,,,,
"""Vaiśeṣikasūtra""","""Kaṇāda""","""With the commentary of Candrānanda""","""VaiśSū""",0,"""Muni Śrī Jambuvijayajī""","""Baroda""",1961,"""Oriental Institute"""," ","""O. Hellwig""",1,2,0,27,0,2120
"""Vaiśeṣikasūtravṛtti""","""Candrānanda"""," ","""VaiSūVṛ""",1," "," ",0," "," "," ",1,3,0,27,0,8649
"""Vaiṣṇavism  Śaivism  and minor religious systems.""","""R.G. Bhandarkar"""," "," ",0," ","""Strassburg""",1913,"""Verlag von Karl J. Tr￼bner""","""Grundriss der indo-iranischen Phil. und Altertumskunde  III.6"""," ",0," ",0," ",1,0
"""Vaikhānasadharmasūtra"""," ","""The domestic rules of the Vaikhanasa school belonging to the Black Yajurveda = Vaikhānasasmārtasūtra  8-10)""","""VaikhDharmSū""",0,"""W. Caland""","""Calcutta""",1927," "," ","""Hiromichi Hikita""",1,3,1,38,0,4899
"""Vaikhānasagṛhyasūtra"""," "," ","""VaikhGṛS""",0," ","""TITUS""",0," "," "," ",1,3,0,18,0,7759
"""Vārāhagṛhyasūtra"""," ","""With short extracts from the paddhatis of Gaṅgādhara and Vasiṣṭha""","""VārGṛSū""",0,"""Raghu Vira""","""New Delhi""",1982,"""Meharchand Lachhmandas""","""Panini Vaidika Granthamala  2""","""Oliver Hellwig""",1,1,0,18,0,4602
"""Varāhapurāṇa"""," "," ","""VarPur""",0," "," ",0," "," "," ",1,3,0,42,0,621
"""Vātūlanāthasūtras"""," ","""With the vṛtti of Anantaśaktipāda.""","""VNSūtra""",0,"""M.K. Shāstrī""","""Bombay""",1923,"""Nirnaya Sagar Press"""," ","""Oliver Hellwig""",1,4,1,44,0,84
"""Vātūlanāthasūtravṛtti""","""Anantaśaktipāda"""," ","""VNSūtraV""",1," "," ",0," "," "," ",1,4,1,44,0,2058
"""Vedachrestomathie""","""Hillebrandt  Alfred"""," ","""Hillebrandt 1885 [Vedachrestomathie]""",0," "," ",1885," "," "," ",0,5,0," ",1,0
"""Vetālapañcaviṃśatikā"""," ","""In den Recencsionen des Śivadāsa und eines Ungenannten""","""VetPV""",0,"""Heinrich Uhle""","""Leipzip""",1881," ","""Abhandlungen f￼r die Kunde des Morgenlandes  VIII. Band  No. 1.""","""OH""",1,4,0,48,0,977
"""Viṣṇupurāṇa"""," "," ","""ViPur""",0," "," ",0," "," ","""Peter Schreiner""",1,3,0,42,0,87528
"""Viṣṇusmṛti"""," "," ","""ViSmṛ""",0,"""V. Krishnamacharya""","""Madras""",1964,"""The Adyar Library and Research Center""","""The Adyar Library Series   Vol. 93.1 + 2""","""I. Shima""",1,3,0,37,0,19199
"""Viṣkali-  Name of an Accouching Deity""","""Kuiper  F.B.J."""," "," ",0," "," ",0," "," "," ",0,5,0," ",1,0
"""Vidyādharas""","""Grafe  J￶rg""","""Fr￼heste Zeit bis zur Kashmirischen Bṛhatkathā"""," ",0," ","""Frankfurt/Main""",2001,"""Peter Lang GmbH""","""Europ￤ische Hochschulschriften  Reihe XXVII  Bd. 82"""," ",0," ",0," ",1,0
"""Viṃśatikākārikā""","""Vasubandhu"""," ","""ViṃKār""",0,"""Sylvain L￩vi""","""Paris""",1925,"""Librairie Ancienne Honor￩ Champion"""," ","""O. Hellwig""",1,3,0,58,0,342
"""Viṃśatikāvṛtti""","""Vasubandhu"""," ","""ViṃVṛtti""",1," "," ",0," "," ","""O. Hellwig""",1,3,0,58,0,1854
"""Vivāgasuyaṃ"""," ","""The eleventh Anga of ... - Edited with introduction  translation  notes  glossary  ..."""," ",0,"""V.J. Chokshi; M.C. Modi""","""Ahmedabad""",1935,"""Shambhubhai Jagshi Shah"""," ","""O. Hellwig""",2," ",0," ",0,898
"""Vṛddhayamasmṛti""","""Yama"""," "," ",0,"""J￼rgen Neuss""","""Berlin""",0," "," ","""J. Neuss""",1," ",0,37,0,445
"""Vṛkṣāyurveda""","""Surapāla""","""Das Wissen von der Lebensspanne der B￤ume.""","""Das 1988)""",0,"""R.P. Das ed.  transl.)""","""Stuttgart""",1988,"""Franz Steiner Verlag GmbH""","""Alt- und Neu-Indische Studien  34"""," ",0," ",0,33,1,0
"""Webmineral"""," "," "," ",0," ","""Published on internet http://webmineral.com""",2004," "," "," ",0," ",0," ",1,0
"""Worship of the goddess according to the Kālikāpurāṇa""","""K.R. von Kooji"""," "," ",0," ","""Leiden""",1972,"""E.J. Brill"""," "," ",0," ",0," ",1,0
"""W￶rterbuch Ardhamāgadhī-Deutsch""","""Mylius  Klaus"""," "," ",0," ","""Wichtrach""",2003,"""Institut f￼r Indologie Wichtrach"""," "," ",0," ",0," ",1,0
"""W￶rterbuch des altindischen Rituals""","""Klaus Mylius"""," ","""Mylius 1995 [Ritual]""",0," ","""Wichtrach""",1995," "," "," ",0,5,0," ",1,0
"""W￶rterbuch des Ṛigveda""","""Grassmann"""," "," ",0," "," ",0," "," "," ",0,5,0," ",1,0
"""Yājñavalkyasmṛti""","""Yogīśvara Yājñavalkya""","""With the commentary Mitaksara of Vijñanesvara  Notes  Variant readings  etc.""","""YāSmṛ""",0,"""Narayan Ram Acharya""","""Bombay""",1949,"""Nirnayasagara Press"""," ","""Muneo Tokunaga  checked by Yasuke Ikari""",1,3,1,37,0,14206
"""Yoga""","""Mircea Eliade""","""Unsterblichkeit und Freiheit."""," ",0," ","""Z￼rich""",1960,"""Rascher Verlag"""," "," ",0," ",0," ",1,0
"""Yoga et alch￩mie""","""Rosu  Arion"""," "," ",0," "," ",1982," ","""ZDMG 132  363ff."""," ",0," ",0," ",1,0
"""Yogaratnākara"""," "," ","""YRā""",0," "," ",0," "," "," ",1,5,0,56,0,6478
"""Yogasūtra""","""Patañjali"""," ","""YS""",0,"""Baladeva Miśra""","""Benares""",1932,"""The Chowkhamba Sanskrit Series"""," ","""Oliver Hellwig""",1,2,1,29,0,1137
"""Yogasūtrabhāṣya""","""Vyāsa"""," ","""YSBhā""",1," "," ",0," "," ","""Peter Schreiner""",1,3,0,29,0,9977
