Лемма	Тип	Класс	Залог	Форма	Лицо	Число	Время/наклонение	Примеры
unnam	Verb	1	Ā	unnata			"Past Passive Participle"	"  232"
nirmuc	Verb	6	P.	nirmukta			"Past Passive Participle"	"  232"
arcay	Verb	10	Ā	arcita			"Past Passive Participle"	"  230"
prasthā	Verb	1	Ā	prasthita			"Past Passive Participle"	"  229"
tvar	Verb	1	P.	tvarita			"Past Passive Participle"	"  223"
vinirmuc	Verb	6	P.	vinirmukta			"Past Passive Participle"	"  223"
nipātay	Verb	10	Ā	nipātita			"Past Passive Participle"	"  221"
janay	Verb	10	Ā	janita			"Past Passive Participle"	"  220"
yam	Verb	6	P.	yata			"Past Passive Participle"	"  218"
arpay	Verb	10	Ā	arpita			"Past Passive Participle"	"  215"
parī	Verb	2	Ā	parīta			"Past Passive Participle"	"  215"
praśam	Verb	1	P.	praśānta			"Past Passive Participle"	"  215"
añj	Verb	7	Ā	akta			"Past Passive Participle"	"  214"
uddhṛ	Verb	1	Ā	uddhṛta			"Past Passive Participle"	"  212"
vinī	Verb	1	Ā	vinīta			"Past Passive Participle"	"  212"
śās	Verb	1	P.	śiṣṭa			"Past Passive Participle"	"  211"
upaśobhay	Verb	10	P.	upaśobhita			"Past Passive Participle"	"  211"
nirgam	Verb	6	P.	nirgata			"Past Passive Participle"	"  210"
satkṛ	Verb	8	Ā	satkṛta			"Past Passive Participle"	"  210"
bhakṣay	Verb	10	Ā	bhakṣita			"Past Passive Participle"	"  207"
nipat	Verb	1	Ā	nipatita			"Past Passive Participle"	"  207"
chad	Verb	1	P.	channa			"Past Passive Participle"	"  206"
niṣev	Verb	1	Ā	niṣevita			"Past Passive Participle"	"  204"
saṁhṛṣ	Verb	1	Ā	saṃhṛṣṭa			"Past Passive Participle"	"  204"
adhiṣṭhā	Verb	1	Ā	adhiṣṭhita			"Past Passive Participle"	"  203"
vyāp	Verb	5	Ā	vyāpta			"Past Passive Participle"	"  203"
jval	Verb	1	Ā	jvalita			"Past Passive Participle"	"  202"
pātay	Verb	10	Ā	pātita			"Past Passive Participle"	"  201"
spṛś	Verb	6	Ā	spṛṣṭa			"Past Passive Participle"	"  199"
utsṛj	Verb	6	Ā	utsṛṣṭa			"Past Passive Participle"	"  199"
ucchri	Verb	1	Ā	ucchrita			"Past Passive Participle"	"  196"
stu	Verb	1	Ā	stuta			"Past Passive Participle"	"  194"
ādā	Verb	4	Ā	ātta			"Past Passive Participle"	"  194"
saṁyam	Verb	1	Ā	saṃyata			"Past Passive Participle"	"  194"
vyath	Verb	1	P.	vyathita			"Past Passive Participle"	"  193"
uddiś	Verb	6	Ā	uddiṣṭa			"Past Passive Participle"	"  193"
tras	Verb	4	Ā	trasta			"Past Passive Participle"	"  191"
