lemma_slp1,lemma_iast,shared_ref,sigil,source_dict,inheritor,dcs_text,dcs_text_id,dcs_locus,status,lemma_present,reason,note
granTakAra,granthakāra,VEDĀNTAS. 1,VEDĀNTAS,PWG,MW,,,,UNRESOLVED,,text-absent-from-DCS-or-ambiguous-sigil,
guggula,guggula,HARIV. 6283,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 6283 exceeds DCS total verses 6073 (vulgate vs critical edition),
guha,guha,HARIV. 10478,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 10478 exceeds DCS total verses 6073 (vulgate vs critical edition),
jAmadagnya,jāmadagnya,HARIV. 2313,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
jAmbUnada,jāmbūnada,HARIV. 13099,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 13099 exceeds DCS total verses 6073 (vulgate vs critical edition),
jAmbUnadamaya,jāmbūnadamaya,HARIV. 6918,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 6918 exceeds DCS total verses 6073 (vulgate vs critical edition),
jArUTya,jārūthya,HARIV. 2344,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
jEgIzavya,jaigīṣavya,HARIV. 952,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
jIvin,jīvin,HARIV. 4555,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
jaGanya,jaghanya,HARIV. 5817,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
jagadguru,jagadguru,HARIV. 15699,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 15699 exceeds DCS total verses 6073 (vulgate vs critical edition),
jagadyoni,jagadyoni,HARIV. 5880,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
jagannATa,jagannātha,HARIV. 14394,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 14394 exceeds DCS total verses 6073 (vulgate vs critical edition),
jalADipa,jalādhipa,HARIV. 13885,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 13885 exceeds DCS total verses 6073 (vulgate vs critical edition),
jaladevatA,jaladevatā,HARIV. 13140,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 13140 exceeds DCS total verses 6073 (vulgate vs critical edition),
jalaja,jalaja,HARIV. 10936,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 10936 exceeds DCS total verses 6073 (vulgate vs critical edition),
jalatA,jalatā,HARIV. 2932,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
jamBa,jambha,HARIV. 13227,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 13227 exceeds DCS total verses 6073 (vulgate vs critical edition),
janArdana,janārdana,HARIV. 15397,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 15397 exceeds DCS total verses 6073 (vulgate vs critical edition),
janacakzus,janacakṣus,HARIV. 8050,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 8050 exceeds DCS total verses 6073 (vulgate vs critical edition),
janaka,janaka,HARIV. 982,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
janamejaya,janamejaya,HARIV. 1608,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
janamejaya,janamejaya,HARIV. 1671,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
janitra,janitra,HARIV. 14730,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 14730 exceeds DCS total verses 6073 (vulgate vs critical edition),
janman,janman,HARIV. 15718,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 15718 exceeds DCS total verses 6073 (vulgate vs critical edition),
jantu,jantu,HARIV. 1793,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
javanikA,javanikā,HARIV. 4648,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
jayASis,jayāśis,HARIV. 3784,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
jaya,jaya,HARIV. 13093,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 13093 exceeds DCS total verses 6073 (vulgate vs critical edition),
jaya,jaya,HARIV. 1514,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
jayaDvaja,jayadhvaja,HARIV. 1893,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
jayadraTa,jayadratha,HARIV. 1703,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
jayatsena,jayatsena,HARIV. 6725,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 6725 exceeds DCS total verses 6073 (vulgate vs critical edition),
jihIrzu,jihīrṣu,HARIV. 14248,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 14248 exceeds DCS total verses 6073 (vulgate vs critical edition),
jyAyizWa,jyāyiṣṭha,HARIV. 7265,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 7265 exceeds DCS total verses 6073 (vulgate vs critical edition),
jyEzWa,jyaiṣṭha,HARIV. 7828,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 7828 exceeds DCS total verses 6073 (vulgate vs critical edition),
jyezWatA,jyeṣṭhatā,HARIV. 7164,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 7164 exceeds DCS total verses 6073 (vulgate vs critical edition),
kASyapa,kāśyapa,HARIV. 10645,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 10645 exceeds DCS total verses 6073 (vulgate vs critical edition),
